LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
31.954000,1453545.000,32432,1,T1,1,100,31.491
32.084000,1453675.000,32449,1,T1,1,100,31.461
32.218000,1453809.000,32481,1,T1,1,100,31.518
32.349000,1453940.000,32499,1,T1,1,100,31.543
32.478000,1454069.000,32517,1,T1,1,100,31.519
32.607000,1454198.000,32550,1,T1,1,100,31.650
32.736000,1454327.000,32569,1,T1,1,100,31.459
32.868000,1454459.000,32585,1,T1,1,100,31.376
32.998000,1454589.000,32602,1,T1,1,100,31.446
33.127000,1454718.000,32635,1,T1,1,100,31.619
33.258000,1454849.000,32653,1,T1,1,100,31.622
33.387000,1454978.000,32669,1,T1,1,100,31.624
33.516000,1455107.000,32686,1,T1,1,100,31.554
33.646000,1455237.000,32703,1,T1,1,100,31.630
33.776000,1455367.000,32722,1,T1,1,100,31.592
33.904000,1455495.000,32757,1,T1,1,100,31.611
34.034000,1455625.000,32773,1,T1,1,100,31.548
34.163000,1455754.000,32790,1,T1,1,100,31.521
34.292000,1455883.000,32823,1,T1,1,100,31.438
34.426000,1456017.000,32839,1,T1,1,100,31.402
34.557000,1456148.000,32856,1,T1,1,100,31.422
34.686000,1456277.000,32873,1,T1,1,100,31.502
34.814000,1456405.000,32907,1,T1,1,100,31.572
34.945000,1456536.000,32925,1,T1,1,100,31.637
35.075000,1456666.000,32941,1,T1,1,100,31.559
35.205000,1456796.000,32974,1,T1,1,100,31.526
35.334000,1456925.000,32991,1,T1,1,100,31.405
35.465000,1457056.000,33007,1,T1,1,100,31.459
35.594000,1457185.000,33025,1,T1,1,100,31.518
35.723000,1457314.000,33059,1,T1,1,100,31.579
35.853000,1457444.000,33075,1,T1,1,100,31.534
35.983000,1457574.000,33093,1,T1,1,100,31.515
36.111000,1457702.000,33109,1,T1,1,100,31.542
36.241000,1457832.000,33142,1,T1,1,100,31.518
36.371000,1457962.000,33159,1,T1,1,100,31.437
36.501000,1458092.000,33175,1,T1,1,100,31.508
36.631000,1458222.000,33212,1,T1,1,100,31.574
36.759000,1458350.000,33229,1,T1,1,100,31.532
36.889000,1458480.000,33246,1,T1,1,100,31.549
37.020000,1458611.000,33263,1,T1,1,100,31.663
37.152000,1458743.000,33296,1,T1,1,100,31.606
37.282000,1458873.000,33312,1,T1,1,100,31.688
37.412000,1459003.000,33329,1,T1,1,100,31.581
37.540000,1459131.000,33364,1,T1,1,100,31.464
37.673000,1459264.000,33380,1,T1,1,100,31.485
37.804000,1459395.000,33397,1,T1,1,100,31.529
37.933000,1459524.000,33414,1,T1,1,100,31.548
38.063000,1459654.000,33448,1,T1,1,100,31.556
38.192000,1459783.000,33466,1,T1,1,100,31.560
38.321000,1459912.000,33482,1,T1,1,100,31.561
38.449000,1460040.000,33499,1,T1,1,100,31.527
38.579000,1460170.000,33534,1,T1,1,100,31.405
38.713000,1460304.000,33550,1,T1,1,100,31.565
38.844000,1460435.000,33568,1,T1,1,100,31.564
38.973000,1460564.000,33600,1,T1,1,100,31.528
39.102000,1460693.000,33616,1,T1,1,100,31.618
39.233000,1460824.000,33634,1,T1,1,100,31.587
39.365000,1460956.000,33650,1,T1,1,100,31.608
39.495000,1461086.000,33683,1,T1,1,100,31.547
39.624000,1461215.000,33702,1,T1,1,100,31.662
