LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
21.009333,1442600.333,30612,3,MZ,1,100,-41
21.044000,1442635.000,30612,3,MZ,1,100,-42
21.083000,1442674.000,30627,3,MZ,1,100,-41
21.122000,1442713.000,30627,3,MZ,1,100,-42
21.161000,1442752.000,30627,3,MZ,1,100,-44
21.201000,1442792.000,30644,2,MZ,1,100,-46
21.241000,1442832.000,30644,2,MZ,1,100,-45
21.279333,1442870.333,30661,3,MZ,1,100,-46
21.317667,1442908.667,30661,3,MZ,1,100,-47
21.356000,1442947.000,30661,3,MZ,1,100,-47
21.395000,1442986.000,30678,2,MZ,1,100,-47
21.434000,1443025.000,30678,2,MZ,1,100,-47
21.473000,1443064.000,30694,3,MZ,1,100,-48
21.512000,1443103.000,30694,3,MZ,1,100,-48
21.551000,1443142.000,30694,3,MZ,1,100,-46
21.590000,1443181.000,30711,3,MZ,1,100,-46
21.629000,1443220.000,30711,3,MZ,1,100,-45
21.668000,1443259.000,30711,3,MZ,1,100,-46
21.707000,1443298.000,30729,2,MZ,1,100,-45
21.746000,1443337.000,30729,2,MZ,1,100,-46
21.785000,1443376.000,30746,3,MZ,1,100,-46
21.824000,1443415.000,30746,3,MZ,1,100,-44
21.863000,1443454.000,30746,3,MZ,1,100,-43
21.901000,1443492.000,30763,2,MZ,1,100,-41
21.939000,1443530.000,30763,2,MZ,1,100,-41
21.978000,1443569.000,30781,3,MZ,1,100,-40
22.017000,1443608.000,30781,3,MZ,1,100,-40
22.056000,1443647.000,30781,3,MZ,1,100,-40
22.095000,1443686.000,30799,3,MZ,1,100,-40
22.134000,1443725.000,30799,3,MZ,1,100,-39
22.173000,1443764.000,30799,3,MZ,1,100,-38
22.212000,1443803.000,30816,2,MZ,1,100,-39
22.251000,1443842.000,30816,2,MZ,1,100,-36
22.290000,1443881.000,30833,3,MZ,1,100,-36
22.329000,1443920.000,30833,3,MZ,1,100,-38
22.368000,1443959.000,30833,3,MZ,1,100,-36
22.407000,1443998.000,30850,2,MZ,1,100,-36
22.446000,1444037.000,30850,2,MZ,1,100,-35
22.484333,1444075.333,30865,3,MZ,1,100,-35
22.522667,1444113.667,30865,3,MZ,1,100,-33
22.561000,1444152.000,30865,3,MZ,1,100,-33
