LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
6.727000,1428318.000,28234,2,AZ,1,100,-0.292
6.766000,1428357.000,28234,2,AZ,1,100,-0.302
6.804667,1428395.667,28250,3,AZ,1,100,-0.284
6.843333,1428434.333,28250,3,AZ,1,100,-0.293
6.882000,1428473.000,28250,3,AZ,1,100,-0.283
6.920667,1428511.667,28268,3,AZ,1,100,-0.298
6.959333,1428550.333,28268,3,AZ,1,100,-0.292
6.998000,1428589.000,28268,3,AZ,1,100,-0.298
7.037000,1428628.000,28283,2,AZ,1,100,-0.292
7.076000,1428667.000,28283,2,AZ,1,100,-0.292
7.111000,1428702.000,28300,3,AZ,1,100,-0.292
7.146000,1428737.000,28300,3,AZ,1,100,-0.286
7.181000,1428772.000,28300,3,AZ,1,100,-0.294
7.220000,1428811.000,28316,3,AZ,1,100,-0.293
7.259000,1428850.000,28316,3,AZ,1,100,-0.291
7.298000,1428889.000,28316,3,AZ,1,100,-0.292
7.337000,1428928.000,28336,2,AZ,1,100,-0.298
7.376000,1428967.000,28336,2,AZ,1,100,-0.291
7.415000,1429006.000,28351,3,AZ,1,100,-0.289
7.454000,1429045.000,28351,3,AZ,1,100,-0.293
7.493000,1429084.000,28351,3,AZ,1,100,-0.294
7.532000,1429123.000,28368,3,AZ,1,100,-0.290
7.571000,1429162.000,28368,3,AZ,1,100,-0.299
7.610000,1429201.000,28368,3,AZ,1,100,-0.296
7.648500,1429239.500,28385,2,AZ,1,100,-0.298
7.687000,1429278.000,28385,2,AZ,1,100,-0.285
7.725667,1429316.667,28402,3,AZ,1,100,-0.291
7.764333,1429355.333,28402,3,AZ,1,100,-0.292
7.803000,1429394.000,28402,3,AZ,1,100,-0.290
7.842000,1429433.000,28418,2,AZ,1,100,-0.287
7.881000,1429472.000,28418,2,AZ,1,100,-0.297
7.920000,1429511.000,28435,3,AZ,1,100,-0.291
7.959000,1429550.000,28435,3,AZ,1,100,-0.300
7.998000,1429589.000,28435,3,AZ,1,100,-0.288
8.037000,1429628.000,28451,3,AZ,1,100,-0.292
8.076000,1429667.000,28451,3,AZ,1,100,-0.288
8.115000,1429706.000,28451,3,AZ,1,100,-0.295
8.154000,1429745.000,28468,2,AZ,1,100,-0.296
8.193000,1429784.000,28468,2,AZ,1,100,-0.294
8.231333,1429822.333,28485,3,AZ,1,100,-0.293
8.269667,1429860.667,28485,3,AZ,1,100,-0.294
8.308000,1429899.000,28485,3,AZ,1,100,-0.297
8.347000,1429938.000,28503,2,AZ,1,100,-0.295
