LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1669790661.376654,26861.000,2201,2,EA,1,100,0.030198
1669790661.443200,26926.000,2218,1,EA,1,100,0.030198
1669790661.509235,26990.500,2235,2,EA,1,100,0.030198
1669790661.575270,27055.000,2235,2,EA,1,100,0.030198
1669790661.642840,27121.000,2252,1,EA,1,100,0.030198
1669790661.709899,27186.500,2268,2,EA,1,100,0.030198
1669790661.776957,27252.000,2268,2,EA,1,100,0.030198
1669790661.842992,27316.500,2285,2,EA,1,100,0.030198
1669790661.909027,27381.000,2285,2,EA,1,100,0.030198
1669790661.975573,27446.000,2303,1,EA,1,100,0.030198
1669790662.042120,27511.000,2322,2,EA,1,100,0.030198
1669790662.108666,27576.000,2322,2,EA,1,100,0.030198
1669790662.174189,27640.000,2339,1,EA,1,100,0.030198
1669790662.240736,27705.000,2355,2,EA,1,100,0.030198
1669790662.307282,27770.000,2355,2,EA,1,100,0.030198
1669790662.372805,27834.000,2371,1,EA,1,100,0.030198
1669790662.439352,27899.000,2389,2,EA,1,100,0.030198
1669790662.505898,27964.000,2389,2,EA,1,100,0.030198
1669790662.573469,28030.000,2405,1,EA,1,100,0.030198
1669790662.641551,28096.500,2421,2,EA,1,100,0.030198
1669790662.709633,28163.000,2421,2,EA,1,100,0.030198
1669790662.776180,28228.000,2437,1,EA,1,100,0.030198
1669790662.842726,28293.000,2459,2,EA,1,100,0.030198
1669790662.909273,28358.000,2459,2,EA,1,100,0.030198
1669790662.974796,28422.000,2475,2,EA,1,100,0.030198
1669790663.040319,28486.000,2475,2,EA,1,100,0.030198
1669790663.106865,28551.000,2492,1,EA,1,100,0.030198
1669790663.173924,28616.500,2508,2,EA,1,100,0.030198
1669790663.240982,28682.000,2508,2,EA,1,100,0.030199
1669790663.308553,28748.000,2525,1,EA,1,100,0.030199
1669790663.375611,28813.500,2541,2,EA,1,100,0.030199
1669790663.442670,28879.000,2541,2,EA,1,100,0.030199
1669790663.509216,28944.000,2559,1,EA,1,100,0.030199
1669790663.575251,29008.500,2574,2,EA,1,100,0.030199
1669790663.641286,29073.000,2574,2,EA,1,100,0.030199
1669790663.707832,29138.000,2591,1,EA,1,100,0.030199
1669790663.774379,29203.000,2610,2,EA,1,100,0.030199
1669790663.840925,29268.000,2610,2,EA,1,100,0.030199
1669790663.907472,29333.000,2629,2,EA,1,100,0.030199
1669790663.974019,29398.000,2629,2,EA,1,100,0.030199
1669790664.039541,29462.000,2645,1,EA,1,100,0.030199
1669790664.106088,29527.000,2662,2,EA,1,100,0.030199
1669790664.172635,29592.000,2662,2,EA,1,100,0.030199
1669790664.239181,29657.000,2678,1,EA,1,100,0.030199
1669790664.305728,29722.000,2695,2,EA,1,100,0.030199
1669790664.372274,29787.000,2695,2,EA,1,100,0.030199
1669790664.437797,29851.000,2711,1,EA,1,100,0.030199
1669790664.504344,29916.000,2729,2,EA,1,100,0.030199
1669790664.570890,29981.000,2729,2,EA,1,100,0.030199
1669790664.637437,30046.000,2746,2,EA,1,100,0.030199
1669790664.703984,30111.000,2746,2,EA,1,100,0.030198
1669790664.770530,30176.000,2763,1,EA,1,100,0.030198
1669790664.837077,30241.000,2782,2,EA,1,100,0.030198
1669790664.903623,30306.000,2782,2,EA,1,100,0.030198
1669790664.969146,30370.000,2799,1,EA,1,100,0.030198
1669790665.035181,30434.500,2814,2,EA,1,100,0.030198
1669790665.101216,30499.000,2814,2,EA,1,100,0.030198
1669790665.167250,30563.500,2832,2,EA,1,100,0.030198
1669790665.233285,30628.000,2832,2,EA,1,100,0.030198
1669790665.300855,30694.000,2848,1,EA,1,100,0.030199
1669790665.366890,30758.500,2865,2,EA,1,100,0.030198
1669790665.432925,30823.000,2865,2,EA,1,100,0.030198
1669790665.499983,30888.500,2889,2,EA,1,100,0.030198
1669790665.567042,30954.000,2889,2,EA,1,100,0.030198
1669790665.633588,31019.000,2906,1,EA,1,100,0.030198
1669790665.700135,31084.000,2921,2,EA,1,100,0.030198
1669790665.766681,31149.000,2921,2,EA,1,100,0.030199
1669790665.832204,31213.000,2939,1,EA,1,100,0.030198
1669790665.899263,31278.500,2957,2,EA,1,100,0.030198
1669790665.966321,31344.000,2957,2,EA,1,100,0.030198
1669790666.033380,31409.500,2974,2,EA,1,100,0.030198
1669790666.100438,31475.000,2974,2,EA,1,100,0.030198
1669790666.166985,31540.000,2991,1,EA,1,100,0.030198
1669790666.233019,31604.500,3007,2,EA,1,100,0.030199
1669790666.299054,31669.000,3007,2,EA,1,100,0.030198
1669790666.366625,31735.000,3023,1,EA,1,100,0.030198
1669790666.432147,31799.000,3043,2,EA,1,100,0.030198
1669790666.497670,31863.000,3043,2,EA,1,100,0.030198
1669790666.565241,31929.000,3059,1,EA,1,100,0.030199
1669790666.632811,31995.000,3075,2,EA,1,100,0.030199
1669790666.700381,32061.000,3075,2,EA,1,100,0.030199
1669790666.766928,32126.000,3091,1,EA,1,100,0.030198
1669790666.832963,32190.500,3111,2,EA,1,100,0.030198
1669790666.898997,32255.000,3111,2,EA,1,100,0.030199
1669790666.966056,32320.500,3127,2,EA,1,100,0.030198
1669790667.033114,32386.000,3127,2,EA,1,100,0.030198
1669790667.098637,32450.000,3144,1,EA,1,100,0.030198
1669790667.165184,32515.000,3160,2,EA,1,100,0.030198
1669790667.231730,32580.000,3160,2,EA,1,100,0.030198
1669790667.298277,32645.000,3179,1,EA,1,100,0.030198
1669790667.363800,32709.000,3195,2,EA,1,100,0.030198
1669790667.429322,32773.000,3195,2,EA,1,100,0.030198
1669790667.495869,32838.000,3213,2,EA,1,100,0.030198
1669790667.562416,32903.000,3213,2,EA,1,100,0.030199
1669790667.631010,32970.000,3229,1,EA,1,100,0.030198
1669790667.698068,33035.500,3246,2,EA,1,100,0.030198
1669790667.765127,33101.000,3246,2,EA,1,100,0.030198
1669790667.831673,33166.000,3264,2,EA,1,100,0.030198
1669790667.898220,33231.000,3264,2,EA,1,100,0.030199
1669790667.962719,33294.000,3281,1,EA,1,100,0.030198
1669790668.029266,33359.000,3297,2,EA,1,100,0.030198
1669790668.095812,33424.000,3297,2,EA,1,100,0.030198
1669790668.161335,33488.000,3317,1,EA,1,100,0.030198
1669790668.229417,33554.500,3332,2,EA,1,100,0.030198
1669790668.297499,33621.000,3332,2,EA,1,100,0.030198
1669790668.365070,33687.000,3349,1,EA,1,100,0.030198
1669790668.431617,33752.000,3366,2,EA,1,100,0.030198
1669790668.498163,33817.000,3366,2,EA,1,100,0.030198
1669790668.564710,33882.000,3383,2,EA,1,100,0.030198
1669790668.631256,33947.000,3383,2,EA,1,100,0.030198
1669790668.697803,34012.000,3399,1,EA,1,100,0.030198
1669790668.764349,34077.000,3416,2,EA,1,100,0.030198
1669790668.830896,34142.000,3416,2,EA,1,100,0.030198
1669790668.898466,34208.000,3434,1,EA,1,100,0.030198
1669790668.964501,34272.500,3451,2,EA,1,100,0.030198
1669790669.030536,34337.000,3451,2,EA,1,100,0.030198
1669790669.098106,34403.000,3469,1,EA,1,100,0.030198
1669790669.164141,34467.500,3487,2,EA,1,100,0.030198
1669790669.230176,34532.000,3487,2,EA,1,100,0.030198
1669790669.296722,34597.000,3502,2,EA,1,100,0.030198
1669790669.363269,34662.000,3502,2,EA,1,100,0.030198
1669790669.428792,34726.000,3519,1,EA,1,100,0.030198
1669790669.495338,34791.000,3536,2,EA,1,100,0.030198
1669790669.561885,34856.000,3536,2,EA,1,100,0.030198
1669790669.627408,34920.000,3553,1,EA,1,100,0.030198
1669790669.694466,34985.500,3568,2,EA,1,100,0.030198
1669790669.761525,35051.000,3568,2,EA,1,100,0.030198
1669790669.828071,35116.000,3588,2,EA,1,100,0.030198
1669790669.894618,35181.000,3588,2,EA,1,100,0.030198
1669790669.961164,35246.000,3606,2,EA,1,100,0.030198
1669790670.027711,35311.000,3606,2,EA,1,100,0.030198
1669790670.094258,35376.000,3623,1,EA,1,100,0.030198
1669790670.160292,35440.500,3640,2,EA,1,100,0.030198
1669790670.226327,35505.000,3640,2,EA,1,100,0.030198
1669790670.292874,35570.000,3657,2,EA,1,100,0.030198
1669790670.359420,35635.000,3657,2,EA,1,100,0.030198
1669790670.424943,35699.000,3673,1,EA,1,100,0.030198
1669790670.493025,35765.500,3690,2,EA,1,100,0.030198
1669790670.561107,35832.000,3690,2,EA,1,100,0.030198
1669790670.629702,35899.000,3708,1,EA,1,100,0.030198
1669790670.696248,35964.000,3730,2,EA,1,100,0.030198
1669790670.762795,36029.000,3730,2,EA,1,100,0.030198
1669790670.828318,36093.000,3749,2,EA,1,100,0.030198
1669790670.893841,36157.000,3749,2,EA,1,100,0.030198
1669790670.961923,36223.500,3766,2,EA,1,100,0.030198
1669790671.030005,36290.000,3766,2,EA,1,100,0.030198
1669790671.096552,36355.000,3782,1,EA,1,100,0.030198
