LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1669790662.769013,28221.000,2439,1,T1,1,100,27.432
1669790662.902107,28351.000,2461,1,T1,1,100,27.506
1669790663.033152,28479.000,2477,1,T1,1,100,27.503
1669790663.165221,28608.000,2510,1,T1,1,100,27.466
1669790663.302410,28742.000,2527,1,T1,1,100,27.450
1669790663.436527,28873.000,2543,1,T1,1,100,27.372
1669790663.568596,29002.000,2576,1,T1,1,100,27.445
1669790663.700666,29131.000,2593,1,T1,1,100,27.511
1669790663.833759,29261.000,2612,1,T1,1,100,27.505
1669790663.966852,29391.000,2631,1,T1,1,100,27.502
1669790664.099945,29521.000,2664,1,T1,1,100,27.395
1669790664.232015,29650.000,2680,1,T1,1,100,27.454
1669790664.366132,29781.000,2697,1,T1,1,100,27.445
1669790664.498201,29910.000,2713,1,T1,1,100,27.441
1669790664.630270,30039.000,2748,1,T1,1,100,27.474
1669790664.763364,30169.000,2765,1,T1,1,100,27.418
1669790664.896457,30299.000,2784,1,T1,1,100,27.429
1669790665.027502,30427.000,2816,1,T1,1,100,27.398
1669790665.160595,30557.000,2834,1,T1,1,100,27.314
1669790665.293689,30687.000,2850,1,T1,1,100,27.491
1669790665.425758,30816.000,2867,1,T1,1,100,27.496
1669790665.560899,30948.000,2891,1,T1,1,100,27.498
1669790665.692968,31077.000,2923,1,T1,1,100,27.393
1669790665.826061,31207.000,2941,1,T1,1,100,27.347
1669790665.959155,31337.000,2959,1,T1,1,100,27.398
1669790666.093272,31468.000,2976,1,T1,1,100,27.314
1669790666.226365,31598.000,3009,1,T1,1,100,27.420
1669790666.359458,31728.000,3025,1,T1,1,100,27.501
1669790666.490504,31856.000,3045,1,T1,1,100,27.500
1669790666.626668,31989.000,3077,1,T1,1,100,27.500
1669790666.760785,32120.000,3093,1,T1,1,100,27.394
1669790666.892854,32249.000,3113,1,T1,1,100,27.312
1669790667.025948,32379.000,3129,1,T1,1,100,27.277
1669790667.159041,32509.000,3162,1,T1,1,100,27.403
1669790667.291110,32638.000,3181,1,T1,1,100,27.494
1669790667.422156,32766.000,3197,1,T1,1,100,27.533
1669790667.555249,32896.000,3215,1,T1,1,100,27.514
1669790667.692437,33030.000,3231,1,T1,1,100,27.471
1669790667.825531,33160.000,3266,1,T1,1,100,27.416
1669790667.956576,33288.000,3283,1,T1,1,100,27.357
1669790668.088646,33417.000,3299,1,T1,1,100,27.403
1669790668.222763,33548.000,3334,1,T1,1,100,27.423
1669790668.357903,33680.000,3351,1,T1,1,100,27.537
1669790668.490997,33810.000,3368,1,T1,1,100,27.552
1669790668.624090,33940.000,3385,1,T1,1,100,27.487
1669790668.756159,34069.000,3418,1,T1,1,100,27.494
1669790668.892324,34202.000,3436,1,T1,1,100,27.533
1669790669.024393,34331.000,3453,1,T1,1,100,27.621
1669790669.157486,34461.000,3471,1,T1,1,100,27.623
1669790669.290580,34591.000,3504,1,T1,1,100,27.589
1669790669.421625,34719.000,3521,1,T1,1,100,27.645
1669790669.554718,34849.000,3538,1,T1,1,100,27.598
1669790669.687811,34979.000,3570,1,T1,1,100,27.613
1669790669.819881,35108.000,3590,1,T1,1,100,27.620
1669790669.953998,35239.000,3608,1,T1,1,100,27.623
1669790670.088115,35370.000,3625,1,T1,1,100,27.553
1669790670.220184,35499.000,3642,1,T1,1,100,27.629
1669790670.352254,35628.000,3659,1,T1,1,100,27.662
1669790670.486371,35759.000,3692,1,T1,1,100,27.535
1669790670.622535,35892.000,3710,1,T1,1,100,27.586
1669790670.755628,36022.000,3732,1,T1,1,100,27.644
1669790670.886674,36150.000,3751,1,T1,1,100,27.598
1669790671.023862,36284.000,3768,1,T1,1,100,27.578
1669790671.156955,36414.000,3801,1,T1,1,100,27.675
1669790671.289025,36543.000,3817,1,T1,1,100,27.718
1669790671.422118,36673.000,3834,1,T1,1,100,27.665
