LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1669790662.682332,28136.333,2427,3,GX,1,100,0.214
1669790662.722943,28176.000,2427,3,GX,1,100,0.122
1669790662.762871,28215.000,2443,2,GX,1,100,-0.031
1669790662.802799,28254.000,2443,2,GX,1,100,0.183
1669790662.842726,28293.000,2465,3,GX,1,100,-0.336
1669790662.882654,28332.000,2465,3,GX,1,100,-0.214
1669790662.922582,28371.000,2465,3,GX,1,100,0.580
1669790662.961828,28409.333,2481,3,GX,1,100,0.061
1669790663.001073,28447.667,2481,3,GX,1,100,-0.122
1669790663.040319,28486.000,2481,3,GX,1,100,-0.061
1669790663.080247,28525.000,2497,2,GX,1,100,0.244
1669790663.120175,28564.000,2497,2,GX,1,100,-0.153
1669790663.160444,28603.333,2514,3,GX,1,100,0.122
1669790663.200713,28642.667,2514,3,GX,1,100,0.366
1669790663.240982,28682.000,2514,3,GX,1,100,-0.061
1669790663.281934,28722.000,2531,2,GX,1,100,0.549
1669790663.322886,28762.000,2531,2,GX,1,100,0.641
1669790663.362814,28801.000,2547,3,GX,1,100,0.000
1669790663.402742,28840.000,2547,3,GX,1,100,-0.092
1669790663.442670,28879.000,2547,3,GX,1,100,-0.214
1669790663.482598,28918.000,2564,3,GX,1,100,-0.244
1669790663.522526,28957.000,2564,3,GX,1,100,0.031
1669790663.562454,28996.000,2564,3,GX,1,100,0.488
1669790663.601870,29034.500,2580,2,GX,1,100,0.275
1669790663.641286,29073.000,2580,2,GX,1,100,-0.458
1669790663.676777,29107.667,2597,3,GX,1,100,0.061
1669790663.712269,29142.333,2597,3,GX,1,100,0.641
1669790663.747760,29177.000,2597,3,GX,1,100,-0.458
1669790663.787688,29216.000,2616,3,GX,1,100,-0.061
1669790663.827616,29255.000,2616,3,GX,1,100,0.366
1669790663.867544,29294.000,2616,3,GX,1,100,0.610
1669790663.907472,29333.000,2635,2,GX,1,100,0.000
1669790663.947400,29372.000,2635,2,GX,1,100,0.244
1669790663.987328,29411.000,2650,3,GX,1,100,0.458
1669790664.027256,29450.000,2650,3,GX,1,100,0.214
1669790664.067184,29489.000,2650,3,GX,1,100,0.153
1669790664.107112,29528.000,2668,3,GX,1,100,0.641
1669790664.147040,29567.000,2668,3,GX,1,100,0.671
1669790664.186968,29606.000,2668,3,GX,1,100,0.000
1669790664.226896,29645.000,2684,2,GX,1,100,0.122
1669790664.266824,29684.000,2684,2,GX,1,100,0.549
1669790664.306410,29722.667,2701,3,GX,1,100,0.214
1669790664.345997,29761.333,2701,3,GX,1,100,0.122
1669790664.385584,29800.000,2701,3,GX,1,100,0.580
1669790664.425000,29838.500,2717,2,GX,1,100,0.519
1669790664.464416,29877.000,2717,2,GX,1,100,0.366
1669790664.504344,29916.000,2734,3,GX,1,100,0.000
1669790664.544272,29955.000,2734,3,GX,1,100,0.397
1669790664.584200,29994.000,2734,3,GX,1,100,0.092
1669790664.624128,30033.000,2752,3,GX,1,100,-1.007
1669790664.664056,30072.000,2752,3,GX,1,100,-0.214
1669790664.703984,30111.000,2752,3,GX,1,100,0.092
1669790664.743912,30150.000,2769,2,GX,1,100,0.092
1669790664.783839,30189.000,2769,2,GX,1,100,0.732
1669790664.823767,30228.000,2788,3,GX,1,100,0.519
1669790664.863695,30267.000,2788,3,GX,1,100,0.122
1669790664.903623,30306.000,2788,3,GX,1,100,-0.305
1669790664.943551,30345.000,2804,2,GX,1,100,-0.305
1669790664.983479,30384.000,2804,2,GX,1,100,0.214
1669790665.022725,30422.333,2820,3,GX,1,100,0.000
1669790665.061970,30460.667,2820,3,GX,1,100,-0.153
1669790665.101216,30499.000,2820,3,GX,1,100,0.000
1669790665.141143,30538.000,2838,4,GX,1,100,-0.305
1669790665.181071,30577.000,2838,4,GX,1,100,-0.153
1669790665.220999,30616.000,2838,4,GX,1,100,0.397
1669790665.260927,30655.000,2838,4,GX,1,100,0.275
1669790665.300855,30694.000,2854,2,GX,1,100,0.244
1669790665.340783,30733.000,2854,2,GX,1,100,0.153
1669790665.380711,30772.000,2871,3,GX,1,100,0.275
1669790665.420639,30811.000,2871,3,GX,1,100,0.214
1669790665.460567,30850.000,2871,3,GX,1,100,-0.122
1669790665.496059,30884.667,2895,3,GX,1,100,0.061
1669790665.531550,30919.333,2895,3,GX,1,100,0.488
1669790665.567042,30954.000,2895,3,GX,1,100,0.183
1669790665.606970,30993.000,2911,3,GX,1,100,-0.244
1669790665.646898,31032.000,2911,3,GX,1,100,-0.244
1669790665.686826,31071.000,2911,3,GX,1,100,0.000
1669790665.726753,31110.000,2927,2,GX,1,100,0.000
1669790665.766681,31149.000,2927,2,GX,1,100,-0.153
1669790665.805927,31187.333,2945,3,GX,1,100,-0.305
1669790665.845172,31225.667,2945,3,GX,1,100,0.122
1669790665.884418,31264.000,2945,3,GX,1,100,0.305
1669790665.925370,31304.000,2963,2,GX,1,100,0.214
1669790665.966321,31344.000,2963,2,GX,1,100,0.061
1669790666.006590,31383.333,2980,3,GX,1,100,-0.214
1669790666.046860,31422.667,2980,3,GX,1,100,0.061
1669790666.087129,31462.000,2980,3,GX,1,100,0.305
1669790666.127057,31501.000,2996,2,GX,1,100,0.183
1669790666.166985,31540.000,2996,2,GX,1,100,0.061
1669790666.206913,31579.000,3013,3,GX,1,100,0.336
1669790666.246841,31618.000,3013,3,GX,1,100,0.397
1669790666.286769,31657.000,3013,3,GX,1,100,-0.092
1669790666.326697,31696.000,3029,3,GX,1,100,-0.214
1669790666.366625,31735.000,3029,3,GX,1,100,-0.458
1669790666.406553,31774.000,3029,3,GX,1,100,-0.610
1669790666.445969,31812.500,3049,2,GX,1,100,0.092
1669790666.485385,31851.000,3049,2,GX,1,100,-0.153
1669790666.525654,31890.333,3064,3,GX,1,100,0.275
1669790666.565923,31929.667,3064,3,GX,1,100,0.397
1669790666.606192,31969.000,3064,3,GX,1,100,0.244
1669790666.646632,32008.500,3081,2,GX,1,100,-0.244
1669790666.687072,32048.000,3081,2,GX,1,100,0.122
1669790666.727000,32087.000,3097,3,GX,1,100,0.793
1669790666.766928,32126.000,3097,3,GX,1,100,0.153
1669790666.806856,32165.000,3097,3,GX,1,100,0.061
1669790666.846784,32204.000,3117,3,GX,1,100,0.366
1669790666.886712,32243.000,3117,3,GX,1,100,0.183
1669790666.926640,32282.000,3117,3,GX,1,100,0.061
1669790666.966568,32321.000,3133,2,GX,1,100,0.122
1669790667.006496,32360.000,3133,2,GX,1,100,0.458
1669790667.046424,32399.000,3149,3,GX,1,100,0.488
1669790667.086352,32438.000,3149,3,GX,1,100,0.366
1669790667.126280,32477.000,3149,3,GX,1,100,0.305
1669790667.161430,32511.333,3166,3,GX,1,100,0.397
1669790667.196580,32545.667,3166,3,GX,1,100,0.061
1669790667.231730,32580.000,3166,3,GX,1,100,-0.397
1669790667.271658,32619.000,3185,2,GX,1,100,-0.122
1669790667.311586,32658.000,3185,2,GX,1,100,0.427
1669790667.350832,32696.333,3201,3,GX,1,100,0.122
1669790667.390077,32734.667,3201,3,GX,1,100,0.336
1669790667.429322,32773.000,3201,3,GX,1,100,0.122
1669790667.469506,32812.250,3219,4,GX,1,100,0.305
1669790667.509690,32851.500,3219,4,GX,1,100,0.061
1669790667.549874,32890.750,3219,4,GX,1,100,-0.214
1669790667.590058,32930.000,3219,4,GX,1,100,0.488
1669790667.631010,32970.000,3235,2,GX,1,100,0.061
1669790667.671962,33010.000,3235,2,GX,1,100,-0.092
1669790667.711890,33049.000,3251,3,GX,1,100,0.092
1669790667.751817,33088.000,3251,3,GX,1,100,-0.122
1669790667.791745,33127.000,3251,3,GX,1,100,0.153
1669790667.831673,33166.000,3270,2,GX,1,100,0.092
1669790667.871601,33205.000,3270,2,GX,1,100,0.183
1669790667.910847,33243.333,3287,3,GX,1,100,0.275
1669790667.950092,33281.667,3287,3,GX,1,100,0.336
1669790667.989338,33320.000,3287,3,GX,1,100,0.183
1669790668.029266,33359.000,3303,3,GX,1,100,0.031
1669790668.069194,33398.000,3303,3,GX,1,100,-0.519
1669790668.109122,33437.000,3303,3,GX,1,100,0.305
1669790668.149050,33476.000,3322,2,GX,1,100,0.549
1669790668.188977,33515.000,3322,2,GX,1,100,0.305
1669790668.229929,33555.000,3338,3,GX,1,100,0.000
1669790668.270881,33595.000,3338,3,GX,1,100,0.244
1669790668.311833,33635.000,3338,3,GX,1,100,0.244
1669790668.351761,33674.000,3355,2,GX,1,100,0.122
1669790668.391689,33713.000,3355,2,GX,1,100,-0.183
1669790668.431617,33752.000,3372,3,GX,1,100,-0.031
1669790668.471545,33791.000,3372,3,GX,1,100,0.214
1669790668.511472,33830.000,3372,3,GX,1,100,0.061
1669790668.551400,33869.000,3389,3,GX,1,100,0.031
1669790668.591328,33908.000,3389,3,GX,1,100,0.214
1669790668.631256,33947.000,3389,3,GX,1,100,-0.092
1669790668.671184,33986.000,3404,2,GX,1,100,0.183
1669790668.711112,34025.000,3404,2,GX,1,100,0.183
1669790668.751040,34064.000,3422,3,GX,1,100,0.122
1669790668.790968,34103.000,3422,3,GX,1,100,0.824
1669790668.830896,34142.000,3422,3,GX,1,100,0.488
1669790668.866729,34177.000,3440,3,GX,1,100,0.305
1669790668.902562,34212.000,3440,3,GX,1,100,0.427
1669790668.938394,34247.000,3440,3,GX,1,100,0.122
1669790668.978322,34286.000,3457,3,GX,1,100,0.305
1669790669.018250,34325.000,3457,3,GX,1,100,0.793
1669790669.058178,34364.000,3457,3,GX,1,100,0.488
1669790669.098106,34403.000,3475,2,GX,1,100,0.824
1669790669.138034,34442.000,3475,2,GX,1,100,0.397
1669790669.177962,34481.000,3492,3,GX,1,100,0.366
1669790669.217890,34520.000,3492,3,GX,1,100,0.122
1669790669.257818,34559.000,3492,3,GX,1,100,0.488
1669790669.297746,34598.000,3508,2,GX,1,100,0.122
1669790669.337674,34637.000,3508,2,GX,1,100,-0.336
1669790669.376920,34675.333,3525,3,GX,1,100,-0.305
1669790669.416165,34713.667,3525,3,GX,1,100,-0.275
1669790669.455410,34752.000,3525,3,GX,1,100,-0.305
1669790669.495338,34791.000,3542,3,GX,1,100,-0.214
1669790669.535266,34830.000,3542,3,GX,1,100,-0.427
1669790669.575194,34869.000,3542,3,GX,1,100,0.275
1669790669.615122,34908.000,3558,2,GX,1,100,0.763
1669790669.655050,34947.000,3558,2,GX,1,100,0.183
1669790669.694978,34986.000,3574,3,GX,1,100,-0.183
1669790669.734906,35025.000,3574,3,GX,1,100,-0.122
1669790669.774834,35064.000,3574,3,GX,1,100,-0.031
1669790669.814762,35103.000,3594,4,GX,1,100,-0.397
1669790669.854690,35142.000,3594,4,GX,1,100,0.336
1669790669.894618,35181.000,3594,4,GX,1,100,0.244
1669790669.934546,35220.000,3594,4,GX,1,100,0.641
1669790669.974474,35259.000,3612,3,GX,1,100,0.641
1669790670.014402,35298.000,3612,3,GX,1,100,-0.031
