LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1671982077.132731,410634,63718,1,SA,1,100,0.000040
1671982077.464344,410958,63769,1,SA,1,100,0.000018
1671982077.662903,411152,63803,1,SA,1,100,0.000044
1671982077.863509,411348,63837,1,SA,1,100,0.000044
1671982078.197169,411674,63937,1,SA,1,100,0.000113
1671982078.931017,412391,64016,1,SA,1,100,0.000022
1671982079.129576,412585,64049,1,SA,1,100,0.000080
1671982079.396709,412846,64102,1,SA,1,100,0.000091
1671982080.127487,413560,64198,1,SA,1,100,0.000004
1671982080.329116,413757,64297,1,SA,1,100,0.000249
1671982081.063988,414475,64345,1,SA,1,100,0.000077
1671982081.397649,414801,64445,1,SA,1,100,0.000198
1671982082.126380,415513,64513,1,SA,1,100,0.000062
1671982082.325962,415708,64548,1,SA,1,100,0.000070
1671982082.592071,415968,64599,1,SA,1,100,0.000074
1671982083.521408,416876,64730,1,SA,1,100,0.000055
1671982083.723037,417073,64763,1,SA,1,100,0.000026
1671982083.920572,417266,64797,1,SA,1,100,0.000030
1671982084.122202,417463,64847,1,SA,1,100,0.000133
1671982084.588917,417919,64930,1,SA,1,100,0.000133
1671982085.652332,418958,65073,1,SA,1,100,0.000037
1671982086.122118,419417,65154,1,SA,1,100,0.000141
1671982086.519235,419805,65206,1,SA,1,100,0.000056
1671982086.851872,420130,65286,1,SA,1,100,0.000209
1671982087.313470,420581,65360,1,SA,1,100,0.000063
1671982087.782232,421039,65439,1,SA,1,100,0.000168
1671982088.316498,421561,65524,1,SA,1,100,0.000139
1671982088.717710,421953,36,1,SA,1,100,0.000150
1671982089.051370,422279,86,1,SA,1,100,0.000094
1671982089.315433,422537,138,1,SA,1,100,0.000090
1671982089.646023,422860,202,1,SA,1,100,0.000192
1671982090.247840,423448,302,1,SA,1,100,0.000185
1671982090.847610,424034,351,1,SA,1,100,0.000091
1671982091.048216,424230,402,1,SA,1,100,0.000143
1671982091.447380,424620,498,1,SA,1,100,0.000200
1671982092.182252,425338,633,1,SA,1,100,0.000262
1671982092.783045,425925,669,1,SA,1,100,0.000163
1671982093.317312,426447,748,1,SA,1,100,0.000171
1671982093.582398,426706,799,1,SA,1,100,0.000053
1671982094.112570,427224,896,1,SA,1,100,0.000118
1671982094.444183,427548,948,1,SA,1,100,0.000069
1671982094.778867,427875,981,1,SA,1,100,0.000042
