LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1671981922.444247,259497.000,39663,1,EL,1,100,-3199.000000
1671981922.510262,259561.500,39678,2,EL,1,100,-3205.399902
1671981922.576278,259626.000,39678,2,EL,1,100,-3210.399902
1671981922.643317,259691.500,39693,2,EL,1,100,-3214.399902
1671981922.710356,259757.000,39693,2,EL,1,100,-3218.600098
1671981922.778931,259824.000,39709,1,EL,1,100,-3223.199951
1671981922.845970,259889.500,39729,2,EL,1,100,-3218.199951
1671981922.913009,259955.000,39729,2,EL,1,100,-3219.000000
1671981922.979536,260020.000,39746,1,EL,1,100,-3221.000000
1671981923.045040,260084.000,39762,2,EL,1,100,-3227.199951
1671981923.110544,260148.000,39762,2,EL,1,100,-3237.399902
1671981923.176048,260212.000,39777,1,EL,1,100,-3244.800049
1671981923.243087,260277.500,39793,2,EL,1,100,-3249.399902
1671981923.310126,260343.000,39793,2,EL,1,100,-3251.800049
1671981923.378701,260410.000,39808,1,EL,1,100,-3254.000000
1671981923.445740,260475.500,39824,2,EL,1,100,-3260.800049
1671981923.512779,260541.000,39824,2,EL,1,100,-3264.199951
1671981923.579306,260606.000,39841,2,EL,1,100,-3261.800049
1671981923.645834,260671.000,39841,2,EL,1,100,-3260.800049
1671981923.710314,260734.000,39857,1,EL,1,100,-3269.800049
1671981923.776842,260799.000,39879,2,EL,1,100,-3271.800049
1671981923.843369,260864.000,39879,2,EL,1,100,-3275.199951
1671981923.908873,260928.000,39895,1,EL,1,100,-3276.399902
1671981923.977447,260995.000,39909,2,EL,1,100,-3281.800049
1671981924.046022,261062.000,39909,2,EL,1,100,-3282.600098
1671981924.112549,261127.000,39926,1,EL,1,100,-3285.600098
1671981924.178565,261191.500,39943,2,EL,1,100,-3291.000000
1671981924.244581,261256.000,39943,2,EL,1,100,-3293.000000
1671981924.312131,261322.000,39959,1,EL,1,100,-3293.199951
1671981924.378147,261386.500,39974,2,EL,1,100,-3293.199951
1671981924.444163,261451.000,39974,2,EL,1,100,-3295.199951
1671981924.510178,261515.500,39992,2,EL,1,100,-3292.600098
1671981924.576194,261580.000,39992,2,EL,1,100,-3298.800049
