LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1671982104.449904,437324.000,2507,1,BV,1,100,4.12
1671982105.450886,438302.000,2669,1,BV,1,100,4.12
1671982106.447773,439276.000,2818,1,BV,1,100,4.12
1671982107.446707,440252.000,2981,1,BV,1,100,4.12
1671982108.444618,441227.000,3139,1,BV,1,100,4.12
1671982109.444577,442204.000,3302,1,BV,1,100,4.12
1671982110.443511,443180.000,3450,1,BV,1,100,4.12
1671982111.440398,444154.000,3617,1,BV,1,100,4.12
1671982112.439333,445130.000,3781,1,BV,1,100,4.12
1671982113.438267,446106.000,3928,1,BV,1,100,4.12
1671982114.441296,447086.000,4084,1,BV,1,100,4.12
1671982115.437160,448059.000,4247,1,BV,1,100,4.12
1671982116.434047,449033.000,4392,1,BV,1,100,4.12
1671982117.435029,450011.000,4555,1,BV,1,100,4.12
1671982118.428846,450982.000,4721,1,BV,1,100,4.12
1671982119.431874,451962.000,4860,1,BV,1,100,4.12
1671982120.434903,452942.000,5023,1,BV,1,100,4.12
1671982121.431790,453916.000,5184,1,BV,1,100,4.12
1671982122.430725,454892.000,5336,1,BV,1,100,4.12
1671982123.429659,455868.000,5503,1,BV,1,100,4.12
1671982124.427570,456843.000,5658,1,BV,1,100,4.12
1671982125.423434,457816.000,5821,1,BV,1,100,4.12
1671982126.421345,458791.000,5969,1,BV,1,100,4.12
1671982127.420280,459767.000,6134,1,BV,1,100,4.12
1671982128.422285,460746.000,6296,1,BV,1,100,4.12
1671982129.419172,461720.000,6449,1,BV,1,100,4.12
1671982130.412989,462691.000,6595,1,BV,1,100,4.12
1671982131.417041,463672.000,6764,1,BV,1,100,4.12
1671982132.411882,464644.000,6930,1,BV,1,100,4.12
1671982133.409793,465619.000,7079,1,BV,1,100,4.12
1671982134.408727,466595.000,7247,1,BV,1,100,4.12
1671982135.405615,467569.000,7378,1,BV,1,100,4.12
1671982136.405572,468546.000,7540,1,BV,1,100,4.12
1671982137.402460,469520.000,7689,1,BV,1,100,4.11
1671982138.402418,470497.000,7858,1,BV,1,100,4.11
1671982139.397259,471469.000,8010,1,BV,1,100,4.12
1671982140.397216,472446.000,8184,1,BV,1,100,4.11
1671982141.399221,473425.000,8345,1,BV,1,100,4.11
1671982142.402250,474405.000,8494,1,BV,1,100,4.11
1671982143.399137,475379.000,8661,1,BV,1,100,4.12
1671982144.395001,476352.000,8829,1,BV,1,100,4.12
1671982145.392912,477327.000,8967,1,BV,1,100,4.12
1671982146.391847,478303.000,9130,1,BV,1,100,4.12
1671982147.391805,479280.000,9294,1,BV,1,100,4.12
1671982148.388692,480254.000,9436,1,BV,1,100,4.12
1671982149.391721,481234.000,9597,1,BV,1,100,4.12
1671982150.393726,482213.000,9752,1,BV,1,100,4.12
1671982151.387543,483184.000,9909,1,BV,1,100,4.12
1671982152.391595,484165.000,10054,1,BV,1,100,4.12
1671982153.389506,485140.000,10217,1,BV,1,100,4.12
1671982154.383323,486111.000,10381,1,BV,1,100,4.12
1671982155.385328,487090.000,10531,1,BV,1,100,4.12
1671982156.383239,488065.000,10685,1,BV,1,100,4.12
1671982157.382173,489041.000,10850,1,BV,1,100,4.12
1671982158.377013,490013.000,10993,1,BV,1,100,4.12
1671982159.372878,490986.000,11158,1,BV,1,100,4.12
1671982160.370789,491961.000,11326,1,BV,1,100,4.12
1671982161.369723,492937.000,11478,1,BV,1,100,4.12
1671982162.368658,493913.000,11623,1,BV,1,100,4.11
1671982163.365545,494887.000,11789,1,BV,1,100,4.12
1671982164.367550,495866.000,11957,1,BV,1,100,4.12
1671982165.361367,496837.000,12102,1,BV,1,100,4.12
1671982166.360301,497813.000,12273,1,BV,1,100,4.11
1671982167.359236,498789.000,12417,1,BV,1,100,4.11
1671982168.353053,499760.000,12579,1,BV,1,100,4.11
