LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1671981904.699854,242160.000,36894,3,MZ,1,100,-22
1671981904.734653,242194.000,36911,3,MZ,1,100,-22
1671981904.769452,242228.000,36911,3,MZ,1,100,-23
1671981904.804251,242262.000,36911,3,MZ,1,100,-22
1671981904.844850,242301.667,36927,3,MZ,1,100,-23
1671981904.885448,242341.333,36927,3,MZ,1,100,-22
1671981904.926047,242381.000,36927,3,MZ,1,100,-22
1671981904.965964,242420.000,36943,2,MZ,1,100,-23
1671981905.005880,242459.000,36943,2,MZ,1,100,-22
1671981905.045797,242498.000,36958,3,MZ,1,100,-21
1671981905.085713,242537.000,36958,3,MZ,1,100,-21
1671981905.125629,242576.000,36958,3,MZ,1,100,-22
1671981905.165546,242615.000,36975,2,MZ,1,100,-21
1671981905.205462,242654.000,36975,2,MZ,1,100,-23
1671981905.245379,242693.000,36992,3,MZ,1,100,-21
1671981905.285295,242732.000,36992,3,MZ,1,100,-23
1671981905.325212,242771.000,36992,3,MZ,1,100,-22
1671981905.365128,242810.000,37007,3,MZ,1,100,-21
1671981905.405045,242849.000,37007,3,MZ,1,100,-22
1671981905.444961,242888.000,37007,3,MZ,1,100,-21
1671981905.484877,242927.000,37023,2,MZ,1,100,-21
1671981905.524794,242966.000,37023,2,MZ,1,100,-23
1671981905.564028,243004.333,37041,3,MZ,1,100,-23
1671981905.603262,243042.667,37041,3,MZ,1,100,-22
1671981905.642496,243081.000,37041,3,MZ,1,100,-21
1671981905.682413,243120.000,37056,2,MZ,1,100,-21
1671981905.722329,243159.000,37056,2,MZ,1,100,-22
1671981905.762246,243198.000,37072,3,MZ,1,100,-21
1671981905.802162,243237.000,37072,3,MZ,1,100,-21
1671981905.842078,243276.000,37072,3,MZ,1,100,-21
1671981905.881995,243315.000,37091,3,MZ,1,100,-20
1671981905.921911,243354.000,37091,3,MZ,1,100,-20
1671981905.961828,243393.000,37091,3,MZ,1,100,-20
1671981906.001744,243432.000,37107,2,MZ,1,100,-21
1671981906.041661,243471.000,37107,2,MZ,1,100,-21
1671981906.081577,243510.000,37125,3,MZ,1,100,-21
1671981906.121494,243549.000,37125,3,MZ,1,100,-23
1671981906.161410,243588.000,37125,3,MZ,1,100,-21
1671981906.200303,243626.000,37141,2,MZ,1,100,-22
1671981906.239196,243664.000,37141,2,MZ,1,100,-21
