LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1671983236.644904,1543525.000,45379,1,SF,1,100,4.1439
1671983236.909991,1543784.000,45426,1,SF,1,100,4.0959
1671983237.244674,1544111.000,45473,1,SF,1,100,4.0486
1671983237.576288,1544435.000,45521,1,SF,1,100,4.0017
1671983237.977499,1544827.000,45585,1,SF,1,100,3.9554
1671983238.242585,1545086.000,45635,1,SF,1,100,3.9097
1671983238.574199,1545410.000,45681,1,SF,1,100,3.8644
1671983238.905813,1545734.000,45732,1,SF,1,100,3.8197
1671983239.235379,1546056.000,45779,1,SF,1,100,3.7756
1671983239.637614,1546449.000,45845,1,SF,1,100,3.7319
1671983239.902700,1546708.000,45892,1,SF,1,100,3.6887
1671983240.237384,1547035.000,45939,1,SF,1,100,3.6460
1671983240.568997,1547359.000,45978,1,SF,1,100,3.6039
1671983240.900611,1547683.000,46027,1,SF,1,100,3.5622
1671983241.232224,1548007.000,46074,1,SF,1,100,3.5210
1671983241.630365,1548396.000,46140,1,SF,1,100,3.4802
1671983241.961979,1548720.000,46186,1,SF,1,100,3.4400
1671983242.229112,1548981.000,46236,1,SF,1,100,3.4002
1671983242.562772,1549307.000,46282,1,SF,1,100,3.3608
1671983242.896433,1549633.000,46331,1,SF,1,100,3.3220
1671983243.295597,1550023.000,46395,1,SF,1,100,3.2835
1671983243.626187,1550346.000,46442,1,SF,1,100,3.2456
1671983243.894344,1550608.000,46491,1,SF,1,100,3.2080
1671983244.225957,1550932.000,46539,1,SF,1,100,3.1709
1671983244.561665,1551260.000,46587,1,SF,1,100,3.1342
1671983244.960829,1551650.000,46651,1,SF,1,100,3.0980
1671983245.226939,1551910.000,46699,1,SF,1,100,3.0621
1671983245.558552,1552234.000,46747,1,SF,1,100,3.0267
1671983245.890166,1552558.000,46787,1,SF,1,100,2.9917
1671983246.223826,1552884.000,46835,1,SF,1,100,2.9571
1671983246.553393,1553206.000,46881,1,SF,1,100,2.9229
1671983246.890124,1553535.000,46932,1,SF,1,100,2.8891
1671983247.291335,1553927.000,46994,1,SF,1,100,2.8556
1671983247.557445,1554187.000,47041,1,SF,1,100,2.8226
1671983247.889058,1554511.000,47092,1,SF,1,100,2.7900
1671983248.219648,1554834.000,47138,1,SF,1,100,2.7577
1671983248.551262,1555158.000,47188,1,SF,1,100,2.7258
1671983249.020024,1555616.000,47252,1,SF,1,100,2.6942
1671983249.219606,1555811.000,47284,1,SF,1,100,2.6631
1671983249.619794,1556202.000,47350,1,SF,1,100,2.6323
1671983249.952431,1556527.000,47396,1,SF,1,100,2.6018
1671983250.219564,1556788.000,47444,1,SF,1,100,2.5717
1671983250.552201,1557113.000,47492,1,SF,1,100,2.5420
1671983250.882791,1557436.000,47541,1,SF,1,100,2.5126
1671983251.285026,1557829.000,47595,1,SF,1,100,2.4835
1671983251.548065,1558086.000,47644,1,SF,1,100,2.4548
1671983251.884796,1558415.000,47693,1,SF,1,100,2.4264
1671983252.217433,1558740.000,47739,1,SF,1,100,2.3983
1671983252.613527,1559127.000,47805,1,SF,1,100,2.3706
1671983252.945141,1559451.000,47853,1,SF,1,100,2.3431
1671983253.210227,1559710.000,47899,1,SF,1,100,2.3160
1671983253.546958,1560039.000,47948,1,SF,1,100,2.2892
1671983253.878571,1560363.000,47997,1,SF,1,100,2.2628
1671983254.279783,1560755.000,48061,1,SF,1,100,2.2366
1671983254.547939,1561017.000,48108,1,SF,1,100,2.2107
1671983254.879553,1561341.000,48157,1,SF,1,100,2.1851
1671983255.211166,1561665.000,48206,1,SF,1,100,2.1599
1671983255.609307,1562054.000,48270,1,SF,1,100,2.1349
1671983255.939897,1562377.000,48318,1,SF,1,100,2.1102
1671983256.274581,1562704.000,48371,1,SF,1,100,2.0858
1671983256.607218,1563029.000,48419,1,SF,1,100,2.0616
1671983256.940878,1563355.000,48469,1,SF,1,100,2.0378
1671983257.206988,1563615.000,48515,1,SF,1,100,2.0142
1671983257.539625,1563940.000,48564,1,SF,1,100,1.9909
1671983257.941860,1564333.000,48629,1,SF,1,100,1.9679
1671983258.272450,1564656.000,48677,1,SF,1,100,1.9451
1671983258.541630,1564919.000,48724,1,SF,1,100,1.9226
1671983258.873244,1565243.000,48773,1,SF,1,100,1.9004
1671983259.207927,1565570.000,48822,1,SF,1,100,1.8784
1671983259.605045,1565958.000,48886,1,SF,1,100,1.8567
1671983259.937682,1566283.000,48932,1,SF,1,100,1.8352
1671983260.201745,1566541.000,48980,1,SF,1,100,1.8140
1671983260.533358,1566865.000,49026,1,SF,1,100,1.7930
1671983260.869066,1567193.000,49077,1,SF,1,100,1.7722
1671983261.266183,1567581.000,49139,1,SF,1,100,1.7517
1671983261.531269,1567840.000,49174,1,SF,1,100,1.7315
1671983261.862883,1568164.000,49223,1,SF,1,100,1.7114
1671983262.261024,1568553.000,49287,1,SF,1,100,1.6916
1671983262.592637,1568877.000,49334,1,SF,1,100,1.6721
1671983262.857723,1569136.000,49383,1,SF,1,100,1.6527
1671983263.190360,1569461.000,49430,1,SF,1,100,1.6336
1671983263.525044,1569788.000,49478,1,SF,1,100,1.6147
1671983263.923185,1570177.000,49542,1,SF,1,100,1.5960
