LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1673995948.399623,1233680.000,61332,3,PR,1,100,144374
1673995948.439547,1233719.000,61349,3,PR,1,100,144384
1673995948.479470,1233758.000,61349,3,PR,1,100,144389
1673995948.519393,1233797.000,61349,3,PR,1,100,144365
1673995948.559317,1233836.000,61366,2,PR,1,100,144319
1673995948.599241,1233875.000,61366,2,PR,1,100,144276
1673995948.638994,1233913.833,61389,6,PR,1,100,144275
1673995948.678746,1233952.667,61389,6,PR,1,100,144281
1673995948.718499,1233991.500,61389,6,PR,1,100,144279
1673995948.758252,1234030.333,61389,6,PR,1,100,144284
1673995948.798005,1234069.167,61389,6,PR,1,100,144283
1673995948.837758,1234108.000,61389,6,PR,1,100,144283
1673995948.877681,1234147.000,61405,3,PR,1,100,144279
1673995948.917605,1234186.000,61405,3,PR,1,100,144269
1673995948.957529,1234225.000,61405,3,PR,1,100,144280
1673995949.003594,1234270.000,61421,2,PR,1,100,144282
1673995949.049660,1234315.000,61421,2,PR,1,100,144300
1673995949.089242,1234353.667,61436,3,PR,1,100,144299
1673995949.128824,1234392.333,61436,3,PR,1,100,144309
1673995949.168406,1234431.000,61436,3,PR,1,100,144313
1673995949.208671,1234470.333,61453,3,PR,1,100,144301
1673995949.248936,1234509.667,61453,3,PR,1,100,144327
1673995949.289201,1234549.000,61453,3,PR,1,100,144344
1673995949.330148,1234589.000,61470,2,PR,1,100,144345
1673995949.371095,1234629.000,61470,2,PR,1,100,144371
1673995949.411360,1234668.333,61485,3,PR,1,100,144368
1673995949.451625,1234707.667,61485,3,PR,1,100,144345
1673995949.491889,1234747.000,61485,3,PR,1,100,144301
1673995949.531813,1234786.000,61500,2,PR,1,100,144263
1673995949.571736,1234825.000,61500,2,PR,1,100,144249
1673995949.610977,1234863.333,61519,3,PR,1,100,144235
1673995949.650218,1234901.667,61519,3,PR,1,100,144260
1673995949.689460,1234940.000,61519,3,PR,1,100,144260
1673995949.729042,1234978.667,61534,3,PR,1,100,144243
1673995949.768624,1235017.333,61534,3,PR,1,100,144233
1673995949.808207,1235056.000,61534,3,PR,1,100,144219
1673995949.848130,1235095.000,61550,2,PR,1,100,144213
1673995949.888053,1235134.000,61550,2,PR,1,100,144214
1673995949.929001,1235174.000,61565,3,PR,1,100,144224
1673995949.969948,1235214.000,61565,3,PR,1,100,144237
1673995950.010895,1235254.000,61565,3,PR,1,100,144235
1673995950.051331,1235293.500,61581,2,PR,1,100,144245
1673995950.091766,1235333.000,61581,2,PR,1,100,144248
1673995950.131689,1235372.000,61596,3,PR,1,100,144245
1673995950.171613,1235411.000,61596,3,PR,1,100,144264
1673995950.211536,1235450.000,61596,3,PR,1,100,144268
1673995950.250777,1235488.333,61613,3,PR,1,100,144263
1673995950.290019,1235526.667,61613,3,PR,1,100,144282
1673995950.329260,1235565.000,61613,3,PR,1,100,144297
1673995950.376349,1235611.000,61629,2,PR,1,100,144288
1673995950.423438,1235657.000,61629,2,PR,1,100,144248
1673995950.462850,1235695.500,61645,2,PR,1,100,144208
1673995950.502261,1235734.000,61645,2,PR,1,100,144185
1673995950.542526,1235773.333,61661,3,PR,1,100,144164
1673995950.582791,1235812.667,61661,3,PR,1,100,144181
1673995950.623056,1235852.000,61661,3,PR,1,100,144191
1673995950.663320,1235891.333,61679,3,PR,1,100,144186
1673995950.703585,1235930.667,61679,3,PR,1,100,144204
1673995950.743850,1235970.000,61679,3,PR,1,100,144193
1673995950.783773,1236009.000,61694,2,PR,1,100,144192
1673995950.823697,1236048.000,61694,2,PR,1,100,144189
1673995950.863621,1236087.000,61710,3,PR,1,100,144194
1673995950.903544,1236126.000,61710,3,PR,1,100,144200
1673995950.943467,1236165.000,61710,3,PR,1,100,144208
1673995950.983391,1236204.000,61725,3,PR,1,100,144212
1673995951.023314,1236243.000,61725,3,PR,1,100,144213
1673995951.063238,1236282.000,61725,3,PR,1,100,144217
1673995951.102138,1236320.000,61741,2,PR,1,100,144216
1673995951.141038,1236358.000,61741,2,PR,1,100,144227
1673995951.180620,1236396.667,61759,3,PR,1,100,144244
1673995951.220202,1236435.333,61759,3,PR,1,100,144241
1673995951.259784,1236474.000,61759,3,PR,1,100,144243
1673995951.299708,1236513.000,61775,3,PR,1,100,144264
1673995951.339632,1236552.000,61775,3,PR,1,100,144262
1673995951.379555,1236591.000,61775,3,PR,1,100,144224
1673995951.419479,1236630.000,61789,3,PR,1,100,144195
1673995951.459402,1236669.000,61789,3,PR,1,100,144164
1673995951.499326,1236708.000,61789,3,PR,1,100,144148
1673995951.539249,1236747.000,61806,3,PR,1,100,144154
1673995951.579173,1236786.000,61806,3,PR,1,100,144162
1673995951.619096,1236825.000,61806,3,PR,1,100,144183
1673995951.659020,1236864.000,61823,2,PR,1,100,144172
1673995951.698943,1236903.000,61823,2,PR,1,100,144174
1673995951.742620,1236945.667,61839,3,PR,1,100,144165
1673995951.786297,1236988.333,61839,3,PR,1,100,144164
1673995951.829974,1237031.000,61839,3,PR,1,100,144180
1673995951.869898,1237070.000,61854,2,PR,1,100,144186
1673995951.909821,1237109.000,61854,2,PR,1,100,144183
1673995951.949062,1237147.333,61871,3,PR,1,100,144190
1673995951.988303,1237185.667,61871,3,PR,1,100,144196
1673995952.027544,1237224.000,61871,3,PR,1,100,144198
1673995952.067468,1237263.000,61885,2,PR,1,100,144201
1673995952.107392,1237302.000,61885,2,PR,1,100,144210
1673995952.147997,1237341.667,61903,3,PR,1,100,144215
1673995952.188603,1237381.333,61903,3,PR,1,100,144220
1673995952.229209,1237421.000,61903,3,PR,1,100,144217
1673995952.270157,1237461.000,61919,2,PR,1,100,144192
1673995952.311104,1237501.000,61919,2,PR,1,100,144181
1673995952.351027,1237540.000,61935,3,PR,1,100,144177
1673995952.390951,1237579.000,61935,3,PR,1,100,144159
1673995952.430874,1237618.000,61935,3,PR,1,100,144170
1673995952.470457,1237656.667,61949,3,PR,1,100,144174
1673995952.510039,1237695.333,61949,3,PR,1,100,144174
1673995952.549621,1237734.000,61949,3,PR,1,100,144162
1673995952.589033,1237772.500,61966,2,PR,1,100,144164
1673995952.628444,1237811.000,61966,2,PR,1,100,144152
1673995952.669392,1237851.000,61983,3,PR,1,100,144144
1673995952.710339,1237891.000,61983,3,PR,1,100,144155
1673995952.751286,1237931.000,61983,3,PR,1,100,144161
1673995952.791210,1237970.000,61999,2,PR,1,100,144164
1673995952.831133,1238009.000,61999,2,PR,1,100,144167
1673995952.871057,1238048.000,62015,3,PR,1,100,144178
1673995952.910980,1238087.000,62015,3,PR,1,100,144169
1673995952.950904,1238126.000,62015,3,PR,1,100,144191
1673995952.990827,1238165.000,62032,3,PR,1,100,144189
1673995953.030751,1238204.000,62032,3,PR,1,100,144164
1673995953.070674,1238243.000,62032,3,PR,1,100,144111
