LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1673995947.637493,1232935.500,61237,4,EM,1,100,RB
1673995947.688933,1232985.750,61237,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995947.740373,1233036.000,61237,4,EM,1,100,PS
1673995947.792581,1233087.000,61267,4,EM,1,100,RS
1673995947.844789,1233138.000,61267,4,EM,1,100,RB
1673995947.896996,1233189.000,61267,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995947.949204,1233240.000,61267,4,EM,1,100,PS
1673995948.000644,1233290.250,61299,4,EM,1,100,RS
1673995948.052084,1233340.500,61299,4,EM,1,100,RB
1673995948.103523,1233390.750,61299,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995948.154963,1233441.000,61299,4,EM,1,100,PS
1673995948.206403,1233491.250,61330,4,EM,1,100,RS
1673995948.257843,1233541.500,61330,4,EM,1,100,RB
1673995948.309283,1233591.750,61330,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995948.360723,1233642.000,61330,4,EM,1,100,PS
1673995948.412163,1233692.250,61363,4,EM,1,100,RS
1673995948.463603,1233742.500,61363,4,EM,1,100,RB
1673995948.515043,1233792.750,61363,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995948.566483,1233843.000,61363,4,EM,1,100,PS
1673995948.636349,1233911.250,61387,4,EM,1,100,RS
1673995948.706215,1233979.500,61387,4,EM,1,100,RB
1673995948.776081,1234047.750,61387,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995948.845948,1234116.000,61387,4,EM,1,100,PS
1673995948.897387,1234166.250,61419,4,EM,1,100,RS
1673995948.948827,1234216.500,61419,4,EM,1,100,RB
1673995949.000267,1234266.750,61419,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995949.051707,1234317.000,61419,4,EM,1,100,PS
1673995949.103147,1234367.250,61450,4,EM,1,100,RS
1673995949.154587,1234417.500,61450,4,EM,1,100,RB
1673995949.206027,1234467.750,61450,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995949.257467,1234518.000,61450,4,EM,1,100,PS
1673995949.309930,1234569.250,61483,4,EM,1,100,RS
1673995949.362394,1234620.500,61483,4,EM,1,100,RB
1673995949.414858,1234671.750,61483,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995949.467321,1234723.000,61483,4,EM,1,100,PS
1673995949.518505,1234773.000,61516,4,EM,1,100,RS
1673995949.569689,1234823.000,61516,4,EM,1,100,RB
1673995949.620873,1234873.000,61516,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995949.672057,1234923.000,61516,4,EM,1,100,PS
1673995949.723497,1234973.250,61548,4,EM,1,100,RS
1673995949.774937,1235023.500,61548,4,EM,1,100,RB
1673995949.826377,1235073.750,61548,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995949.877817,1235124.000,61548,4,EM,1,100,PS
1673995949.929257,1235174.250,61579,4,EM,1,100,RS
1673995949.980697,1235224.500,61579,4,EM,1,100,RB
1673995950.032136,1235274.750,61579,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995950.083576,1235325.000,61579,4,EM,1,100,PS
1673995950.135016,1235375.250,61610,4,EM,1,100,RS
1673995950.186456,1235425.500,61610,4,EM,1,100,RB
1673995950.237896,1235475.750,61610,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995950.289336,1235526.000,61610,4,EM,1,100,PS
1673995950.340776,1235576.250,61643,4,EM,1,100,RS
1673995950.392216,1235626.500,61643,4,EM,1,100,RB
1673995950.443656,1235676.750,61643,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995950.495096,1235727.000,61643,4,EM,1,100,PS
1673995950.546535,1235777.250,61677,4,EM,1,100,RS
1673995950.597975,1235827.500,61677,4,EM,1,100,RB
1673995950.649415,1235877.750,61677,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995950.700855,1235928.000,61677,4,EM,1,100,PS
1673995950.752295,1235978.250,61707,4,EM,1,100,RS
1673995950.803735,1236028.500,61707,4,EM,1,100,RB
1673995950.855175,1236078.750,61707,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995950.906615,1236129.000,61707,4,EM,1,100,PS
1673995950.958311,1236179.500,61739,4,EM,1,100,RS
1673995951.010007,1236230.000,61739,4,EM,1,100,RB
1673995951.061702,1236280.500,61739,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995951.113398,1236331.000,61739,4,EM,1,100,PS
1673995951.166118,1236382.500,61773,4,EM,1,100,RS
1673995951.218837,1236434.000,61773,4,EM,1,100,RB
1673995951.271557,1236485.500,61773,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995951.324276,1236537.000,61773,4,EM,1,100,PS
1673995951.387489,1236598.750,61803,4,EM,1,100,RS
1673995951.450701,1236660.500,61803,4,EM,1,100,RB
1673995951.513913,1236722.250,61803,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995951.577125,1236784.000,61803,4,EM,1,100,PS
1673995951.628309,1236834.000,61837,4,EM,1,100,RS
1673995951.679493,1236884.000,61837,4,EM,1,100,RB
1673995951.730677,1236934.000,61837,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995951.781861,1236984.000,61837,4,EM,1,100,PS
1673995951.833301,1237034.250,61868,4,EM,1,100,RS
1673995951.884741,1237084.500,61868,4,EM,1,100,RB
1673995951.936181,1237134.750,61868,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995951.987621,1237185.000,61868,4,EM,1,100,PS
1673995952.040085,1237236.250,61899,4,EM,1,100,RS
1673995952.092548,1237287.500,61899,4,EM,1,100,RB
1673995952.145012,1237338.750,61899,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995952.197475,1237390.000,61899,4,EM,1,100,PS
1673995952.248915,1237440.250,61933,4,EM,1,100,RS
1673995952.300355,1237490.500,61933,4,EM,1,100,RB
1673995952.351795,1237540.750,61933,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995952.403235,1237591.000,61933,4,EM,1,100,PS
1673995952.454675,1237641.250,61963,4,EM,1,100,RS
1673995952.506115,1237691.500,61963,4,EM,1,100,RB
1673995952.557555,1237741.750,61963,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995952.608995,1237792.000,61963,4,EM,1,100,PS
1673995952.660434,1237842.250,61997,4,EM,1,100,RS
1673995952.711874,1237892.500,61997,4,EM,1,100,RB
1673995952.763314,1237942.750,61997,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995952.814754,1237993.000,61997,4,EM,1,100,PS
1673995952.867730,1238044.750,62028,4,EM,1,100,RS
1673995952.920705,1238096.500,62028,4,EM,1,100,RB
1673995952.973680,1238148.250,62028,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995953.026656,1238200.000,62028,4,EM,1,100,PS
1673995953.078096,1238250.250,62061,4,EM,1,100,RS
1673995953.129536,1238300.500,62061,4,EM,1,100,RB
1673995953.180976,1238350.750,62061,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995953.232416,1238401.000,62061,4,EM,1,100,PS
1673995953.283856,1238451.250,62092,4,EM,1,100,RS
1673995953.335295,1238501.500,62092,4,EM,1,100,RB
1673995953.386735,1238551.750,62092,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995953.438175,1238602.000,62092,4,EM,1,100,PS
1673995953.489615,1238652.250,62125,4,EM,1,100,RS
1673995953.541055,1238702.500,62125,4,EM,1,100,RB
1673995953.592495,1238752.750,62125,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995953.643935,1238803.000,62125,4,EM,1,100,PS
1673995953.707147,1238864.750,62159,4,EM,1,100,RS
1673995953.770360,1238926.500,62159,4,EM,1,100,RB
1673995953.833572,1238988.250,62159,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995953.896784,1239050.000,62159,4,EM,1,100,PS
1673995953.952574,1239104.500,62181,4,EM,1,100,RS
1673995954.008365,1239159.000,62181,4,EM,1,100,RB
1673995954.064156,1239213.500,62181,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995954.119946,1239268.000,62181,4,EM,1,100,PS
1673995954.175737,1239322.500,62212,4,EM,1,100,RS
1673995954.231527,1239377.000,62212,4,EM,1,100,RB
1673995954.287318,1239431.500,62212,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995954.343108,1239486.000,62212,4,EM,1,100,PS
1673995954.394548,1239536.250,62243,4,EM,1,100,RS
1673995954.445988,1239586.500,62243,4,EM,1,100,RB
1673995954.497428,1239636.750,62243,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995954.548868,1239687.000,62243,4,EM,1,100,PS
1673995954.600308,1239737.250,62277,4,EM,1,100,RS
1673995954.651748,1239787.500,62277,4,EM,1,100,RB
1673995954.703188,1239837.750,62277,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995954.754628,1239888.000,62277,4,EM,1,100,PS
1673995954.806067,1239938.250,62310,4,EM,1,100,RS
1673995954.857507,1239988.500,62310,4,EM,1,100,RB
1673995954.908947,1240038.750,62310,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995954.960387,1240089.000,62310,4,EM,1,100,PS
1673995955.011827,1240139.250,62341,4,EM,1,100,RS
1673995955.063267,1240189.500,62341,4,EM,1,100,RB
1673995955.114707,1240239.750,62341,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995955.166147,1240290.000,62341,4,EM,1,100,PS
1673995955.217587,1240340.250,62373,4,EM,1,100,RS
1673995955.269027,1240390.500,62373,4,EM,1,100,RB
1673995955.320467,1240440.750,62373,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995955.371907,1240491.000,62373,4,EM,1,100,PS
1673995955.423347,1240541.250,62403,4,EM,1,100,RS
1673995955.474787,1240591.500,62403,4,EM,1,100,RB
1673995955.526226,1240641.750,62403,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995955.577666,1240692.000,62403,4,EM,1,100,PS
1673995955.629106,1240742.250,62437,4,EM,1,100,RS
1673995955.680546,1240792.500,62437,4,EM,1,100,RB
1673995955.731986,1240842.750,62437,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995955.783426,1240893.000,62437,4,EM,1,100,PS
1673995955.834866,1240943.250,62467,4,EM,1,100,RS
1673995955.886306,1240993.500,62467,4,EM,1,100,RB
1673995955.937746,1241043.750,62467,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995955.989186,1241094.000,62467,4,EM,1,100,PS
1673995956.057260,1241160.500,62501,4,EM,1,100,RS
1673995956.125335,1241227.000,62501,4,EM,1,100,RB
1673995956.193410,1241293.500,62501,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995956.261484,1241360.000,62501,4,EM,1,100,PS
1673995956.312924,1241410.250,62533,4,EM,1,100,RS
1673995956.364364,1241460.500,62533,4,EM,1,100,RB
1673995956.415804,1241510.750,62533,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995956.467244,1241561.000,62533,4,EM,1,100,PS
1673995956.518684,1241611.250,62566,4,EM,1,100,RS
1673995956.570124,1241661.500,62566,4,EM,1,100,RB
1673995956.621564,1241711.750,62566,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995956.673004,1241762.000,62566,4,EM,1,100,PS
1673995956.724444,1241812.250,62597,4,EM,1,100,RS
1673995956.775883,1241862.500,62597,4,EM,1,100,RB
1673995956.827323,1241912.750,62597,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995956.878763,1241963.000,62597,4,EM,1,100,PS
