LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1673995943.480073,1228874.250,60598,4,PI,1,100,164791
1673995943.523324,1228916.500,60598,4,PI,1,100,164817
1673995943.566574,1228958.750,60598,4,PI,1,100,164800
1673995943.609825,1229001.000,60598,4,PI,1,100,164797
1673995943.649748,1229040.000,60615,3,PI,1,100,164796
1673995943.689672,1229079.000,60615,3,PI,1,100,164790
1673995943.729595,1229118.000,60615,3,PI,1,100,164784
1673995943.769519,1229157.000,60631,2,PI,1,100,164769
1673995943.809443,1229196.000,60631,2,PI,1,100,164771
1673995943.848684,1229234.333,60648,3,PI,1,100,164721
1673995943.887925,1229272.667,60648,3,PI,1,100,164591
1673995943.927166,1229311.000,60648,3,PI,1,100,164522
1673995943.967089,1229350.000,60664,2,PI,1,100,164495
1673995944.007013,1229389.000,60664,2,PI,1,100,164502
1673995944.046936,1229428.000,60679,3,PI,1,100,164519
1673995944.086860,1229467.000,60679,3,PI,1,100,164545
1673995944.126783,1229506.000,60679,3,PI,1,100,164604
1673995944.166707,1229545.000,60695,3,PI,1,100,164667
1673995944.206630,1229584.000,60695,3,PI,1,100,164745
1673995944.246554,1229623.000,60695,3,PI,1,100,164835
1673995944.286477,1229662.000,60711,2,PI,1,100,164944
1673995944.326401,1229701.000,60711,2,PI,1,100,165067
1673995944.365983,1229739.667,60727,3,PI,1,100,165128
1673995944.405566,1229778.333,60727,3,PI,1,100,165159
1673995944.445148,1229817.000,60727,3,PI,1,100,165218
1673995944.484047,1229855.000,60741,2,PI,1,100,165248
1673995944.522947,1229893.000,60741,2,PI,1,100,165301
1673995944.562871,1229932.000,60758,3,PI,1,100,165313
1673995944.602794,1229971.000,60758,3,PI,1,100,165329
1673995944.642718,1230010.000,60758,3,PI,1,100,165370
1673995944.682642,1230049.000,60775,3,PI,1,100,165410
1673995944.722565,1230088.000,60775,3,PI,1,100,165464
1673995944.762488,1230127.000,60775,3,PI,1,100,165472
1673995944.808554,1230172.000,60791,2,PI,1,100,165369
1673995944.854620,1230217.000,60791,2,PI,1,100,165266
1673995944.895055,1230256.500,60806,2,PI,1,100,165228
1673995944.935490,1230296.000,60806,2,PI,1,100,165241
1673995944.976438,1230336.000,60822,3,PI,1,100,165278
1673995945.017385,1230376.000,60822,3,PI,1,100,165299
1673995945.058332,1230416.000,60822,3,PI,1,100,165308
1673995945.098255,1230455.000,60837,3,PI,1,100,165257
1673995945.138179,1230494.000,60837,3,PI,1,100,165210
1673995945.178102,1230533.000,60837,3,PI,1,100,165175
