LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1673996392.182249,1667197.000,63927,2,RD,1,100,TL
1673996394.801846,1669756.000,63927,2,RD,1,100,TU
1673996397.420931,1672314.500,64732,2,RD,1,100,TL
1673996400.040015,1674873.000,64732,2,RD,1,100,TU
1673996402.659101,1677431.500,65523,2,RD,1,100,TL
1673996405.278185,1679990.000,65523,2,RD,1,100,TU
1673996407.891640,1682543.000,777,2,RD,1,100,TL
1673996410.505095,1685096.000,777,2,RD,1,100,TU
1673996413.130834,1687661.000,1595,2,RD,1,100,TL
1673996415.756572,1690226.000,1595,2,RD,1,100,TU
1673996418.371051,1692780.000,2403,2,RD,1,100,TL
1673996420.985529,1695334.000,2403,2,RD,1,100,TU
1673996423.609221,1697897.000,3221,2,RD,1,100,TL
1673996426.232912,1700460.000,3221,2,RD,1,100,TU
1673996428.850974,1703017.500,4025,2,RD,1,100,TL
1673996431.469035,1705575.000,4025,2,RD,1,100,TU
1673996434.078907,1708124.500,4830,2,RD,1,100,TL
1673996436.688778,1710674.000,4830,2,RD,1,100,TU
1673996439.312982,1713237.500,5635,2,RD,1,100,TL
1673996441.937185,1715801.000,5635,2,RD,1,100,TU
1673996444.550640,1718354.000,6439,2,RD,1,100,TL
1673996447.164095,1720907.000,6439,2,RD,1,100,TU
1673996449.812866,1723494.500,7242,2,RD,1,100,TL
1673996452.461638,1726082.000,7242,2,RD,1,100,TU
1673996455.060761,1728621.000,8048,2,RD,1,100,TL
1673996457.659884,1731160.000,8048,2,RD,1,100,TU
1673996460.274363,1733714.000,8855,2,RD,1,100,TL
1673996462.888841,1736268.000,8855,2,RD,1,100,TU
