LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1669792265.683792,444245.000,2481,2,AK,1,100,1710
1669792268.253158,446755.000,2481,2,AK,1,100,RD
1669792268.283355,446784.500,2484,2,AK,1,100,2482
1669792268.313553,446814.000,2484,2,AK,1,100,RD
1669792270.892644,449333.500,3287,2,AK,1,100,2482
1669792273.471734,451853.000,3287,2,AK,1,100,RD
1669792273.483506,451864.500,3290,2,AK,1,100,3288
1669792273.495278,451876.000,3290,2,AK,1,100,RD
1669792276.111220,454431.500,4095,2,AK,1,100,3288
1669792278.727162,456987.000,4095,2,AK,1,100,RD
1669792278.752242,457011.500,4098,2,AK,1,100,4096
1669792278.777321,457036.000,4098,2,AK,1,100,RD
1669792281.367160,459566.000,4872,2,AK,1,100,4096
1669792283.956999,462096.000,4872,2,AK,1,100,RD
1669792283.984637,462123.000,4875,2,AK,1,100,4873
1669792284.012276,462150.000,4875,2,AK,1,100,RD
1669792286.599044,464677.000,5677,2,AK,1,100,4873
1669792289.185812,467204.000,5677,2,AK,1,100,RD
1669792289.212938,467230.500,5680,2,AK,1,100,5678
1669792289.240065,467257.000,5680,2,AK,1,100,RD
1669792291.827857,469785.000,6480,2,AK,1,100,5678
1669792294.415648,472313.000,6480,2,AK,1,100,RD
1669792294.430491,472327.500,6483,2,AK,1,100,6481
1669792294.445334,472342.000,6483,2,AK,1,100,RD
1669792297.056158,474892.500,7300,2,AK,1,100,6481
1669792299.666981,477443.000,7300,2,AK,1,100,RD
1669792299.679265,477455.000,7303,2,AK,1,100,7301
1669792299.691549,477467.000,7303,2,AK,1,100,RD
1669792302.360721,480074.500,8108,2,AK,1,100,7301
1669792305.029893,482682.000,8108,2,AK,1,100,RD
1669792305.059578,482711.000,8111,2,AK,1,100,8109
1669792305.089264,482740.000,8111,2,AK,1,100,RD
1669792307.694458,485285.000,8916,2,AK,1,100,8109
1669792310.299652,487830.000,8916,2,AK,1,100,RD
1669792310.311935,487842.000,8919,2,AK,1,100,8917
1669792310.324219,487854.000,8919,2,AK,1,100,RD
1669792312.925830,490395.500,9723,2,AK,1,100,8917
1669792315.527441,492937.000,9723,2,AK,1,100,RD
1669792315.542796,492952.000,9726,2,AK,1,100,9724
1669792315.558151,492967.000,9726,2,AK,1,100,RD
1669792318.168462,495517.000,10517,2,AK,1,100,9724
1669792320.778774,498067.000,10517,2,AK,1,100,RD
1669792320.791058,498079.000,10520,2,AK,1,100,10518
1669792320.803342,498091.000,10520,2,AK,1,100,RD
1669792323.409559,500637.000,11324,2,AK,1,100,10518
1669792326.015776,503183.000,11324,2,AK,1,100,RD
1669792326.027548,503194.500,11327,2,AK,1,100,11325
1669792326.039320,503206.000,11327,2,AK,1,100,RD
1669792328.657821,505764.000,12145,2,AK,1,100,11325
1669792331.276322,508322.000,12145,2,AK,1,100,RD
1669792331.304473,508349.500,12148,2,AK,1,100,12146
1669792331.332623,508377.000,12148,2,AK,1,100,RD
1669792333.913761,510898.500,12953,2,AK,1,100,12146
1669792336.494899,513420.000,12953,2,AK,1,100,RD
1669792336.508718,513433.500,12956,2,AK,1,100,12954
1669792336.522537,513447.000,12956,2,AK,1,100,RD
1669792339.135408,515999.500,13768,2,AK,1,100,12954
1669792341.748279,518552.000,13768,2,AK,1,100,RD
1669792341.763634,518567.000,13771,2,AK,1,100,13769
1669792341.778989,518582.000,13771,2,AK,1,100,RD
1669792344.378041,521121.000,14572,2,AK,1,100,13769
1669792346.977092,523660.000,14572,2,AK,1,100,RD
1669792346.992959,523675.500,14575,2,AK,1,100,14573
1669792347.008826,523691.000,14575,2,AK,1,100,RD
1669792349.627326,526249.000,15388,2,AK,1,100,14573
1669792352.245828,528807.000,15388,2,AK,1,100,RD
1669792352.287797,528848.000,15391,2,AK,1,100,15389
1669792352.329767,528889.000,15391,2,AK,1,100,RD
1669792354.901692,531401.500,16197,2,AK,1,100,15389
1669792357.473617,533914.000,16197,2,AK,1,100,RD
1669792357.504838,533944.500,16200,2,AK,1,100,16198
1669792357.536060,533975.000,16200,2,AK,1,100,RD
1669792360.121804,536501.000,17002,2,AK,1,100,16198
1669792362.707548,539027.000,17002,2,AK,1,100,RD
1669792362.738258,539057.000,17005,2,AK,1,100,17003
