LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1689086683.985477,224421.250,33564,4,EM,1,100,RS
1689086684.036900,224471.500,33564,4,EM,1,100,RB
1689086684.088323,224521.750,33564,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086684.139746,224572.000,33564,4,EM,1,100,PS
1689086684.191169,224622.250,33596,4,EM,1,100,RS
1689086684.242592,224672.500,33596,4,EM,1,100,RB
1689086684.294015,224722.750,33596,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086684.345438,224773.000,33596,4,EM,1,100,PS
1689086684.396861,224823.250,33627,4,EM,1,100,RS
1689086684.448283,224873.500,33627,4,EM,1,100,RB
1689086684.499706,224923.750,33627,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086684.551129,224974.000,33627,4,EM,1,100,PS
1689086684.602552,225024.250,33664,4,EM,1,100,RS
1689086684.653975,225074.500,33664,4,EM,1,100,RB
1689086684.705398,225124.750,33664,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086684.756821,225175.000,33664,4,EM,1,100,PS
1689086684.808244,225225.250,33696,4,EM,1,100,RS
1689086684.859666,225275.500,33696,4,EM,1,100,RB
1689086684.911089,225325.750,33696,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086684.962512,225376.000,33696,4,EM,1,100,PS
1689086685.013935,225426.250,33726,4,EM,1,100,RS
1689086685.065358,225476.500,33726,4,EM,1,100,RB
1689086685.116781,225526.750,33726,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086685.168204,225577.000,33726,4,EM,1,100,PS
1689086685.219626,225627.250,33760,4,EM,1,100,RS
1689086685.271049,225677.500,33760,4,EM,1,100,RB
1689086685.322472,225727.750,33760,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086685.373895,225778.000,33760,4,EM,1,100,PS
1689086685.425318,225828.250,33792,4,EM,1,100,RS
1689086685.476741,225878.500,33792,4,EM,1,100,RB
1689086685.528164,225928.750,33792,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086685.579587,225979.000,33792,4,EM,1,100,PS
1689086685.631010,226029.250,33824,4,EM,1,100,RS
1689086685.682432,226079.500,33824,4,EM,1,100,RB
1689086685.733855,226129.750,33824,4,EM,1,100,2023-07-11_16-44-31-368816.csv
