LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1689086678.849415,219402.333,32791,3,GY,1,100,0.336
1689086678.888984,219441.000,32791,3,GY,1,100,-1.862
1689086678.928895,219480.000,32807,2,GY,1,100,-0.031
1689086678.968805,219519.000,32807,2,GY,1,100,1.465
1689086679.009398,219558.667,32821,3,GY,1,100,0.854
1689086679.049990,219598.333,32821,3,GY,1,100,0.153
1689086679.090583,219638.000,32821,3,GY,1,100,0.793
1689086679.130493,219677.000,32838,3,GY,1,100,0.916
1689086679.170403,219716.000,32838,3,GY,1,100,-0.244
1689086679.210314,219755.000,32838,3,GY,1,100,-1.495
1689086679.250224,219794.000,32853,2,GY,1,100,-0.702
1689086679.290134,219833.000,32853,2,GY,1,100,-0.519
1689086679.330044,219872.000,32869,3,GY,1,100,0.275
1689086679.369955,219911.000,32869,3,GY,1,100,0.671
1689086679.409865,219950.000,32869,3,GY,1,100,0.854
1689086679.449775,219989.000,32883,2,GY,1,100,0.702
1689086679.489686,220028.000,32883,2,GY,1,100,0.580
1689086679.529596,220067.000,32902,3,GY,1,100,-0.488
1689086679.569506,220106.000,32902,3,GY,1,100,1.221
1689086679.609416,220145.000,32902,3,GY,1,100,0.763
1689086679.645574,220180.333,32917,3,GY,1,100,-1.373
1689086679.681732,220215.667,32917,3,GY,1,100,0.916
1689086679.717891,220251.000,32917,3,GY,1,100,1.709
1689086679.757801,220290.000,32933,2,GY,1,100,0.763
1689086679.797711,220329.000,32933,2,GY,1,100,1.678
1689086679.837621,220368.000,32949,3,GY,1,100,1.617
1689086679.877532,220407.000,32949,3,GY,1,100,0.519
1689086679.917442,220446.000,32949,3,GY,1,100,0.366
1689086679.957352,220485.000,32964,3,GY,1,100,-0.580
1689086679.997262,220524.000,32964,3,GY,1,100,-0.458
1689086680.037173,220563.000,32964,3,GY,1,100,-0.397
1689086680.077083,220602.000,32979,2,GY,1,100,1.984
1689086680.116993,220641.000,32979,2,GY,1,100,3.510
1689086680.157245,220680.333,32996,3,GY,1,100,1.434
1689086680.197496,220719.667,32996,3,GY,1,100,1.129
1689086680.237748,220759.000,32996,3,GY,1,100,1.709
1689086680.277658,220798.000,33011,2,GY,1,100,1.770
1689086680.317568,220837.000,33011,2,GY,1,100,0.580
1689086680.356796,220875.333,33026,3,GY,1,100,-0.092
1689086680.396024,220913.667,33026,3,GY,1,100,0.427
1689086680.435252,220952.000,33026,3,GY,1,100,1.007
1689086680.475163,220991.000,33042,3,GY,1,100,0.702
1689086680.515073,221030.000,33042,3,GY,1,100,1.221
1689086680.554983,221069.000,33042,3,GY,1,100,1.892
1689086680.595661,221108.750,33060,4,GY,1,100,0.519
1689086680.636339,221148.500,33060,4,GY,1,100,0.702
1689086680.677017,221188.250,33060,4,GY,1,100,0.183
1689086680.717695,221228.000,33060,4,GY,1,100,-0.275
1689086680.757605,221267.000,33075,2,GY,1,100,0.610
1689086680.797515,221306.000,33075,2,GY,1,100,-0.397
1689086680.837425,221345.000,33092,3,GY,1,100,-0.336
1689086680.877336,221384.000,33092,3,GY,1,100,0.549
1689086680.917246,221423.000,33092,3,GY,1,100,2.258
