LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1700428354.869796,40340.000,2717,2,PI,1,100,167373
1700428354.914460,40383.667,2736,3,PI,1,100,167384
1700428354.959125,40427.333,2736,3,PI,1,100,167373
1700428355.003790,40471.000,2736,3,PI,1,100,167273
1700428355.044363,40510.667,2750,3,PI,1,100,167228
1700428355.084936,40550.333,2750,3,PI,1,100,167212
1700428355.125510,40590.000,2750,3,PI,1,100,167190
1700428355.165401,40629.000,2768,2,PI,1,100,167166
1700428355.205292,40668.000,2768,2,PI,1,100,167171
1700428355.245184,40707.000,2784,3,PI,1,100,167173
1700428355.285075,40746.000,2784,3,PI,1,100,167181
1700428355.324966,40785.000,2784,3,PI,1,100,167215
1700428355.364858,40824.000,2800,2,PI,1,100,167200
1700428355.404749,40863.000,2800,2,PI,1,100,167196
1700428355.444299,40901.667,2814,3,PI,1,100,167192
1700428355.483850,40940.333,2814,3,PI,1,100,167218
1700428355.523400,40979.000,2814,3,PI,1,100,167205
1700428355.563292,41018.000,2830,2,PI,1,100,167214
1700428355.603183,41057.000,2830,2,PI,1,100,167255
1700428355.643075,41096.000,2846,3,PI,1,100,167235
1700428355.682966,41135.000,2846,3,PI,1,100,167228
1700428355.722857,41174.000,2846,3,PI,1,100,167258
1700428355.762748,41213.000,2864,3,PI,1,100,167276
1700428355.802640,41252.000,2864,3,PI,1,100,167292
1700428355.842531,41291.000,2864,3,PI,1,100,167286
1700428355.882423,41330.000,2879,2,PI,1,100,167241
1700428355.922314,41369.000,2879,2,PI,1,100,167176
1700428355.962205,41408.000,2895,3,PI,1,100,167132
1700428356.002097,41447.000,2895,3,PI,1,100,167113
1700428356.041988,41486.000,2895,3,PI,1,100,167116
1700428356.081368,41524.500,2912,2,PI,1,100,167154
1700428356.120748,41563.000,2912,2,PI,1,100,167174
1700428356.160384,41601.750,2928,4,PI,1,100,167213
1700428356.200019,41640.500,2928,4,PI,1,100,167279
1700428356.239655,41679.250,2928,4,PI,1,100,167268
1700428356.279290,41718.000,2928,4,PI,1,100,167289
1700428356.325319,41763.000,2944,2,PI,1,100,167248
1700428356.371347,41808.000,2944,2,PI,1,100,167198
1700428356.410728,41846.500,2960,2,PI,1,100,167172
1700428356.450107,41885.000,2960,2,PI,1,100,167133
1700428356.489999,41924.000,2976,3,PI,1,100,167111
1700428356.529890,41963.000,2976,3,PI,1,100,167091
1700428356.569782,42002.000,2976,3,PI,1,100,167076
1700428356.610696,42042.000,2993,3,PI,1,100,167095
1700428356.651610,42082.000,2993,3,PI,1,100,167120
1700428356.692524,42122.000,2993,3,PI,1,100,167136
1700428356.732927,42161.500,3008,2,PI,1,100,167114
1700428356.773330,42201.000,3008,2,PI,1,100,167135
1700428356.813221,42240.000,3024,3,PI,1,100,167142
1700428356.853112,42279.000,3024,3,PI,1,100,167087
1700428356.893004,42318.000,3024,3,PI,1,100,167088
1700428356.932384,42356.500,3039,2,PI,1,100,167062
1700428356.971764,42395.000,3039,2,PI,1,100,167066
1700428357.011485,42433.833,3060,6,PI,1,100,167048
1700428357.051205,42472.667,3060,6,PI,1,100,167059
1700428357.090926,42511.500,3060,6,PI,1,100,167068
1700428357.130647,42550.333,3060,6,PI,1,100,167085
1700428357.170368,42589.167,3060,6,PI,1,100,167188
1700428357.210089,42628.000,3060,6,PI,1,100,167237
1700428357.251003,42668.000,3077,2,PI,1,100,167193
1700428357.291918,42708.000,3077,2,PI,1,100,167111
1700428357.332491,42747.667,3096,3,PI,1,100,167141
1700428357.373064,42787.333,3096,3,PI,1,100,167119
1700428357.413637,42827.000,3096,3,PI,1,100,167073
1700428357.453529,42866.000,3110,2,PI,1,100,167048
1700428357.493420,42905.000,3110,2,PI,1,100,167025
1700428357.532970,42943.667,3126,3,PI,1,100,167040
1700428357.572521,42982.333,3126,3,PI,1,100,167055
1700428357.612071,43021.000,3126,3,PI,1,100,167078
1700428357.651963,43060.000,3142,2,PI,1,100,167109
1700428357.691854,43099.000,3142,2,PI,1,100,167068
1700428357.736519,43142.667,3158,3,PI,1,100,167040
1700428357.781183,43186.333,3158,3,PI,1,100,167061
1700428357.825848,43230.000,3158,3,PI,1,100,167091
1700428357.865739,43269.000,3172,2,PI,1,100,167113
1700428357.905631,43308.000,3172,2,PI,1,100,167117
1700428357.945522,43347.000,3189,3,PI,1,100,167151
1700428357.985414,43386.000,3189,3,PI,1,100,167171
1700428358.025305,43425.000,3189,3,PI,1,100,167135
1700428358.065196,43464.000,3208,2,PI,1,100,167111
1700428358.105088,43503.000,3208,2,PI,1,100,167125
1700428358.144979,43542.000,3224,3,PI,1,100,167129
1700428358.184870,43581.000,3224,3,PI,1,100,167118
1700428358.224762,43620.000,3224,3,PI,1,100,167119
1700428358.264653,43659.000,3240,3,PI,1,100,167142
1700428358.304544,43698.000,3240,3,PI,1,100,167144
1700428358.344436,43737.000,3240,3,PI,1,100,167157
1700428358.383816,43775.500,3255,2,PI,1,100,167137
1700428358.423196,43814.000,3255,2,PI,1,100,167156
1700428358.462746,43852.667,3270,3,PI,1,100,167158
1700428358.502296,43891.333,3270,3,PI,1,100,167178
1700428358.541847,43930.000,3270,3,PI,1,100,167174
1700428358.581738,43969.000,3287,3,PI,1,100,167167
1700428358.621629,44008.000,3287,3,PI,1,100,167182
1700428358.661521,44047.000,3287,3,PI,1,100,167187
1700428358.701412,44086.000,3302,3,PI,1,100,167173
1700428358.741304,44125.000,3302,3,PI,1,100,167173
1700428358.781195,44164.000,3302,3,PI,1,100,167169
1700428358.821086,44203.000,3318,2,PI,1,100,167164
1700428358.860978,44242.000,3318,2,PI,1,100,167157
1700428358.900869,44281.000,3333,3,PI,1,100,167179
1700428358.940761,44320.000,3333,3,PI,1,100,167174
1700428358.980652,44359.000,3333,3,PI,1,100,167169
1700428359.020032,44397.500,3349,2,PI,1,100,167179
1700428359.059412,44436.000,3349,2,PI,1,100,167181
1700428359.098621,44474.333,3366,3,PI,1,100,167169
1700428359.137831,44512.667,3366,3,PI,1,100,167168
1700428359.177040,44551.000,3366,3,PI,1,100,167197
1700428359.223580,44596.500,3382,2,PI,1,100,167194
1700428359.270120,44642.000,3382,2,PI,1,100,167208
1700428359.310352,44681.333,3398,3,PI,1,100,167211
1700428359.350585,44720.667,3398,3,PI,1,100,167201
1700428359.390817,44760.000,3398,3,PI,1,100,167209
1700428359.431049,44799.333,3416,3,PI,1,100,167226
1700428359.471282,44838.667,3416,3,PI,1,100,167240
1700428359.511514,44878.000,3416,3,PI,1,100,167247
1700428359.551405,44917.000,3431,2,PI,1,100,167234
1700428359.591297,44956.000,3431,2,PI,1,100,167231
1700428359.631188,44995.000,3448,3,PI,1,100,167244
1700428359.671079,45034.000,3448,3,PI,1,100,167243
1700428359.710971,45073.000,3448,3,PI,1,100,167248
1700428359.750862,45112.000,3463,3,PI,1,100,167255
1700428359.790753,45151.000,3463,3,PI,1,100,167286
1700428359.830645,45190.000,3463,3,PI,1,100,167276
