LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1700428357.051205,42472.667,3061,6,PR,1,100,131748
1700428357.090926,42511.500,3061,6,PR,1,100,131741
1700428357.130647,42550.333,3061,6,PR,1,100,131765
1700428357.170368,42589.167,3061,6,PR,1,100,131817
1700428357.210089,42628.000,3061,6,PR,1,100,131844
1700428357.251003,42668.000,3078,2,PR,1,100,131831
1700428357.291918,42708.000,3078,2,PR,1,100,131773
1700428357.332491,42747.667,3097,3,PR,1,100,131782
1700428357.373064,42787.333,3097,3,PR,1,100,131774
1700428357.413637,42827.000,3097,3,PR,1,100,131748
1700428357.453529,42866.000,3111,2,PR,1,100,131727
1700428357.493420,42905.000,3111,2,PR,1,100,131710
1700428357.532970,42943.667,3127,3,PR,1,100,131730
1700428357.572521,42982.333,3127,3,PR,1,100,131728
1700428357.612071,43021.000,3127,3,PR,1,100,131741
1700428357.651963,43060.000,3143,2,PR,1,100,131750
1700428357.691854,43099.000,3143,2,PR,1,100,131731
1700428357.736519,43142.667,3159,3,PR,1,100,131712
1700428357.781183,43186.333,3159,3,PR,1,100,131715
1700428357.825848,43230.000,3159,3,PR,1,100,131730
1700428357.865739,43269.000,3173,2,PR,1,100,131742
1700428357.905631,43308.000,3173,2,PR,1,100,131739
1700428357.945522,43347.000,3190,3,PR,1,100,131758
1700428357.985414,43386.000,3190,3,PR,1,100,131763
1700428358.025305,43425.000,3190,3,PR,1,100,131749
1700428358.065196,43464.000,3209,2,PR,1,100,131746
1700428358.105088,43503.000,3209,2,PR,1,100,131742
1700428358.144979,43542.000,3225,3,PR,1,100,131749
1700428358.184870,43581.000,3225,3,PR,1,100,131741
1700428358.224762,43620.000,3225,3,PR,1,100,131742
1700428358.264653,43659.000,3241,3,PR,1,100,131748
1700428358.304544,43698.000,3241,3,PR,1,100,131757
1700428358.344436,43737.000,3241,3,PR,1,100,131759
1700428358.383816,43775.500,3256,2,PR,1,100,131752
1700428358.423196,43814.000,3256,2,PR,1,100,131771
1700428358.462746,43852.667,3271,3,PR,1,100,131768
1700428358.502296,43891.333,3271,3,PR,1,100,131783
1700428358.541847,43930.000,3271,3,PR,1,100,131782
1700428358.581738,43969.000,3288,3,PR,1,100,131769
1700428358.621629,44008.000,3288,3,PR,1,100,131769
1700428358.661521,44047.000,3288,3,PR,1,100,131777
1700428358.701412,44086.000,3303,3,PR,1,100,131786
1700428358.741304,44125.000,3303,3,PR,1,100,131775
1700428358.781195,44164.000,3303,3,PR,1,100,131776
1700428358.821086,44203.000,3319,2,PR,1,100,131775
1700428358.860978,44242.000,3319,2,PR,1,100,131777
1700428358.900869,44281.000,3334,3,PR,1,100,131773
1700428358.940761,44320.000,3334,3,PR,1,100,131771
1700428358.980652,44359.000,3334,3,PR,1,100,131769
1700428359.020032,44397.500,3350,2,PR,1,100,131785
1700428359.059412,44436.000,3350,2,PR,1,100,131768
1700428359.098621,44474.333,3367,3,PR,1,100,131771
1700428359.137831,44512.667,3367,3,PR,1,100,131771
1700428359.177040,44551.000,3367,3,PR,1,100,131786
1700428359.223580,44596.500,3383,2,PR,1,100,131795
1700428359.270120,44642.000,3383,2,PR,1,100,131787
1700428359.310352,44681.333,3399,3,PR,1,100,131809
1700428359.350585,44720.667,3399,3,PR,1,100,131798
1700428359.390817,44760.000,3399,3,PR,1,100,131793
1700428359.431049,44799.333,3417,3,PR,1,100,131809
1700428359.471282,44838.667,3417,3,PR,1,100,131814
1700428359.511514,44878.000,3417,3,PR,1,100,131812
1700428359.551405,44917.000,3432,2,PR,1,100,131809
1700428359.591297,44956.000,3432,2,PR,1,100,131820
1700428359.631188,44995.000,3449,3,PR,1,100,131811
1700428359.671079,45034.000,3449,3,PR,1,100,131810
1700428359.710971,45073.000,3449,3,PR,1,100,131821
1700428359.750862,45112.000,3464,3,PR,1,100,131824
