LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1669722219.262769,1058292.667,36140,3,MX,1,100,-6
1669722219.298257,1058327.333,36140,3,MX,1,100,-6
1669722219.333745,1058362.000,36140,3,MX,1,100,-7
1669722219.373669,1058401.000,36158,2,MX,1,100,-5
1669722219.413593,1058440.000,36158,2,MX,1,100,-7
1669722219.453517,1058479.000,36173,3,MX,1,100,-6
1669722219.493441,1058518.000,36173,3,MX,1,100,-5
1669722219.533365,1058557.000,36173,3,MX,1,100,-5
1669722219.573289,1058596.000,36189,3,MX,1,100,-5
1669722219.613213,1058635.000,36189,3,MX,1,100,-6
1669722219.653137,1058674.000,36189,3,MX,1,100,-5
1669722219.693061,1058713.000,36204,2,MX,1,100,-7
1669722219.732985,1058752.000,36204,2,MX,1,100,-6
1669722219.772909,1058791.000,36220,3,MX,1,100,-6
1669722219.812834,1058830.000,36220,3,MX,1,100,-6
1669722219.852757,1058869.000,36220,3,MX,1,100,-4
1669722219.892682,1058908.000,36236,2,MX,1,100,-6
1669722219.932606,1058947.000,36236,2,MX,1,100,-6
1669722219.971847,1058985.333,36251,3,MX,1,100,-6
1669722220.011089,1059023.667,36251,3,MX,1,100,-5
1669722220.050330,1059062.000,36251,3,MX,1,100,-6
1669722220.090255,1059101.000,36266,3,MX,1,100,-6
1669722220.130179,1059140.000,36266,3,MX,1,100,-7
1669722220.170103,1059179.000,36266,3,MX,1,100,-6
1669722220.210027,1059218.000,36283,2,MX,1,100,-5
1669722220.249951,1059257.000,36283,2,MX,1,100,-5
1669722220.289875,1059296.000,36300,3,MX,1,100,-6
1669722220.329799,1059335.000,36300,3,MX,1,100,-5
1669722220.369723,1059374.000,36300,3,MX,1,100,-5
1669722220.409647,1059413.000,36316,3,MX,1,100,-5
1669722220.449571,1059452.000,36316,3,MX,1,100,-5
1669722220.489495,1059491.000,36316,3,MX,1,100,-6
1669722220.529419,1059530.000,36330,2,MX,1,100,-4
1669722220.569343,1059569.000,36330,2,MX,1,100,-5
1669722220.608585,1059607.333,36347,3,MX,1,100,-6
1669722220.647827,1059645.667,36347,3,MX,1,100,-6
1669722220.687068,1059684.000,36347,3,MX,1,100,-5
1669722220.726992,1059723.000,36362,2,MX,1,100,-6
1669722220.766916,1059762.000,36362,2,MX,1,100,-7
1669722220.806840,1059801.000,36378,3,MX,1,100,-7
1669722220.846765,1059840.000,36378,3,MX,1,100,-6
1669722220.886688,1059879.000,36378,3,MX,1,100,-7
1669722220.926613,1059918.000,36394,3,MX,1,100,-6
1669722220.966537,1059957.000,36394,3,MX,1,100,-5
1669722221.006461,1059996.000,36394,3,MX,1,100,-5
1669722221.041608,1060030.333,36409,3,MX,1,100,-5
1669722221.076755,1060064.667,36409,3,MX,1,100,-5
1669722221.111901,1060099.000,36409,3,MX,1,100,-5
1669722221.151825,1060138.000,36424,2,MX,1,100,-5
1669722221.191749,1060177.000,36424,2,MX,1,100,-5
1669722221.231673,1060216.000,36441,3,MX,1,100,-7
1669722221.271598,1060255.000,36441,3,MX,1,100,-6
1669722221.311522,1060294.000,36441,3,MX,1,100,-5
1669722221.351446,1060333.000,36460,2,MX,1,100,-4
1669722221.391370,1060372.000,36460,2,MX,1,100,-5
1669722221.430953,1060410.667,36475,3,MX,1,100,-5
1669722221.470536,1060449.333,36475,3,MX,1,100,-5
