LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1700520721.536930,53524.000,3678,1,SF,1,100,35.3156
1700520721.868253,53848.000,3726,1,SF,1,100,34.9071
1700520722.269113,54240.000,3788,1,SF,1,100,34.5033
1700520722.534990,54500.000,3836,1,SF,1,100,34.1041
1700520722.868359,54826.000,3886,1,SF,1,100,35.7919
1700520723.199682,55150.000,3936,1,SF,1,100,35.3778
1700520723.536118,55479.000,3982,1,SF,1,100,34.9686
1700520723.933911,55868.000,4048,1,SF,1,100,36.6463
1700520724.263189,56190.000,4095,1,SF,1,100,36.2224
1700520724.533156,56454.000,4142,1,SF,1,100,35.8034
1700520724.863457,56777.000,4195,1,SF,1,100,37.4714
1700520725.267385,57172.000,4257,1,SF,1,100,37.0380
1700520725.597686,57495.000,4307,1,SF,1,100,38.6917
1700520725.863563,57755.000,4355,1,SF,1,100,38.2442
1700520726.193863,58078.000,4403,1,SF,1,100,39.8840
1700520726.525187,58402.000,4455,1,SF,1,100,41.5049
1700520726.862646,58732.000,4503,1,SF,1,100,41.0247
1700520727.191924,59054.000,4552,1,SF,1,100,42.6324
1700520727.591761,59445.000,4618,1,SF,1,100,42.1392
1700520727.927175,59773.000,4667,1,SF,1,100,43.7340
1700520728.192029,60032.000,4716,1,SF,1,100,45.3104
1700520728.523353,60356.000,4766,1,SF,1,100,46.8685
1700520728.854676,60680.000,4816,1,SF,1,100,46.3263
1700520729.251446,61068.000,4880,1,SF,1,100,45.7904
1700520729.587882,61397.000,4932,1,SF,1,100,49.4252
1700520729.852736,61656.000,4980,1,SF,1,100,48.8534
1700520730.189173,61985.000,5028,1,SF,1,100,50.3705
1700520730.519474,62308.000,5077,1,SF,1,100,51.8701
1700520730.920334,62700.000,5144,1,SF,1,100,51.2701
1700520731.256770,63029.000,5190,1,SF,1,100,50.6770
1700520731.589116,63354.000,5240,1,SF,1,100,50.0907
1700520731.923507,63681.000,5289,1,SF,1,100,49.5113
1700520732.255853,64006.000,5338,1,SF,1,100,48.9385
1700520732.522753,64267.000,5387,1,SF,1,100,50.4547
1700520732.853053,64590.000,5436,1,SF,1,100,49.8710
1700520733.184377,64914.000,5482,1,SF,1,100,49.2941
1700520733.582169,65303.000,5550,1,SF,1,100,50.8061
1700520733.848046,65563.000,5598,1,SF,1,100,50.2184
1700520734.183460,65891.000,5644,1,SF,1,100,49.6374
1700520734.512738,66213.000,5696,1,SF,1,100,51.1455
1700520734.844061,66537.000,5746,1,SF,1,100,52.6361
1700520735.246967,66931.000,5810,1,SF,1,100,54.1094
1700520735.511821,67190.000,5861,1,SF,1,100,55.5657
1700520735.843144,67514.000,5912,1,SF,1,100,57.0052
1700520736.175490,67839.000,5959,1,SF,1,100,56.3458
1700520736.504768,68161.000,6009,1,SF,1,100,57.7762
1700520736.842227,68491.000,6064,1,SF,1,100,59.1901
1700520737.172528,68814.000,6112,1,SF,1,100,58.5054
1700520737.573388,69206.000,6179,1,SF,1,100,59.9108
1700520737.906757,69532.000,6228,1,SF,1,100,61.3000
1700520738.171611,69791.000,6276,1,SF,1,100,60.5909
1700520738.509070,70121.000,6325,1,SF,1,100,61.9723
1700520738.838348,70443.000,6374,1,SF,1,100,61.2554
1700520739.238186,70834.000,6438,1,SF,1,100,60.5467
1700520739.572577,71161.000,6487,1,SF,1,100,61.9286
1700520739.838454,71421.000,6538,1,SF,1,100,63.2944
1700520740.170800,71746.000,6587,1,SF,1,100,62.5623
1700520740.502123,72070.000,6635,1,SF,1,100,63.9208
1700520740.898893,72458.000,6701,1,SF,1,100,65.2636
1700520741.233284,72785.000,6751,1,SF,1,100,64.5086
1700520741.499161,73045.000,6799,1,SF,1,100,65.8446
1700520741.835597,73374.000,6850,1,SF,1,100,67.1652
1700520742.165898,73697.000,6900,1,SF,1,100,66.3882
1700520742.501312,74025.000,6951,1,SF,1,100,67.7025
1700520742.833658,74350.000,7002,1,SF,1,100,69.0016
1700520743.230428,74738.000,7064,1,SF,1,100,68.2033
1700520743.497327,74999.000,7113,1,SF,1,100,69.4966
1700520743.824560,75319.000,7164,1,SF,1,100,70.7749
1700520744.159974,75647.000,7213,1,SF,1,100,69.9562
