LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1700520705.481553,37823.500,1207,2,MY,1,100,-17
1700520705.521945,37863.000,1207,2,MY,1,100,-18
1700520705.561827,37902.000,1224,3,MY,1,100,-18
1700520705.601708,37941.000,1224,3,MY,1,100,-18
1700520705.641590,37980.000,1224,3,MY,1,100,-18
1700520705.681471,38019.000,1241,2,MY,1,100,-19
1700520705.721353,38058.000,1241,2,MY,1,100,-20
1700520705.760553,38096.333,1257,3,MY,1,100,-18
1700520705.799752,38134.667,1257,3,MY,1,100,-19
1700520705.838952,38173.000,1257,3,MY,1,100,-19
1700520705.878834,38212.000,1272,3,MY,1,100,-19
1700520705.918715,38251.000,1272,3,MY,1,100,-19
1700520705.958597,38290.000,1272,3,MY,1,100,-18
1700520705.998990,38329.500,1288,2,MY,1,100,-18
1700520706.039382,38369.000,1288,2,MY,1,100,-19
1700520706.075174,38404.000,1303,3,MY,1,100,-17
1700520706.110965,38439.000,1303,3,MY,1,100,-17
1700520706.146756,38474.000,1303,3,MY,1,100,-17
1700520706.186637,38513.000,1320,3,MY,1,100,-15
1700520706.226519,38552.000,1320,3,MY,1,100,-15
1700520706.266400,38591.000,1320,3,MY,1,100,-15
1700520706.306282,38630.000,1334,2,MY,1,100,-13
1700520706.346163,38669.000,1334,2,MY,1,100,-14
1700520706.386045,38708.000,1352,3,MY,1,100,-14
1700520706.425926,38747.000,1352,3,MY,1,100,-12
1700520706.465808,38786.000,1352,3,MY,1,100,-12
1700520706.506201,38825.500,1367,2,MY,1,100,-12
1700520706.546593,38865.000,1367,2,MY,1,100,-11
1700520706.585793,38903.333,1388,3,MY,1,100,-10
1700520706.624993,38941.667,1388,3,MY,1,100,-11
1700520706.664193,38980.000,1388,3,MY,1,100,-11
1700520706.704074,39019.000,1403,3,MY,1,100,-10
1700520706.743956,39058.000,1403,3,MY,1,100,-10
1700520706.783837,39097.000,1403,3,MY,1,100,-11
1700520706.823719,39136.000,1418,2,MY,1,100,-9
1700520706.863600,39175.000,1418,2,MY,1,100,-11
1700520706.903482,39214.000,1434,3,MY,1,100,-10
1700520706.943363,39253.000,1434,3,MY,1,100,-11
1700520706.983245,39292.000,1434,3,MY,1,100,-11
1700520707.023126,39331.000,1450,2,MY,1,100,-10
1700520707.063008,39370.000,1450,2,MY,1,100,-11
1700520707.102549,39408.667,1465,3,MY,1,100,-11
1700520707.142089,39447.333,1465,3,MY,1,100,-10
1700520707.181630,39486.000,1465,3,MY,1,100,-11
1700520707.221171,39524.667,1481,3,MY,1,100,-11
1700520707.260711,39563.333,1481,3,MY,1,100,-10
1700520707.300252,39602.000,1481,3,MY,1,100,-11
1700520707.340133,39641.000,1496,2,MY,1,100,-11
1700520707.380015,39680.000,1496,2,MY,1,100,-12
1700520707.419896,39719.000,1512,3,MY,1,100,-11
1700520707.459778,39758.000,1512,3,MY,1,100,-11
1700520707.499660,39797.000,1512,3,MY,1,100,-11
1700520707.539541,39836.000,1528,2,MY,1,100,-11
1700520707.579422,39875.000,1528,2,MY,1,100,-12
1700520707.619304,39914.000,1546,3,MY,1,100,-11
1700520707.659185,39953.000,1546,3,MY,1,100,-12
1700520707.699067,39992.000,1546,3,MY,1,100,-12
1700520707.738608,40030.667,1562,3,MY,1,100,-11
1700520707.778148,40069.333,1562,3,MY,1,100,-12
1700520707.817689,40108.000,1562,3,MY,1,100,-11
1700520707.852458,40142.000,1579,3,MY,1,100,-12
1700520707.887226,40176.000,1579,3,MY,1,100,-12
1700520707.921994,40210.000,1579,3,MY,1,100,-12
1700520707.961876,40249.000,1594,2,MY,1,100,-10
1700520708.001757,40288.000,1594,2,MY,1,100,-11
1700520708.041639,40327.000,1610,3,MY,1,100,-11
1700520708.081521,40366.000,1610,3,MY,1,100,-11
1700520708.121402,40405.000,1610,3,MY,1,100,-11
1700520708.162306,40445.000,1624,2,MY,1,100,-12
1700520708.203210,40485.000,1624,2,MY,1,100,-12
1700520708.243092,40524.000,1641,3,MY,1,100,-11
1700520708.282973,40563.000,1641,3,MY,1,100,-12
1700520708.322855,40602.000,1641,3,MY,1,100,-12
1700520708.362736,40641.000,1656,2,MY,1,100,-12
1700520708.402618,40680.000,1656,2,MY,1,100,-12
1700520708.442499,40719.000,1674,3,MY,1,100,-11
1700520708.482381,40758.000,1674,3,MY,1,100,-12
1700520708.522262,40797.000,1674,3,MY,1,100,-11
1700520708.561803,40835.667,1692,3,MY,1,100,-12
1700520708.601344,40874.333,1692,3,MY,1,100,-12
1700520708.640884,40913.000,1692,3,MY,1,100,-12
1700520708.680254,40951.500,1707,2,MY,1,100,-12
1700520708.719625,40990.000,1707,2,MY,1,100,-11
1700520708.760188,41029.667,1722,3,MY,1,100,-12
1700520708.800751,41069.333,1722,3,MY,1,100,-11
1700520708.841315,41109.000,1722,3,MY,1,100,-12
1700520708.881196,41148.000,1741,3,MY,1,100,-12
1700520708.921077,41187.000,1741,3,MY,1,100,-12
1700520708.960959,41226.000,1741,3,MY,1,100,-12
1700520709.000840,41265.000,1758,2,MY,1,100,-12
1700520709.040722,41304.000,1758,2,MY,1,100,-12
1700520709.080604,41343.000,1774,3,MY,1,100,-12
1700520709.120485,41382.000,1774,3,MY,1,100,-12
1700520709.160367,41421.000,1774,3,MY,1,100,-12
1700520709.200248,41460.000,1789,2,MY,1,100,-13
1700520709.240129,41499.000,1789,2,MY,1,100,-13
1700520709.279670,41537.667,1805,3,MY,1,100,-13
1700520709.319211,41576.333,1805,3,MY,1,100,-12
1700520709.358752,41615.000,1805,3,MY,1,100,-12
1700520709.398292,41653.667,1820,3,MY,1,100,-12
1700520709.437833,41692.333,1820,3,MY,1,100,-12
1700520709.477373,41731.000,1820,3,MY,1,100,-13
1700520709.516744,41769.500,1837,2,MY,1,100,-12
