LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1700520885.766957,214124,29193,1,BI,1,100,960
1700520886.763995,215099,29353,1,BI,1,100,1000
1700520887.694563,216009,29502,1,BI,1,100,920
1700520888.703872,216996,29651,1,BI,1,100,1000
1700520889.703978,217974,29817,1,BI,1,100,1000
1700520890.633524,218883,29962,1,BI,1,100,920
1700520891.648969,219876,30110,1,BI,1,100,1000
1700520892.684865,220889,30274,1,BI,1,100,1040
1700520893.619524,221803,30421,1,BI,1,100,920
1700520894.510212,222674,30552,1,BI,1,100,880
1700520895.503159,223645,30715,1,BI,1,100,1000
1700520896.480767,224601,30860,1,BI,1,100,960
1700520897.451218,225550,31022,1,BI,1,100,960
1700520898.462572,226539,31185,1,BI,1,100,1000
1700520899.501536,227555,31337,1,BI,1,100,1040
1700520900.471987,228504,31483,1,BI,1,100,960
1700520901.524245,229533,31646,1,BI,1,100,1040
1700520902.475266,230463,31808,1,BI,1,100,960
1700520903.488665,231454,31954,1,BI,1,100,1000
1700520904.501042,232444,32105,1,BI,1,100,1000
1700520905.571707,233491,32283,1,BI,1,100,1080
1700520906.588175,234485,32445,1,BI,1,100,1000
1700520907.560670,235436,32592,1,BI,1,100,960
1700520908.574069,236427,32756,1,BI,1,100,1000
1700520909.845165,237670,32953,1,BI,1,100,1280
1700520910.976164,238776,33132,1,BI,1,100,1120
1700520912.785148,240545,33412,1,BI,1,100,1800
1700520913.917170,241652,33591,1,BI,1,100,1120
1700520915.004197,242715,33756,1,BI,1,100,1080
1700520916.099404,243786,33922,1,BI,1,100,1080
1700520917.301985,244962,34119,1,BI,1,100,1200
1700520918.183469,245824,34266,1,BI,1,100,880
1700520919.156987,246776,34414,1,BI,1,100,960
1700520921.242074,248815,34741,1,BI,1,100,2080
1700520922.651221,250193,34950,1,BI,1,100,1400
1700520923.779152,251296,35130,1,BI,1,100,1120
1700520924.830388,252324,35292,1,BI,1,100,1040
1700520926.521773,253978,35557,1,BI,1,100,1680
1700520927.408370,254845,35706,1,BI,1,100,880
1700520928.329735,255746,35836,1,BI,1,100,920
1700520929.694910,257081,36065,1,BI,1,100,1360
1700520930.664337,258029,36216,1,BI,1,100,960
1700520931.790223,259130,36382,1,BI,1,100,1120
1700520932.829188,260146,36561,1,BI,1,100,1040
1700520933.759757,261056,36707,1,BI,1,100,920
1700520934.930637,262201,36887,1,BI,1,100,1160
1700520937.135369,264357,37236,1,BI,1,100,2200
1700520937.628263,264839,37300,1,BI,1,100,480
1700520938.901404,266084,37497,1,BI,1,100,1280
1700520939.992521,267151,37679,1,BI,1,100,1080
1700520941.000808,268137,37829,1,BI,1,100,1000
1700520942.211570,269321,38010,1,BI,1,100,1200
1700520943.373246,270457,38206,1,BI,1,100,1160
1700520945.105536,272151,38467,1,BI,1,100,1720
1700520946.156772,273179,38631,1,BI,1,100,1040
1700520947.152787,274153,38797,1,BI,1,100,1000
1700520948.400362,275373,38993,1,BI,1,100,1240
1700520949.295140,276248,39123,1,BI,1,100,880
1700520950.368873,277298,39301,1,BI,1,100,1080
1700520951.099011,278012,39416,1,BI,1,100,720
1700520952.426350,279310,39619,1,BI,1,100,1320
1700520953.306811,280171,39751,1,BI,1,100,880
1700520954.560522,281397,39946,1,BI,1,100,1240
1700520955.650617,282463,40127,1,BI,1,100,1080
1700520956.862401,283648,40309,1,BI,1,100,1200
1700520958.749104,285493,40604,1,BI,1,100,1880
1700520959.716486,286439,40768,1,BI,1,100,960
1700520960.808626,287507,40933,1,BI,1,100,1080
1700520961.847591,288523,41099,1,BI,1,100,1040
1700520962.782250,289437,41252,1,BI,1,100,920
1700520963.991989,290620,41435,1,BI,1,100,1200
1700520965.002321,291608,41595,1,BI,1,100,1000
1700520966.043330,292626,41763,1,BI,1,100,1040
1700520966.931972,293495,41910,1,BI,1,100,880
1700520967.869699,294412,42040,1,BI,1,100,920
1700520968.746070,295269,42188,1,BI,1,100,880
1700520969.556994,296062,42318,1,BI,1,100,800
1700520970.556077,297039,42466,1,BI,1,100,1000
1700520972.133953,298582,42709,1,BI,1,100,1560
1700520973.789547,300201,42970,1,BI,1,100,1640
1700520974.626037,301019,43088,1,BI,1,100,840
1700520975.918607,302283,43299,1,BI,1,100,1280
1700520976.611931,302961,43398,1,BI,1,100,680
1700520977.567043,303895,43567,1,BI,1,100,960
1700520978.778827,305080,43731,1,BI,1,100,1200
1700520979.823927,306102,43896,1,BI,1,100,1040
1700520980.878231,307133,44061,1,BI,1,100,1040
1700520981.870156,308103,44228,1,BI,1,100,1000
1700520983.403037,309602,44456,1,BI,1,100,1520
1700520985.866488,312011,44827,1,BI,1,100,2440
1700520986.512773,312643,44928,1,BI,1,100,640
1700520988.560024,314645,45254,1,BI,1,100,2040
1700520989.933379,315988,45469,1,BI,1,100,1360
1700520990.978480,317010,45619,1,BI,1,100,1040
1700520991.699415,317715,45732,1,BI,1,100,720
1700520992.909154,318898,45915,1,BI,1,100,1200
1700520994.516686,320470,46166,1,BI,1,100,1600
1700520995.965714,321887,46396,1,BI,1,100,1440
1700520996.819587,322722,46524,1,BI,1,100,840
1700520997.535409,323422,46641,1,BI,1,100,720
1700520998.425074,324292,46771,1,BI,1,100,880
1700521000.665597,326483,47120,1,BI,1,100,2240
1700521001.756714,327550,47300,1,BI,1,100,1080
1700521002.727165,328499,47448,1,BI,1,100,960
1700521004.019735,329763,47648,1,BI,1,100,1280
1700521004.895083,330619,47799,1,BI,1,100,880
1700521005.909505,331611,47945,1,BI,1,100,1000
1700521006.955627,332634,48127,1,BI,1,100,1040
1700521008.321825,333970,48339,1,BI,1,100,1360
1700521009.243190,334871,48476,1,BI,1,100,920
1700521010.865038,336457,48737,1,BI,1,100,1600
1700521012.233281,337795,48935,1,BI,1,100,1360
1700521013.394958,338931,49127,1,BI,1,100,1160
1700521015.097592,340596,49376,1,BI,1,100,1680
1700521016.466857,341935,49602,1,BI,1,100,1360
1700521018.753397,344171,49957,1,BI,1,100,2280
1700521020.285256,345669,50185,1,BI,1,100,1520
1700521021.654522,347008,50396,1,BI,1,100,1360
1700521023.672117,348981,50718,1,BI,1,100,2000
1700521024.312267,349607,50817,1,BI,1,100,640
1700521025.046496,350325,50916,1,BI,1,100,720
1700521026.399399,351648,51126,1,BI,1,100,1360
1700521027.447567,352673,51305,1,BI,1,100,1040
1700521028.536639,353738,51467,1,BI,1,100,1080
1700521030.017368,355186,51700,1,BI,1,100,1480
1700521031.109508,356254,51863,1,BI,1,100,1080
1700521031.789539,356919,51977,1,BI,1,100,680
1700521033.042228,358144,52172,1,BI,1,100,1240
1700521034.216176,359292,52350,1,BI,1,100,1160
1700521035.460684,360509,52548,1,BI,1,100,1240
1700521036.258314,361289,52663,1,BI,1,100,800
1700521037.748246,362746,52905,1,BI,1,100,1480
1700521039.375208,364337,53144,1,BI,1,100,1600
1700521040.329296,365270,53306,1,BI,1,100,960
1700521041.181124,366103,53422,1,BI,1,100,840
1700521041.863200,366770,53536,1,BI,1,100,680
1700521043.068849,367949,53729,1,BI,1,100,1200
1700521044.083271,368941,53873,1,BI,1,100,1000
1700521044.805229,369647,53987,1,BI,1,100,720
1700521045.937250,370754,54152,1,BI,1,100,1120
1700521046.747152,371546,54283,1,BI,1,100,800
1700521047.662382,372441,54411,1,BI,1,100,920
1700521048.432401,373194,54543,1,BI,1,100,760
1700521049.488750,374227,54704,1,BI,1,100,1040
1700521050.245476,374967,54819,1,BI,1,100,760
1700521051.217972,375918,54967,1,BI,1,100,960
1700521052.188422,376867,55129,1,BI,1,100,960
1700521053.150691,377808,55275,1,BI,1,100,960
1700521055.036371,379652,55561,1,BI,1,100,1880
1700521055.967962,380563,55706,1,BI,1,100,920
1700521057.652189,382210,55960,1,BI,1,100,1680
1700521059.102240,383628,56187,1,BI,1,100,1440
1700521059.837492,384347,56299,1,BI,1,100,720
1700521061.365261,385841,56543,1,BI,1,100,1520
1700521062.161868,386620,56658,1,BI,1,100,800
1700521063.293890,387727,56837,1,BI,1,100,1120
1700521064.223436,388636,56985,1,BI,1,100,920
1700521064.938235,389335,57099,1,BI,1,100,720
1700521066.269664,390637,57309,1,BI,1,100,1320
1700521066.958899,391311,57412,1,BI,1,100,680
1700521067.969230,392299,57573,1,BI,1,100,1000
1700521069.692316,393984,57832,1,BI,1,100,1720
1700521070.614704,394886,57974,1,BI,1,100,920
1700521071.579018,395829,58136,1,BI,1,100,960
1700521072.554582,396783,58266,1,BI,1,100,960
1700521073.393116,397603,58410,1,BI,1,100,840
1700521074.406515,398594,58555,1,BI,1,100,1000
1700521075.218462,399388,58683,1,BI,1,100,800
1700521076.130624,400280,58827,1,BI,1,100,920
1700521077.180837,401307,58977,1,BI,1,100,1040
1700521079.105376,403189,59279,1,BI,1,100,1920
1700521079.839605,403907,59393,1,BI,1,100,720
1700521080.680184,404729,59522,1,BI,1,100,840
1700521081.691539,405718,59682,1,BI,1,100,1000
1700521082.660966,406666,59815,1,BI,1,100,960
1700521083.576196,407561,59959,1,BI,1,100,920
1700521084.387120,408354,60086,1,BI,1,100,800
1700521085.318711,409265,60230,1,BI,1,100,920
1700521086.231895,410158,60358,1,BI,1,100,920
1700521087.288244,411191,60518,1,BI,1,100,1040
