LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1700122491.061026,665547.000,33609,1,TL,1,100,2023-11-16_09-14-47-547487
1700122491.078432,665564.000,33611,1,TL,1,100,2023-11-16_09-14-47-547657
1700122501.556852,675798.000,35220,1,TL,1,100,2023-11-16_09-14-58-031610
1700122506.789920,680909.000,36015,1,TL,1,100,2023-11-16_09-15-03-137699
1700122512.032202,686029.000,36812,1,TL,1,100,2023-11-16_09-15-06-809822
1700122517.255030,691130.000,37598,1,TL,1,100,2023-11-16_09-15-13-678869
1700122517.273460,691148.000,37600,1,TL,1,100,2023-11-16_09-15-14-015974
1700122522.498336,696251.000,38407,1,TL,1,100,2023-11-16_09-15-17-953368
1700122522.516766,696269.000,38409,1,TL,1,100,2023-11-16_09-15-17-953543
1700122543.483846,716747.000,41611,1,TL,1,100,2023-11-16_09-15-40-848380
1700122559.169737,732067.000,43974,1,TL,1,100,2023-11-16_09-15-52-305036
1700122590.635716,762799.000,48713,1,TL,1,100,2023-11-16_09-16-26-723034
1700122590.654146,762817.000,48715,1,TL,1,100,2023-11-16_09-16-26-723178
1700122595.880046,767921.000,49516,1,TL,1,100,2023-11-16_09-16-30-749214
1700122595.898476,767939.000,49518,1,TL,1,100,2023-11-16_09-16-30-887393
1700122601.142806,773061.000,50325,1,TL,1,100,2023-11-16_09-16-37-157951
1700122606.410685,778206.000,51120,1,TL,1,100,2023-11-16_09-16-41-863369
1700122611.669349,783342.000,51921,1,TL,1,100,2023-11-16_09-16-48-129236
1700122622.168247,793596.000,53522,1,TL,1,100,2023-11-16_09-16-59-033299
1700122622.185654,793613.000,53524,1,TL,1,100,2023-11-16_09-16-59-033417
1700122627.396195,798702.000,54305,1,TL,1,100,2023-11-16_09-17-04-305517
1700122627.414625,798720.000,54307,1,TL,1,100,2023-11-16_09-17-04-305683
1700122632.641549,803825.000,55104,1,TL,1,100,2023-11-16_09-17-09-626511
1700122632.659979,803843.000,55106,1,TL,1,100,2023-11-16_09-17-09-626695
1700122648.355085,819172.000,57496,1,TL,1,100,2023-11-16_09-17-25-163673
1700122648.373515,819190.000,57498,1,TL,1,100,2023-11-16_09-17-25-163815
