LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1700122280.763604,460155,1675,1,SR,1,100,0.066667
1700122281.888851,461254,1841,1,SR,1,100,0.066667
1700122286.548544,465805,2561,1,SR,1,100,0.133333
1700122287.014411,466260,2642,1,SR,1,100,0.133333
1700122287.548878,466782,2710,1,SR,1,100,0.066667
1700122299.927626,478872,4631,1,SR,1,100,0.266667
1700122300.464141,479396,4901,1,SR,1,100,1.466667
1700122302.192456,481084,5004,1,SR,1,100,0.466667
1700122303.192790,482061,5114,1,SR,1,100,0.266667
1700122303.990395,482840,5293,1,SR,1,100,0.533333
1700122305.586629,484399,5577,1,SR,1,100,0.800000
1700122313.443908,492073,6667,1,SR,1,100,0.133333
1700122323.830180,502217,8234,1,SR,1,100,0.066667
1700122329.753344,508002,9131,1,SR,1,100,0.066667
1700122330.552997,508783,9295,1,SR,1,100,0.266667
1700122331.418178,509628,9426,1,SR,1,100,0.200000
1700122332.286431,510476,9536,1,SR,1,100,0.133333
1700122333.153660,511323,9683,1,SR,1,100,0.200000
1700122334.881975,513011,9932,1,SR,1,100,0.133333
1700122341.401040,519378,10926,1,SR,1,100,0.066667
1700122341.731754,519701,11024,1,SR,1,100,0.400000
1700122346.995538,524842,11776,1,SR,1,100,0.066667
1700122352.123145,529850,12565,1,SR,1,100,0.400000
1700122354.453503,532126,12934,1,SR,1,100,0.533333
1700122355.777384,533419,13080,1,SR,1,100,0.133333
1700122356.177722,533810,13227,1,SR,1,100,0.600000
1700122357.837437,535431,13449,1,SR,1,100,0.400000
1700122372.887496,550130,15690,1,SR,1,100,0.200000
1700122385.729040,562672,17692,1,SR,1,100,0.333333
1700122395.582892,572296,19185,1,SR,1,100,0.266667
1700122395.979135,572683,19284,1,SR,1,100,0.533333
1700122400.574322,577171,20190,1,SR,1,100,1.866667
1700122407.698502,584129,21168,1,SR,1,100,1.200000
1700122410.236708,586608,21457,1,SR,1,100,0.533333
1700122411.827823,588162,21681,1,SR,1,100,0.400000
1700122412.360242,588682,21782,1,SR,1,100,0.533333
1700122415.684791,591929,22467,1,SR,1,100,1.666667
1700122420.614789,596744,23060,1,SR,1,100,0.666667
1700122422.342080,598431,23270,1,SR,1,100,0.333333
1700122426.004510,602008,23810,1,SR,1,100,0.200000
1700122427.935554,603894,24200,1,SR,1,100,0.800000
1700122429.260458,605188,24344,1,SR,1,100,0.466667
1700122430.390826,606292,24491,1,SR,1,100,0.266667
1700122434.186361,609999,25196,1,SR,1,100,1.133333
1700122436.247437,612012,25356,1,SR,1,100,0.066667
1700122438.713972,614421,25761,1,SR,1,100,0.266667
1700122441.243988,616892,26336,1,SR,1,100,1.466667
1700122452.290664,627681,28000,1,SR,1,100,1.466667
1700122461.081725,636267,29209,1,SR,1,100,0.933333
1700122466.268717,641333,29913,1,SR,1,100,0.466667
1700122467.534237,642569,30233,1,SR,1,100,1.266667
1700122477.122903,651934,31586,1,SR,1,100,0.600000
1700122478.254294,653039,31683,1,SR,1,100,0.066667
1700122479.454285,654211,31892,1,SR,1,100,0.200000
1700122480.317419,655054,32056,1,SR,1,100,0.533333
1700122482.180887,656874,32282,1,SR,1,100,0.200000
1700122482.512625,657198,32316,1,SR,1,100,0.066667
1700122482.712282,657393,32380,1,SR,1,100,0.266667
1700122483.244701,657913,32494,1,SR,1,100,0.400000
1700122490.506081,665005,33578,1,SR,1,100,0.266667
1700122490.907443,665397,33631,1,SR,1,100,0.266667
1700122491.707096,666178,33728,1,SR,1,100,0.133333
1700122495.630616,670010,34353,1,SR,1,100,0.200000
1700122495.961331,670333,34388,1,SR,1,100,0.066667
1700122496.293069,670657,34487,1,SR,1,100,0.400000
1700122497.224802,671567,34585,1,SR,1,100,0.066667
1700122519.662179,693481,38086,1,SR,1,100,0.666667
1700122520.995275,694783,38247,1,SR,1,100,0.400000
1700122528.716379,702324,39387,1,SR,1,100,0.133333
1700122530.246060,703818,39611,1,SR,1,100,0.066667
1700122530.446741,704014,39644,1,SR,1,100,0.133333
1700122539.964760,713310,41177,1,SR,1,100,0.666667
1700122541.360312,714673,41401,1,SR,1,100,0.666667
1700122543.360980,716627,41617,1,SR,1,100,0.133333
1700122543.759271,717016,41730,1,SR,1,100,0.400000
1700122553.812780,726835,43383,1,SR,1,100,1.400000
1700122559.070421,731970,44059,1,SR,1,100,0.600000
1700122560.066659,732943,44142,1,SR,1,100,0.133333
1700122573.716046,746274,46195,1,SR,1,100,0.266667
1700122574.512627,747052,46309,1,SR,1,100,0.266667
1700122591.613525,763754,48878,1,SR,1,100,0.066667
1700122593.474944,765572,49356,1,SR,1,100,1.333333
1700122595.608717,767656,49572,1,SR,1,100,0.600000
1700122596.342841,768373,49605,1,SR,1,100,0.066667
1700122596.943861,768960,49735,1,SR,1,100,0.266667
1700122609.116808,780849,51588,1,SR,1,100,0.266667
1700122643.400514,814333,56847,1,SR,1,100,0.666667
1700122655.244795,825901,58647,1,SR,1,100,0.533333
1700122657.910987,828505,59145,1,SR,1,100,1.133333
1700122662.378189,832868,59784,1,SR,1,100,0.933333
1700122667.431053,837803,60412,1,SR,1,100,0.133333
1700122672.688693,842938,61344,1,SR,1,100,1.066667
