RD,TS_received,TS_sent,AK,RoundTrip,
1743944,1749050,2023-11-16_09-33-17-147771,1749059,5106,
1749071,1754157,2023-11-16_09-33-22-313447,1754166,5086,
1754178,1759265,2023-11-16_09-33-27-523011,1759275,5087,
1759287,0,,1764373,-1759287,
1764386,1769494,2023-11-16_09-33-37-940088,1769504,5108,
1769515,1774623,2023-11-16_09-33-43-134644,1774632,5108,
1774644,1779729,2023-11-16_09-33-48-523050,1779739,5085,
1779751,1784838,2023-11-16_09-33-53-575528,1784847,5087,
1784859,
1789945,1795067,2023-11-16_09-34-04-484715,1795076,5122,
1795088,1800211,2023-11-16_09-34-08-908334,1800220,5123,
1800232,1805347,2023-11-16_09-34-14-642996,1805355,5115,
1805368,1810461,2023-11-16_09-34-19-564176,1810469,5093,
1810482,1815590,2023-11-16_09-34-24-475876,1815600,5108,
1815612,1820742,2023-11-16_09-34-30-082378,1820744,5130,
1820746,1825892,2023-11-16_09-34-35-090599,1825900,5146,
1825913,1831030,2023-11-16_09-34-39-467196,1831038,5117,
1831050,1836174,2023-11-16_09-34-44-535283,1836184,5124,
1836196,1841281,2023-11-16_09-34-49-971496,1841290,5085,
1841303,1846392,2023-11-16_09-34-56-029499,1846395,5089,
1846395,1851500,2023-11-16_09-35-01-249331,1851503,5105,
1851503,1856624,2023-11-16_09-35-05-617344,1856632,5121,
1856644,1861766,2023-11-16_09-35-11-442763,1861774,5122,
1861786,
1866877,1871993,2023-11-16_09-35-21-804320,1872002,5116,
1872014,1877101,2023-11-16_09-35-27-590916,1877110,5087,
1877123,1882246,2023-11-16_09-35-33-098452,1882254,5123,
1882266,
1887345,0,,1892489,-1887345,
1892490,
1897598,
1902721,
1907829,
1912937,
1923127,
1928235,
1933343,1938459,2023-11-16_09-36-30-627989,1938468,5116,
1938481,1943594,2023-11-16_09-36-35-629008,1943603,5113,
1943616,1948747,2023-11-16_09-36-41-893308,1948756,5131,
1948768,
1953863,1958982,2023-11-16_09-36-52-220448,1958985,5119,
1958986,
1964088,
1969213,0,,1974316,-1969213,
1974317,1979428,2023-11-16_09-37-11-133330,1979437,5111,
1979450,1984538,2023-11-16_09-37-18-467941,1984540,5088,
1984541,
1989647,
1994755,
1999863,2004999,2023-11-16_09-37-39-299592,2005007,5136,
2005019,2010138,2023-11-16_09-37-45-003686,2010141,5119,
2010141,2015248,2023-11-16_09-37-50-324846,2015257,5107,
2015269,
2020348,
2025463,
2030578,
2035686,
2040794,
2045902,2051028,2023-11-16_09-38-25-830176,2051036,5126,
2051048,2056164,2023-11-16_09-38-30-273231,2056173,5116,
2056185,2061308,2023-11-16_09-38-35-479979,2061311,5123,
2061311,0,,2066409,-2061311,
2066409,2071523,2023-11-16_09-38-47-598966,2071526,5114,
2071527,
2076630,
2081754,
2124795,
2129908,2135024,2023-11-16_09-39-51-585138,2135026,5116,
2135027,2140143,2023-11-16_09-39-55-707886,2140152,5116,
2140164,2145284,2023-11-16_09-40-02-924570,2145289,5120,
2145290,
2150400,
2155508,
2169237,
2174345,2179471,2023-11-16_09-40-37-039735,2179473,5126,
2179474,2184583,2023-11-16_09-40-41-827645,2184586,5109,
2184587,
2189682,
2194790,
2199898,
2205023,2210139,2023-11-16_09-41-09-614402,2210143,5116,
2210143,2215250,2023-11-16_09-41-14-265999,2215258,5107,
2215270,
2220380,2225496,2023-11-16_09-41-25-669838,2225499,5116,
2225500,2230633,2023-11-16_09-41-30-407113,2230642,5133,
2230655,
2235762,
2240879,
2245997,2251123,2023-11-16_09-41-51-797691,2251133,5126,
2251145,2256231,2023-11-16_09-41-56-388833,2256234,5086,
2256234,2261373,2023-11-16_09-42-02-122462,2261377,5139,
2261377,0,,2266475,-2261377,
2266475,
2271588,
2276696,2281813,2023-11-16_09-42-23-113484,2281815,5117,
2281816,
2286927,0,,2292048,-2286927,
2292048,2297201,2023-11-16_09-42-39-029871,2297211,5153,
2297211,2302307,2023-11-16_09-42-43-433173,2302317,5096,
2302329,2307467,2023-11-16_09-42-48-620429,2307475,5138,
2307487,
2312566,
2317674,2322794,2023-11-16_09-43-04-761412,2322797,5120,
2322797,2327900,2023-11-16_09-43-10-124791,2327903,5103,
