LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1700426844.450074,32068.000,2668,3,MX,1,100,53
1700426844.489918,32107.000,2668,3,MX,1,100,52
1700426844.529762,32146.000,2668,3,MX,1,100,53
1700426844.568584,32184.000,2686,2,MX,1,100,53
1700426844.607407,32222.000,2686,2,MX,1,100,52
1700426844.647251,32261.000,2701,3,MX,1,100,53
1700426844.687095,32300.000,2701,3,MX,1,100,53
1700426844.726938,32339.000,2701,3,MX,1,100,54
1700426844.766783,32378.000,2716,2,MX,1,100,52
1700426844.806627,32417.000,2716,2,MX,1,100,53
1700426844.846471,32456.000,2732,3,MX,1,100,52
1700426844.886314,32495.000,2732,3,MX,1,100,52
1700426844.926158,32534.000,2732,3,MX,1,100,52
1700426844.966002,32573.000,2750,2,MX,1,100,53
1700426845.005847,32612.000,2750,2,MX,1,100,52
1700426845.046712,32652.000,2766,3,MX,1,100,52
1700426845.087578,32692.000,2766,3,MX,1,100,53
1700426845.128443,32732.000,2766,3,MX,1,100,52
1700426845.168287,32771.000,2782,3,MX,1,100,52
1700426845.208131,32810.000,2782,3,MX,1,100,52
1700426845.247975,32849.000,2782,3,MX,1,100,52
1700426845.287819,32888.000,2799,2,MX,1,100,52
1700426845.327663,32927.000,2799,2,MX,1,100,52
1700426845.366826,32965.333,2816,3,MX,1,100,52
1700426845.405989,33003.667,2816,3,MX,1,100,52
1700426845.445152,33042.000,2816,3,MX,1,100,52
1700426845.484996,33081.000,2832,2,MX,1,100,53
1700426845.524840,33120.000,2832,2,MX,1,100,52
1700426845.564684,33159.000,2847,3,MX,1,100,53
1700426845.604528,33198.000,2847,3,MX,1,100,53
1700426845.644372,33237.000,2847,3,MX,1,100,53
1700426845.685237,33277.000,2865,3,MX,1,100,53
1700426845.726103,33317.000,2865,3,MX,1,100,53
1700426845.766968,33357.000,2865,3,MX,1,100,53
1700426845.806813,33396.000,2882,2,MX,1,100,52
1700426845.846657,33435.000,2882,2,MX,1,100,53
1700426845.882073,33469.667,2899,3,MX,1,100,52
1700426845.917490,33504.333,2899,3,MX,1,100,52
1700426845.952907,33539.000,2899,3,MX,1,100,52
1700426845.992410,33577.667,2914,3,MX,1,100,53
1700426846.031914,33616.333,2914,3,MX,1,100,53
1700426846.071417,33655.000,2914,3,MX,1,100,53
1700426846.112283,33695.000,2929,2,MX,1,100,52
1700426846.153149,33735.000,2929,2,MX,1,100,52
1700426846.193333,33774.333,2944,3,MX,1,100,52
1700426846.233518,33813.667,2944,3,MX,1,100,52
1700426846.273702,33853.000,2944,3,MX,1,100,51
1700426846.313546,33892.000,2963,2,MX,1,100,52
1700426846.353390,33931.000,2963,2,MX,1,100,51
1700426846.393234,33970.000,2978,3,MX,1,100,51
1700426846.433078,34009.000,2978,3,MX,1,100,51
1700426846.472922,34048.000,2978,3,MX,1,100,52
1700426846.512766,34087.000,2993,3,MX,1,100,50
1700426846.552610,34126.000,2993,3,MX,1,100,52
1700426846.592454,34165.000,2993,3,MX,1,100,50
1700426846.632298,34204.000,3011,2,MX,1,100,51
1700426846.672142,34243.000,3011,2,MX,1,100,52
1700426846.711986,34282.000,3027,3,MX,1,100,51
1700426846.751830,34321.000,3027,3,MX,1,100,49
1700426846.791674,34360.000,3027,3,MX,1,100,51
1700426846.830496,34398.000,3042,2,MX,1,100,51
1700426846.869318,34436.000,3042,2,MX,1,100,51
1700426846.909163,34475.000,3064,4,MX,1,100,51
1700426846.949006,34514.000,3064,4,MX,1,100,51
1700426846.988850,34553.000,3064,4,MX,1,100,51
1700426847.028694,34592.000,3064,4,MX,1,100,52
1700426847.068538,34631.000,3081,3,MX,1,100,51
1700426847.108382,34670.000,3081,3,MX,1,100,51
1700426847.148226,34709.000,3081,3,MX,1,100,51
1700426847.188070,34748.000,3096,3,MX,1,100,50
1700426847.227914,34787.000,3096,3,MX,1,100,52
1700426847.267758,34826.000,3096,3,MX,1,100,51
1700426847.307602,34865.000,3114,2,MX,1,100,51
1700426847.347446,34904.000,3114,2,MX,1,100,51
1700426847.386950,34942.667,3130,3,MX,1,100,52
1700426847.426453,34981.333,3130,3,MX,1,100,51
1700426847.465956,35020.000,3130,3,MX,1,100,51
1700426847.505290,35058.500,3145,2,MX,1,100,52
1700426847.544623,35097.000,3145,2,MX,1,100,51
1700426847.580040,35131.667,3164,3,MX,1,100,53
1700426847.615457,35166.333,3164,3,MX,1,100,50
1700426847.650873,35201.000,3164,3,MX,1,100,51
1700426847.691398,35240.667,3178,3,MX,1,100,51
