LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1700427452.211678,626956.000,31255,4,DC,2,100,1
1700427452.237474,626981.250,31270,4,DC,2,100,EA
1700427452.263271,627006.500,31270,4,DC,2,100,2
1700427452.289067,627031.750,31270,4,DC,2,100,EL
1700427452.314863,627057.000,31270,4,DC,2,100,2
1700427452.340915,627082.500,31288,4,DC,2,100,EA
1700427452.366967,627108.000,31288,4,DC,2,100,1
1700427452.393019,627133.500,31288,4,DC,2,100,EL
1700427452.419071,627159.000,31288,4,DC,2,100,1
1700427452.444612,627184.000,31304,4,DC,2,100,EA
1700427452.470153,627209.000,31304,4,DC,2,100,2
1700427452.495694,627234.000,31304,4,DC,2,100,EL
1700427452.521235,627259.000,31304,4,DC,2,100,2
1700427452.547031,627284.250,31321,4,DC,2,100,EA
1700427452.572828,627309.500,31321,4,DC,2,100,2
1700427452.598624,627334.750,31321,4,DC,2,100,EL
1700427452.624420,627360.000,31321,4,DC,2,100,2
1700427452.657113,627392.000,31338,4,DC,2,100,EA
1700427452.689805,627424.000,31338,4,DC,2,100,1
1700427452.722498,627456.000,31338,4,DC,2,100,EL
1700427452.755190,627488.000,31338,4,DC,2,100,1
1700427452.780987,627513.250,31357,4,DC,2,100,EA
1700427452.806783,627538.500,31357,4,DC,2,100,2
1700427452.832580,627563.750,31357,4,DC,2,100,EL
1700427452.858376,627589.000,31357,4,DC,2,100,2
1700427452.883917,627614.000,31372,4,DC,2,100,EA
1700427452.909458,627639.000,31372,4,DC,2,100,2
1700427452.934999,627664.000,31372,4,DC,2,100,EL
1700427452.960540,627689.000,31372,4,DC,2,100,2
1700427452.986592,627714.500,31390,4,DC,2,100,EA
1700427453.012644,627740.000,31390,4,DC,2,100,1
1700427453.038696,627765.500,31390,4,DC,2,100,EL
1700427453.064747,627791.000,31390,4,DC,2,100,1
1700427453.090288,627816.000,31408,4,DC,2,100,EA
1700427453.115829,627841.000,31408,4,DC,2,100,2
1700427453.141371,627866.000,31408,4,DC,2,100,EL
1700427453.166911,627891.000,31408,4,DC,2,100,2
1700427453.192708,627916.250,31425,4,DC,2,100,EA
1700427453.218504,627941.500,31425,4,DC,2,100,1
1700427453.244301,627966.750,31425,4,DC,2,100,EL
1700427453.270097,627992.000,31425,4,DC,2,100,1
1700427453.296149,628017.500,31441,4,DC,2,100,EA
1700427453.322201,628043.000,31441,4,DC,2,100,2
1700427453.348253,628068.500,31441,4,DC,2,100,EL
1700427453.374305,628094.000,31441,4,DC,2,100,2
1700427453.399845,628119.000,31458,4,DC,2,100,EA
1700427453.425386,628144.000,31458,4,DC,2,100,1
1700427453.450927,628169.000,31458,4,DC,2,100,EL
1700427453.476469,628194.000,31458,4,DC,2,100,1
1700427453.502265,628219.250,31474,4,DC,2,100,EA
