LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1700035684.977257,416973.500,64718,2,RD,1,100,TL
1700035687.558535,419495.000,64718,2,RD,1,100,TU
1700035690.178714,422054.500,12,2,RD,1,100,TL
1700035692.798893,424614.000,12,2,RD,1,100,TU
1700035695.427261,427181.500,801,2,RD,1,100,TL
1700035698.055629,429749.000,801,2,RD,1,100,TU
1700035700.667619,432300.500,1648,2,RD,1,100,TL
1700035703.279608,434852.000,1648,2,RD,1,100,TU
1700035705.906952,437418.500,2494,2,RD,1,100,TL
1700035708.534297,439985.000,2494,2,RD,1,100,TU
1700035711.165225,442555.000,3328,2,RD,1,100,TL
1700035713.796152,445125.000,3328,2,RD,1,100,TU
1700035716.420938,447689.000,4123,2,RD,1,100,TL
1700035719.045723,450253.000,4123,2,RD,1,100,TU
1700035721.655665,452802.500,4939,2,RD,1,100,TL
1700035724.265606,455352.000,4939,2,RD,1,100,TU
1700035726.880155,457906.000,5790,2,RD,1,100,TL
1700035729.494703,460460.000,5790,2,RD,1,100,TU
1700035732.132285,463036.500,6646,2,RD,1,100,TL
1700035734.769866,465613.000,6646,2,RD,1,100,TU
1700035737.372642,468155.500,7483,2,RD,1,100,TL
1700035739.975418,470698.000,7483,2,RD,1,100,TU
1700035742.609928,473271.500,8343,2,RD,1,100,TL
1700035745.244439,475845.000,8343,2,RD,1,100,TU
1700035747.868201,478408.000,9188,2,RD,1,100,TL
1700035750.491962,480971.000,9188,2,RD,1,100,TU
1700035753.105999,483524.500,10030,2,RD,1,100,TL
1700035755.720035,486078.000,10030,2,RD,1,100,TU
1700035758.349939,488647.000,10874,2,RD,1,100,TL
1700035760.979843,491216.000,10874,2,RD,1,100,TU
1700035763.598486,493774.000,11719,2,RD,1,100,TL
1700035766.217129,496332.000,11719,2,RD,1,100,TU
1700035768.841915,498896.000,12564,2,RD,1,100,TL
1700035771.466700,501460.000,12564,2,RD,1,100,TU
1700035774.072035,504005.000,13391,2,RD,1,100,TL
1700035776.677370,506550.000,13391,2,RD,1,100,TU
1700035779.308810,509120.500,14238,2,RD,1,100,TL
1700035781.940249,511691.000,14238,2,RD,1,100,TU
1700035784.539442,514230.000,15063,2,RD,1,100,TL
1700035787.138634,516769.000,15063,2,RD,1,100,TU
1700035789.758813,519328.500,15890,2,RD,1,100,TL
1700035792.378992,521888.000,15890,2,RD,1,100,TU
1700035795.023228,524471.000,16714,2,RD,1,100,TL
1700035797.667464,527054.000,16714,2,RD,1,100,TU
1700035800.308628,529634.000,17529,2,RD,1,100,TL
1700035802.949793,532214.000,17529,2,RD,1,100,TU
1700035805.572531,534776.000,18373,2,RD,1,100,TL
1700035808.195269,537338.000,18373,2,RD,1,100,TU
1700035810.803675,539886.000,19214,2,RD,1,100,TL
1700035813.412081,542434.000,19214,2,RD,1,100,TU
1700035816.040449,545001.500,20057,2,RD,1,100,TL
1700035818.668818,547569.000,20057,2,RD,1,100,TU
1700035821.286437,550126.000,20900,2,RD,1,100,TL
1700035823.904057,552683.000,20900,2,RD,1,100,TU
1700035826.538055,555256.000,21746,2,RD,1,100,TL
1700035829.172054,557829.000,21746,2,RD,1,100,TU
1700035831.783531,560380.000,22587,2,RD,1,100,TL
1700035834.395008,562931.000,22587,2,RD,1,100,TU
1700035837.009557,565485.000,23428,2,RD,1,100,TL
1700035839.624105,568039.000,23428,2,RD,1,100,TU
1700035842.238653,570593.000,24273,2,RD,1,100,TL
1700035844.853202,573147.000,24273,2,RD,1,100,TU
1700035847.491295,575724.000,25123,2,RD,1,100,TL
1700035850.129389,578301.000,25123,2,RD,1,100,TU
1700035852.735236,580846.500,25952,2,RD,1,100,TL
1700035855.341082,583392.000,25952,2,RD,1,100,TU
1700035857.948977,585939.500,26793,2,RD,1,100,TL
1700035860.556871,588487.000,26793,2,RD,1,100,TU
1700035863.186263,591055.500,27639,2,RD,1,100,TL
1700035865.815655,593624.000,27639,2,RD,1,100,TU
1700035868.429692,596177.500,28482,2,RD,1,100,TL
1700035871.043728,598731.000,28482,2,RD,1,100,TU
1700035873.691547,601317.500,29335,2,RD,1,100,TL
1700035876.339365,603904.000,29335,2,RD,1,100,TU
1700035878.920643,606425.500,30160,2,RD,1,100,TL
1700035881.501921,608947.000,30160,2,RD,1,100,TU
1700035884.136432,611520.500,31007,2,RD,1,100,TL
1700035886.770942,614094.000,31007,2,RD,1,100,TU
1700035889.365528,616628.500,31816,2,RD,1,100,TL
1700035891.960114,619163.000,31816,2,RD,1,100,TU
1700035894.590019,621732.000,32643,2,RD,1,100,TL
1700035897.219922,624301.000,32643,2,RD,1,100,TU
1700035899.820139,626841.000,33429,2,RD,1,100,TL
1700035902.420355,629381.000,33429,2,RD,1,100,TU
1700035905.039510,631939.500,34186,2,RD,1,100,TL
1700035907.658665,634498.000,34186,2,RD,1,100,TU
1700035910.277820,637056.500,35010,2,RD,1,100,TL
1700035912.896975,639615.000,35010,2,RD,1,100,TU
1700035915.548377,642205.000,35831,2,RD,1,100,TL
1700035918.199779,644795.000,35831,2,RD,1,100,TU
1700035920.781057,647316.500,36624,2,RD,1,100,TL
1700035923.362334,649838.000,36624,2,RD,1,100,TU
1700035925.999916,652414.500,37421,2,RD,1,100,TL
1700035928.637498,654991.000,37421,2,RD,1,100,TU
1700035931.255117,657548.000,38232,2,RD,1,100,TL
1700035933.872737,660105.000,38232,2,RD,1,100,TU
1700035936.498034,662669.500,39042,2,RD,1,100,TL
1700035939.123331,665234.000,39042,2,RD,1,100,TU
1700035941.737368,667787.500,39843,2,RD,1,100,TL
1700035944.351404,670341.000,39843,2,RD,1,100,TU
1700035946.976189,672905.000,40643,2,RD,1,100,TL
1700035949.600975,675469.000,40643,2,RD,1,100,TU
1700035952.212964,678020.500,41443,2,RD,1,100,TL
1700035954.824953,680572.000,41443,2,RD,1,100,TU
1700035957.448203,683134.500,42252,2,RD,1,100,TL
1700035960.071453,685697.000,42252,2,RD,1,100,TU
1700035962.686001,688251.000,43050,2,RD,1,100,TL
1700035965.300549,690805.000,43050,2,RD,1,100,TU
1700035967.924311,693368.000,43866,2,RD,1,100,TL
1700035970.548073,695931.000,43866,2,RD,1,100,TU
1700035973.174905,698497.000,44684,2,RD,1,100,TL
1700035975.801738,701063.000,44684,2,RD,1,100,TU
1700035978.417822,703618.500,45492,2,RD,1,100,TL
1700035981.033906,706174.000,45492,2,RD,1,100,TU
1700035983.649478,708729.000,46291,2,RD,1,100,TL
1700035986.265050,711284.000,46291,2,RD,1,100,TU
1700035988.885229,713843.500,47093,2,RD,1,100,TL
1700035991.505407,716403.000,47093,2,RD,1,100,TU
1700035994.114837,718952.000,47906,2,RD,1,100,TL
1700035996.724267,721501.000,47906,2,RD,1,100,TU
1700035999.363896,724079.500,48695,2,RD,1,100,TL
1700036002.003525,726658.000,48695,2,RD,1,100,TU
1700036004.638036,729231.500,49494,2,RD,1,100,TL
1700036007.272547,731805.000,49494,2,RD,1,100,TU
1700036009.886583,734358.500,50276,2,RD,1,100,TL
1700036012.500619,736912.000,50276,2,RD,1,100,TU
1700036015.109537,739460.500,51037,2,RD,1,100,TL
1700036017.718455,742009.000,51037,2,RD,1,100,TU
1700036020.338634,744568.500,51842,2,RD,1,100,TL
1700036022.958813,747128.000,51842,2,RD,1,100,TU
1700036025.569778,749678.500,52644,2,RD,1,100,TL
1700036028.180743,752229.000,52644,2,RD,1,100,TU
1700036030.801434,754789.000,53447,2,RD,1,100,TL
1700036033.422124,757349.000,53447,2,RD,1,100,TU
1700036036.030530,759897.000,54240,2,RD,1,100,TL
1700036038.638937,762445.000,54240,2,RD,1,100,TU
1700036041.280101,765025.000,55046,2,RD,1,100,TL
1700036043.921266,767605.000,55046,2,RD,1,100,TU
1700036046.566525,770189.000,55855,2,RD,1,100,TL
1700036049.211785,772773.000,55855,2,RD,1,100,TU
1700036051.792039,775293.500,56639,2,RD,1,100,TL
1700036054.372293,777814.000,56639,2,RD,1,100,TU
1700036056.992984,780374.000,57441,2,RD,1,100,TL
1700036059.613674,782934.000,57441,2,RD,1,100,TU
1700036062.244090,785503.500,58247,2,RD,1,100,TL
1700036064.874506,788073.000,58247,2,RD,1,100,TU
1700036067.498268,790636.000,59040,2,RD,1,100,TL
1700036070.122029,793199.000,59040,2,RD,1,100,TU
1700036072.718151,795735.000,59830,2,RD,1,100,TL
1700036075.314272,798271.000,59830,2,RD,1,100,TU
1700036077.952878,800848.500,60636,2,RD,1,100,TL
1700036080.591483,803426.000,60636,2,RD,1,100,TU
1700036083.200401,805974.500,61424,2,RD,1,100,TL
1700036085.809319,808523.000,61424,2,RD,1,100,TU
1700036088.424379,811077.500,62228,2,RD,1,100,TL
1700036091.039440,813632.000,62228,2,RD,1,100,TU
1700036093.664225,816196.000,63028,2,RD,1,100,TL
1700036096.289010,818760.000,63028,2,RD,1,100,TU
1700036098.897928,821308.500,63836,2,RD,1,100,TL
1700036101.506846,823857.000,63836,2,RD,1,100,TU
1700036104.131632,826421.000,64625,2,RD,1,100,TL
1700036106.756417,828985.000,64625,2,RD,1,100,TU
1700036109.366359,831534.500,65409,2,RD,1,100,TL
1700036111.976300,834084.000,65409,2,RD,1,100,TU
1700036114.602621,836649.500,659,2,RD,1,100,TL
1700036117.228942,839215.000,659,2,RD,1,100,TU
1700036119.850657,841776.000,1425,2,RD,1,100,TL
1700036122.472371,844337.000,1425,2,RD,1,100,TU
1700036125.103810,846907.500,2224,2,RD,1,100,TL
1700036127.735250,849478.000,2224,2,RD,1,100,TU
1700036130.366177,852048.000,3021,2,RD,1,100,TL
1700036132.997105,854618.000,3021,2,RD,1,100,TU
1700036135.606535,857167.000,3815,2,RD,1,100,TL
1700036138.215965,859716.000,3815,2,RD,1,100,TU
1700036140.830001,862269.500,4614,2,RD,1,100,TL
1700036143.444037,864823.000,4614,2,RD,1,100,TU
1700036146.063704,867382.000,5413,2,RD,1,100,TL
1700036148.683371,869941.000,5413,2,RD,1,100,TU
1700036151.309692,872506.500,6208,2,RD,1,100,TL
1700036153.936013,875072.000,6208,2,RD,1,100,TU
1700036156.563869,877639.000,7005,2,RD,1,100,TL
1700036159.191726,880206.000,7005,2,RD,1,100,TU
1700036161.814976,882768.500,7806,2,RD,1,100,TL
1700036164.438226,885331.000,7806,2,RD,1,100,TU
1700036167.054310,887886.500,8599,2,RD,1,100,TL
1700036169.670393,890442.000,8599,2,RD,1,100,TU
1700036172.300297,893011.000,9401,2,RD,1,100,TL
1700036174.930201,895580.000,9401,2,RD,1,100,TU
1700036177.529394,898119.000,10183,2,RD,1,100,TL
1700036180.128587,900658.000,10183,2,RD,1,100,TU
1700036182.743647,903212.500,10990,2,RD,1,100,TL
1700036185.358707,905767.000,10990,2,RD,1,100,TU
1700036187.978886,908326.500,11794,2,RD,1,100,TL
1700036190.599064,910886.000,11794,2,RD,1,100,TU
1700036193.209006,913435.500,12600,2,RD,1,100,TL
1700036195.818948,915985.000,12600,2,RD,1,100,TU
