LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1700035357.002441,96594,13113,1,HR,1,100,65
1700035357.936062,97506,13252,1,HR,1,100,65
1700035358.730459,98282,13385,1,HR,1,100,66
1700035359.542259,99075,13511,1,HR,1,100,67
1700035360.832130,100335,13711,1,HR,1,100,65
1700035361.632669,101117,13843,1,HR,1,100,66
1700035362.603143,102065,13988,1,HR,1,100,65
1700035363.610471,103049,14138,1,HR,1,100,65
1700035364.449911,103869,14269,1,HR,1,100,66
1700035365.457239,104853,14433,1,HR,1,100,65
1700035366.305892,105682,14562,1,HR,1,100,66
1700035367.465753,106815,14741,1,HR,1,100,64
1700035368.195656,107528,14858,1,HR,1,100,66
1700035369.155893,108466,15006,1,HR,1,100,66
1700035370.086443,109375,15153,1,HR,1,100,66
1700035371.094795,110360,15299,1,HR,1,100,65
1700035371.817532,111066,15414,1,HR,1,100,67
1700035372.866832,112091,15564,1,HR,1,100,66
1700035375.726046,114884,16008,1,HR,1,100,61
1700035376.775346,115909,16172,1,HR,1,100,60
1700035378.540218,117633,16452,1,HR,1,100,57
1700035379.554712,118624,16596,1,HR,1,100,58
1700035380.590703,119636,16760,1,HR,1,100,58
1700035381.401479,120428,16890,1,HR,1,100,60
1700035382.200995,121209,17022,1,HR,1,100,62
1700035382.771200,121766,17105,1,HR,1,100,67
1700035384.343614,123302,17348,1,HR,1,100,64
1700035385.060209,124002,17463,1,HR,1,100,66
1700035386.030684,124950,17609,1,HR,1,100,65
1700035387.083055,125978,17773,1,HR,1,100,65
1700035387.843669,126721,17905,1,HR,1,100,66
1700035389.052667,127902,18089,1,HR,1,100,64
1700035389.941245,128770,18220,1,HR,1,100,65
1700035390.861558,129669,18367,1,HR,1,100,65
1700035391.750136,130537,18517,1,HR,1,100,65
1700035392.838337,131600,18680,1,HR,1,100,64
1700035393.757626,132498,18828,1,HR,1,100,64
1700035394.689199,133408,18966,1,HR,1,100,64
1700035395.700622,134396,19129,1,HR,1,100,64
1700035396.657789,135331,19277,1,HR,1,100,64
1700035397.588338,136240,19426,1,HR,1,100,64
1700035398.598737,137227,19590,1,HR,1,100,63
1700035399.478102,138086,19708,1,HR,1,100,64
1700035400.410699,138997,19857,1,HR,1,100,64
1700035401.207144,139775,19989,1,HR,1,100,65
1700035402.299439,140842,20169,1,HR,1,100,64
1700035403.028319,141554,20286,1,HR,1,100,66
1700035404.103211,142604,20450,1,HR,1,100,65
1700035405.154559,143631,20616,1,HR,1,100,64
1700035405.966359,144424,20734,1,HR,1,100,66
1700035406.963449,145398,20898,1,HR,1,100,65
1700035408.017868,146428,21061,1,HR,1,100,64
1700035409.829830,148198,21344,1,HR,1,100,60
1700035410.837158,149182,21508,1,HR,1,100,60
1700035411.766684,150090,21656,1,HR,1,100,61
1700035412.763775,151064,21820,1,HR,1,100,61
1700035413.813075,152089,21983,1,HR,1,100,60
1700035414.670941,152927,22117,1,HR,1,100,62
1700035415.628108,153862,22253,1,HR,1,100,62
1700035416.674336,154884,22435,1,HR,1,100,61
1700035417.569057,155758,22568,1,HR,1,100,62
1700035418.484251,156652,22713,1,HR,1,100,63
1700035419.454725,157600,22860,1,HR,1,100,63
1700035420.387323,158511,23013,1,HR,1,100,63
1700035421.352679,159454,23160,1,HR,1,100,63
1700035422.401978,160479,23324,1,HR,1,100,62
1700035423.248584,161306,23457,1,HR,1,100,63
1700035424.249770,162284,23621,1,HR,1,100,63
1700035425.142443,163156,23769,1,HR,1,100,64
1700035426.191743,164181,23923,1,HR,1,100,63
1700035427.113079,165081,24069,1,HR,1,100,63
