LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1700035585.379755,319682.500,49643,2,AK,1,100,48070
1700035593.235173,327356.000,49643,2,AK,1,100,RD
1700035593.244386,327365.000,49645,2,AK,1,100,48070
1700035593.253600,327374.000,49645,2,AK,1,100,RD
1700035593.259742,327380.000,49647,2,AK,1,100,48839
1700035593.265884,327386.000,49647,2,AK,1,100,RD
1700035598.503171,332502.000,51255,2,AK,1,100,49648
1700035603.740457,337618.000,51255,2,AK,1,100,RD
1700035603.746087,337623.500,51257,2,AK,1,100,50454
1700035603.751718,337629.000,51257,2,AK,1,100,RD
1700035606.364730,340181.500,52047,2,AK,1,100,51258
1700035608.977743,342734.000,52047,2,AK,1,100,RD
1700035608.983886,342740.000,52049,2,AK,1,100,51258
1700035608.990028,342746.000,52049,2,AK,1,100,RD
1700035616.844422,350418.500,54578,2,AK,1,100,53736
1700035624.698815,358091.000,54578,2,AK,1,100,RD
1700035627.343563,360674.500,55422,2,AK,1,100,54579
1700035629.988311,363258.000,55422,2,AK,1,100,RD
1700035629.994453,363264.000,55424,2,AK,1,100,54579
1700035630.000595,363270.000,55424,2,AK,1,100,RD
1700035635.208706,368357.500,57110,2,AK,1,100,56264
1700035640.416816,373445.000,57110,2,AK,1,100,RD
1700035640.422959,373451.000,57112,2,AK,1,100,56264
1700035640.429101,373457.000,57112,2,AK,1,100,RD
1700035648.263533,381110.000,59628,2,AK,1,100,57943
1700035656.097964,388763.000,59628,2,AK,1,100,RD
1700035658.716607,391321.000,60483,2,AK,1,100,59629
1700035661.335250,393879.000,60483,2,AK,1,100,RD
1700035661.341393,393885.000,60485,2,AK,1,100,59629
1700035661.347535,393891.000,60485,2,AK,1,100,RD
1700035663.970785,396453.500,61334,2,AK,1,100,60486
1700035666.594035,399016.000,61334,2,AK,1,100,RD
1700035674.470950,406710.500,63874,2,AK,1,100,62176
1700035682.347866,414405.000,63874,2,AK,1,100,RD
1700035682.356567,414413.500,63876,2,AK,1,100,62176
1700035682.365268,414422.000,63876,2,AK,1,100,RD
1700035682.374482,414431.000,63878,2,AK,1,100,63020
1700035682.383695,414440.000,63878,2,AK,1,100,RD
1700035682.389838,414446.000,63880,2,AK,1,100,63020
1700035682.395980,414452.000,63880,2,AK,1,100,RD
1700035687.597436,419533.000,11,2,AK,1,100,64718
1700035692.798893,424614.000,11,2,AK,1,100,RD
1700035695.427261,427181.500,800,2,AK,1,100,12
1700035698.055629,429749.000,800,2,AK,1,100,RD
1700035703.294451,434866.500,2493,2,AK,1,100,1648
1700035708.533273,439984.000,2493,2,AK,1,100,RD
1700035711.158571,442548.500,3325,2,AK,1,100,2494
1700035713.783868,445113.000,3325,2,AK,1,100,RD
1700035713.790010,445119.000,3327,2,AK,1,100,2494
1700035713.796152,445125.000,3327,2,AK,1,100,RD
1700035716.420426,447688.500,4122,2,AK,1,100,3328
1700035719.044699,450252.000,4122,2,AK,1,100,RD
1700035726.901140,457926.500,6643,2,AK,1,100,5790
1700035734.757582,465601.000,6643,2,AK,1,100,RD
1700035734.763724,465607.000,6645,2,AK,1,100,5790
1700035734.769866,465613.000,6645,2,AK,1,100,RD
1700035737.372130,468155.000,7482,2,AK,1,100,6646
1700035739.974394,470697.000,7482,2,AK,1,100,RD
1700035742.603274,473265.000,8340,2,AK,1,100,7483
1700035745.232154,475833.000,8340,2,AK,1,100,RD
1700035745.237785,475838.500,8342,2,AK,1,100,7483
1700035745.243415,475844.000,8342,2,AK,1,100,RD
1700035747.861035,478401.000,9185,2,AK,1,100,8343
1700035750.478654,480958.000,9185,2,AK,1,100,RD
1700035750.485308,480964.500,9187,2,AK,1,100,8343
1700035750.491962,480971.000,9187,2,AK,1,100,RD
1700035755.729760,486087.500,10871,2,AK,1,100,10030
1700035760.967559,491204.000,10871,2,AK,1,100,RD
1700035760.973189,491209.500,10873,2,AK,1,100,10030
1700035760.978819,491215.000,10873,2,AK,1,100,RD
1700035763.597974,493773.500,11718,2,AK,1,100,10874
1700035766.217129,496332.000,11718,2,AK,1,100,RD
1700035768.835773,498890.000,12561,2,AK,1,100,11719
1700035771.454416,501448.000,12561,2,AK,1,100,RD
1700035771.460558,501454.000,12563,2,AK,1,100,11719
1700035771.466700,501460.000,12563,2,AK,1,100,RD
1700035774.072035,504005.000,13390,2,AK,1,100,12564
1700035776.677370,506550.000,13390,2,AK,1,100,RD
1700035779.302667,509114.500,14235,2,AK,1,100,13391
1700035781.927964,511679.000,14235,2,AK,1,100,RD
1700035781.934107,511685.000,14237,2,AK,1,100,13391
1700035781.940249,511691.000,14237,2,AK,1,100,RD
1700035787.159620,516789.500,15889,2,AK,1,100,15063
1700035792.378992,521888.000,15889,2,AK,1,100,RD
1700035797.657738,527044.500,17526,2,AK,1,100,16714
1700035802.936485,532201.000,17526,2,AK,1,100,RD
1700035802.943139,532207.500,17528,2,AK,1,100,16714
1700035802.949793,532214.000,17528,2,AK,1,100,RD
1700035805.572019,534775.500,18372,2,AK,1,100,17529
1700035808.194245,537337.000,18372,2,AK,1,100,RD
1700035813.431020,542452.500,20056,2,AK,1,100,19214
1700035818.667794,547568.000,20056,2,AK,1,100,RD
1700035823.913270,552692.000,21743,2,AK,1,100,20057
1700035829.158746,557816.000,21743,2,AK,1,100,RD
1700035829.165400,557822.500,21745,2,AK,1,100,20900
1700035829.172054,557829.000,21745,2,AK,1,100,RD
1700035839.635878,568050.500,25118,2,AK,1,100,23428
1700035850.099701,578272.000,25118,2,AK,1,100,RD
1700035850.108403,578280.500,25120,2,AK,1,100,24273
1700035850.117104,578289.000,25120,2,AK,1,100,RD
1700035850.123247,578295.000,25122,2,AK,1,100,24273
1700035850.129389,578301.000,25122,2,AK,1,100,RD
1700035852.728582,580840.000,25949,2,AK,1,100,25123
1700035855.327774,583379.000,25949,2,AK,1,100,RD
1700035855.333916,583385.000,25951,2,AK,1,100,25123
1700035855.340059,583391.000,25951,2,AK,1,100,RD
1700035860.571715,588501.500,27636,2,AK,1,100,25952
1700035865.803370,593612.000,27636,2,AK,1,100,RD
1700035865.809513,593618.000,27638,2,AK,1,100,25952
1700035865.815655,593624.000,27638,2,AK,1,100,RD
1700035871.052941,598740.000,29328,2,AK,1,100,27639
1700035876.290228,603856.000,29328,2,AK,1,100,RD
1700035876.299441,603865.000,29330,2,AK,1,100,27639
1700035876.308654,603874.000,29330,2,AK,1,100,RD
1700035876.317868,603883.000,29332,2,AK,1,100,28482
1700035876.327081,603892.000,29332,2,AK,1,100,RD
1700035876.332711,603897.500,29334,2,AK,1,100,28482
1700035876.338342,603903.000,29334,2,AK,1,100,RD
1700035881.543381,608987.500,31003,2,AK,1,100,29335
1700035886.748421,614072.000,31003,2,AK,1,100,RD
1700035886.758146,614081.500,31005,2,AK,1,100,29335
1700035886.767871,614091.000,31005,2,AK,1,100,RD
1700035886.769407,614092.500,31006,2,AK,1,100,30160
1700035886.770942,614094.000,31006,2,AK,1,100,RD
1700035891.989290,619191.500,32640,2,AK,1,100,31816
1700035897.207638,624289.000,32640,2,AK,1,100,RD
1700035897.213268,624294.500,32642,2,AK,1,100,31816
1700035897.218899,624300.000,32642,2,AK,1,100,RD
1700035899.819627,626840.500,33428,2,AK,1,100,32643
1700035902.420355,629381.000,33428,2,AK,1,100,RD
1700035905.039510,631939.500,34185,2,AK,1,100,33429
1700035907.658665,634498.000,34185,2,AK,1,100,RD
1700035912.904653,639622.500,35824,2,AK,1,100,34186
1700035918.150641,644747.000,35824,2,AK,1,100,RD
1700035918.159854,644756.000,35826,2,AK,1,100,34186
1700035918.169067,644765.000,35826,2,AK,1,100,RD
1700035918.177769,644773.500,35828,2,AK,1,100,35010
1700035918.186471,644782.000,35828,2,AK,1,100,RD
1700035918.193125,644788.500,35830,2,AK,1,100,35010
1700035918.199779,644795.000,35830,2,AK,1,100,RD
1700035928.660019,655013.000,39040,2,AK,1,100,37421
1700035939.120260,665231.000,39040,2,AK,1,100,RD
1700035939.121284,665232.000,39041,2,AK,1,100,38232
1700035939.122308,665233.000,39041,2,AK,1,100,RD
1700035941.736856,667787.000,39842,2,AK,1,100,39042
1700035944.351404,670341.000,39842,2,AK,1,100,RD
1700035946.970047,672899.000,40640,2,AK,1,100,39843
1700035949.588690,675457.000,40640,2,AK,1,100,RD
1700035949.594833,675463.000,40642,2,AK,1,100,39843
1700035949.600975,675469.000,40642,2,AK,1,100,RD
1700035952.212964,678020.500,41442,2,AK,1,100,40643
1700035954.824953,680572.000,41442,2,AK,1,100,RD
