LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1700035294.291500,35335.333,3354,3,AX,1,100,0.140
1700035294.331765,35374.667,3354,3,AX,1,100,0.145
1700035294.372031,35414.000,3354,3,AX,1,100,0.147
1700035294.411956,35453.000,3375,4,AX,1,100,0.142
1700035294.451880,35492.000,3375,4,AX,1,100,0.150
1700035294.491805,35531.000,3375,4,AX,1,100,0.146
1700035294.531730,35570.000,3375,4,AX,1,100,0.151
1700035294.570972,35608.333,3390,3,AX,1,100,0.151
1700035294.610214,35646.667,3390,3,AX,1,100,0.147
1700035294.649456,35685.000,3390,3,AX,1,100,0.148
1700035294.684603,35719.333,3409,3,AX,1,100,0.145
1700035294.719750,35753.667,3409,3,AX,1,100,0.151
1700035294.754898,35788.000,3409,3,AX,1,100,0.149
1700035294.794822,35827.000,3426,3,AX,1,100,0.152
1700035294.834747,35866.000,3426,3,AX,1,100,0.145
1700035294.874671,35905.000,3426,3,AX,1,100,0.152
1700035294.914596,35944.000,3442,2,AX,1,100,0.145
1700035294.954521,35983.000,3442,2,AX,1,100,0.151
1700035294.994445,36022.000,3457,3,AX,1,100,0.148
1700035295.034370,36061.000,3457,3,AX,1,100,0.147
1700035295.074294,36100.000,3457,3,AX,1,100,0.153
1700035295.113707,36138.500,3475,2,AX,1,100,0.144
1700035295.153120,36177.000,3475,2,AX,1,100,0.155
1700035295.193386,36216.333,3490,3,AX,1,100,0.152
1700035295.233652,36255.667,3490,3,AX,1,100,0.151
1700035295.273917,36295.000,3490,3,AX,1,100,0.151
1700035295.314183,36334.333,3507,3,AX,1,100,0.159
1700035295.354449,36373.667,3507,3,AX,1,100,0.152
1700035295.394715,36413.000,3507,3,AX,1,100,0.153
1700035295.434639,36452.000,3523,2,AX,1,100,0.157
1700035295.474564,36491.000,3523,2,AX,1,100,0.155
1700035295.514488,36530.000,3539,3,AX,1,100,0.156
1700035295.554413,36569.000,3539,3,AX,1,100,0.152
1700035295.594338,36608.000,3539,3,AX,1,100,0.153
1700035295.634262,36647.000,3554,2,AX,1,100,0.152
1700035295.674187,36686.000,3554,2,AX,1,100,0.145
1700035295.714112,36725.000,3573,3,AX,1,100,0.150
1700035295.754036,36764.000,3573,3,AX,1,100,0.144
1700035295.793961,36803.000,3573,3,AX,1,100,0.150
1700035295.833885,36842.000,3592,3,AX,1,100,0.147
1700035295.873810,36881.000,3592,3,AX,1,100,0.149
1700035295.913734,36920.000,3592,3,AX,1,100,0.155
1700035295.953147,36958.500,3607,2,AX,1,100,0.148
1700035295.992560,36997.000,3607,2,AX,1,100,0.153
1700035296.032143,37035.667,3623,3,AX,1,100,0.154
1700035296.071727,37074.333,3623,3,AX,1,100,0.149
1700035296.111310,37113.000,3623,3,AX,1,100,0.152
1700035296.151234,37152.000,3639,2,AX,1,100,0.149
1700035296.191159,37191.000,3639,2,AX,1,100,0.157
1700035296.231084,37230.000,3656,3,AX,1,100,0.153
