LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1700035292.454628,33541.000,3055,2,EL,1,100,12625.200195
1700035292.521168,33606.000,3055,2,EL,1,100,12620.000000
1700035292.589757,33673.000,3070,1,EL,1,100,12606.599609
1700035292.656810,33738.500,3087,2,EL,1,100,12594.799805
1700035292.723863,33804.000,3087,2,EL,1,100,12586.799805
1700035292.790404,33869.000,3104,1,EL,1,100,12581.000000
1700035292.856433,33933.500,3121,2,EL,1,100,12570.599609
1700035292.922462,33998.000,3121,2,EL,1,100,12570.200195
1700035292.989003,34063.000,3138,1,EL,1,100,12567.000000
1700035293.055032,34127.500,3155,2,EL,1,100,12564.799805
1700035293.121061,34192.000,3155,2,EL,1,100,12550.799805
1700035293.187602,34257.000,3170,1,EL,1,100,12542.200195
1700035293.254143,34322.000,3188,2,EL,1,100,12539.200195
1700035293.320684,34387.000,3188,2,EL,1,100,12533.599609
1700035293.387225,34452.000,3203,2,EL,1,100,12521.400391
1700035293.453766,34517.000,3203,2,EL,1,100,12510.799805
1700035293.519283,34581.000,3219,1,EL,1,100,12497.400391
1700035293.586336,34646.500,3236,2,EL,1,100,12506.200195
1700035293.653389,34712.000,3236,2,EL,1,100,12500.599609
1700035293.717882,34775.000,3253,1,EL,1,100,12495.000000
1700035293.784423,34840.000,3269,2,EL,1,100,12481.000000
1700035293.850964,34905.000,3269,2,EL,1,100,12473.400391
1700035293.917505,34970.000,3285,1,EL,1,100,12464.400391
1700035293.984046,35035.000,3301,2,EL,1,100,12458.599609
1700035294.050587,35100.000,3301,2,EL,1,100,12451.000000
1700035294.116104,35164.000,3321,1,EL,1,100,12452.400391
1700035294.183669,35230.000,3336,2,EL,1,100,12445.599609
1700035294.251234,35296.000,3336,2,EL,1,100,12443.200195
1700035294.318287,35361.500,3352,2,EL,1,100,12438.200195
1700035294.385339,35427.000,3352,2,EL,1,100,12428.000000
1700035294.451880,35492.000,3373,2,EL,1,100,12412.400391
1700035294.518421,35557.000,3373,2,EL,1,100,12405.200195
1700035294.583939,35621.000,3388,2,EL,1,100,12394.599609
1700035294.649456,35685.000,3388,2,EL,1,100,12391.200195
1700035294.715997,35750.000,3407,1,EL,1,100,12390.000000
1700035294.782026,35814.500,3424,2,EL,1,100,12385.400391
1700035294.848055,35879.000,3424,2,EL,1,100,12370.400391
1700035294.914596,35944.000,3440,2,EL,1,100,12362.000000
1700035294.981137,36009.000,3440,2,EL,1,100,12354.400391
1700035295.046654,36073.000,3456,1,EL,1,100,12346.799805
1700035295.112684,36137.500,3473,2,EL,1,100,12341.799805
1700035295.178713,36202.000,3473,2,EL,1,100,12335.799805
1700035295.246277,36268.000,3488,1,EL,1,100,12319.200195
1700035295.313842,36334.000,3505,2,EL,1,100,12310.599609
1700035295.381407,36400.000,3505,2,EL,1,100,12305.799805
1700035295.447948,36465.000,3522,1,EL,1,100,12304.799805
1700035295.514488,36530.000,3537,2,EL,1,100,12301.200195
1700035295.581029,36595.000,3537,2,EL,1,100,12295.400391
1700035295.646547,36659.000,3552,1,EL,1,100,12281.799805
1700035295.713088,36724.000,3571,2,EL,1,100,12274.599609
1700035295.779629,36789.000,3571,2,EL,1,100,12258.599609
1700035295.846170,36854.000,3590,1,EL,1,100,12258.599609
1700035295.912711,36919.000,3606,2,EL,1,100,12260.000000
1700035295.979252,36984.000,3606,2,EL,1,100,12256.799805
1700035296.045281,37048.500,3621,2,EL,1,100,12245.400391
1700035296.111310,37113.000,3621,2,EL,1,100,12238.599609
1700035296.177851,37178.000,3637,1,EL,1,100,12224.200195
1700035296.244392,37243.000,3654,2,EL,1,100,12219.200195
1700035296.310933,37308.000,3654,2,EL,1,100,12214.799805
1700035296.377474,37373.000,3671,1,EL,1,100,12213.400391
1700035296.443503,37437.500,3685,2,EL,1,100,12197.200195
1700035296.509532,37502.000,3685,2,EL,1,100,12192.799805
1700035296.576073,37567.000,3703,1,EL,1,100,12188.200195
1700035296.641590,37631.000,3719,2,EL,1,100,12178.599609
1700035296.707108,37695.000,3719,2,EL,1,100,12165.599609
1700035296.773649,37760.000,3739,2,EL,1,100,12162.400391
1700035296.840189,37825.000,3739,2,EL,1,100,12153.000000
1700035296.908778,37892.000,3756,1,EL,1,100,12147.799805
1700035296.976342,37958.000,3772,2,EL,1,100,12140.400391
1700035297.043907,38024.000,3772,2,EL,1,100,12136.200195
1700035297.110448,38089.000,3787,1,EL,1,100,12123.599609
1700035297.176989,38154.000,3803,2,EL,1,100,12113.000000
1700035297.243530,38219.000,3803,2,EL,1,100,12101.599609
1700035297.309047,38283.000,3820,1,EL,1,100,12100.200195
1700035297.375588,38348.000,3836,2,EL,1,100,12100.400391
1700035297.442129,38413.000,3836,2,EL,1,100,12099.000000
1700035297.507647,38477.000,3851,1,EL,1,100,12084.000000
1700035297.575723,38543.500,3867,2,EL,1,100,12086.000000
1700035297.643800,38610.000,3867,2,EL,1,100,12075.400391
1700035297.710340,38675.000,3883,2,EL,1,100,12057.799805
1700035297.776882,38740.000,3883,2,EL,1,100,12052.000000
1700035297.843423,38805.000,3903,1,EL,1,100,12053.400391
1700035297.909964,38870.000,3917,2,EL,1,100,12042.599609
1700035297.976505,38935.000,3917,2,EL,1,100,12031.599609
1700035298.043046,39000.000,3934,1,EL,1,100,12020.599609
1700035298.109586,39065.000,3949,2,EL,1,100,12014.799805
1700035298.176127,39130.000,3949,2,EL,1,100,12007.400391
1700035298.242668,39195.000,3967,1,EL,1,100,12003.799805
1700035298.308697,39259.500,3983,2,EL,1,100,11992.400391
1700035298.374727,39324.000,3983,2,EL,1,100,11983.000000
1700035298.441267,39389.000,4002,2,EL,1,100,11983.000000
1700035298.507808,39454.000,4002,2,EL,1,100,11990.000000
1700035298.574350,39519.000,4017,1,EL,1,100,11981.799805
1700035298.641402,39584.500,4034,2,EL,1,100,11971.200195
1700035298.708455,39650.000,4034,2,EL,1,100,11955.400391
