LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1667057586.588283,197296,30591,1,HR,1,100,46
1667057587.956196,198632,30810,1,HR,1,100,45
1667057590.661304,201274,31255,1,HR,1,100,43
1667057592.114198,202693,31491,1,HR,1,100,43
1667057593.445251,203993,31713,1,HR,1,100,43
1667057594.938077,205451,31949,1,HR,1,100,43
1667057597.400524,207856,32361,1,HR,1,100,41
1667057600.384129,210770,32850,1,HR,1,100,38
1667057601.720301,212075,33057,1,HR,1,100,39
1667057602.596748,212931,33195,1,HR,1,100,42
1667057604.292304,214587,33464,1,HR,1,100,42
1667057605.624380,215888,33686,1,HR,1,100,42
1667057606.517209,216760,33830,1,HR,1,100,45
1667057607.196046,217423,33931,1,HR,1,100,50
1667057608.249625,218452,34101,1,HR,1,100,51
1667057610.470435,220621,34474,1,HR,1,100,48
1667057611.723672,221845,34665,1,HR,1,100,48
1667057613.099775,223189,34902,1,HR,1,100,48
1667057615.549936,225582,35291,1,HR,1,100,45
1667057616.401809,226414,35445,1,HR,1,100,48
1667057617.774841,227755,35654,1,HR,1,100,48
1667057618.902140,228856,35839,1,HR,1,100,48
1667057620.102135,230028,36038,1,HR,1,100,49
1667057620.797354,230707,36138,1,HR,1,100,53
1667057622.003492,231885,36336,1,HR,1,100,53
1667057622.646492,232513,36438,1,HR,1,100,58
1667057623.936589,233773,36635,1,HR,1,100,56
1667057627.207907,236968,37142,1,HR,1,100,52
1667057628.018825,237760,37275,1,HR,1,100,55
1667057628.932132,238652,37422,1,HR,1,100,56
1667057630.836560,240512,37715,1,HR,1,100,53
1667057631.831778,241484,37878,1,HR,1,100,54
1667057632.448158,242086,37964,1,HR,1,100,59
1667057633.165902,242787,38077,1,HR,1,100,62
1667057633.816070,243422,38192,1,HR,1,100,66
1667057634.655657,244242,38324,1,HR,1,100,67
1667057635.466575,245034,38455,1,HR,1,100,68
1667057636.316401,245864,38585,1,HR,1,100,68
1667057637.892162,247403,38826,1,HR,1,100,65
1667057639.821164,249287,39139,1,HR,1,100,61
1667057640.458021,249909,39238,1,HR,1,100,65
1667057641.268939,250701,39369,1,HR,1,100,66
1667057641.947776,251364,39470,1,HR,1,100,68
1667057642.799649,252196,39591,1,HR,1,100,69
1667057644.570973,253926,39869,1,HR,1,100,65
1667057645.344007,254681,40002,1,HR,1,100,66
1667057646.836834,256139,40228,1,HR,1,100,63
1667057647.673349,256956,40360,1,HR,1,100,64
1667057648.365496,257632,40463,1,HR,1,100,67
1667057649.243991,258490,40609,1,HR,1,100,67
1667057650.690742,259903,40840,1,HR,1,100,64
1667057652.106777,261286,41056,1,HR,1,100,62
1667057653.074350,262231,41222,1,HR,1,100,62
1667057654.566153,263688,41444,1,HR,1,100,59
1667057657.424844,266480,41901,1,HR,1,100,55
1667057658.520402,267550,42070,1,HR,1,100,55
1667057661.263394,270229,42491,1,HR,1,100,51
1667057663.626524,272537,42861,1,HR,1,100,48
1667057664.480445,273371,42982,1,HR,1,100,51
