LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1672213190.348526,138010.000,20801,1,B%,1,100,64
1672213191.345524,138984.000,20972,1,B%,1,100,64
1672213192.343546,139959.000,21144,1,B%,1,100,65
1672213193.344638,140937.000,21294,1,B%,1,100,64
1672213194.344707,141914.000,21465,1,B%,1,100,64
1672213195.342728,142889.000,21623,1,B%,1,100,64
1672213196.339726,143863.000,21794,1,B%,1,100,64
1672213197.338772,144839.000,21966,1,B%,1,100,65
1672213198.333722,145811.000,22118,1,B%,1,100,65
1672213199.328673,146783.000,22288,1,B%,1,100,65
1672213200.326694,147758.000,22448,1,B%,1,100,65
1672213201.324716,148733.000,22617,1,B%,1,100,64
1672213202.326832,149712.000,22769,1,B%,1,100,64
1672213203.321783,150684.000,22940,1,B%,1,100,64
1672213204.317757,151657.000,23112,1,B%,1,100,64
1672213205.317826,152634.000,23270,1,B%,1,100,64
1672213206.311753,153605.000,23439,1,B%,1,100,64
1672213207.311821,154582.000,23611,1,B%,1,100,65
1672213208.309843,155557.000,23763,1,B%,1,100,65
1672213209.308888,156533.000,23933,1,B%,1,100,63
1672213210.304862,157506.000,24086,1,B%,1,100,64
1672213211.297766,158476.000,24262,1,B%,1,100,64
1672213212.295787,159451.000,24434,1,B%,1,100,64
1672213213.290738,160423.000,24587,1,B%,1,100,64
1672213214.288760,161398.000,24740,1,B%,1,100,64
1672213215.286781,162373.000,24911,1,B%,1,100,64
1672213216.282755,163346.000,25088,1,B%,1,100,64
1672213217.281801,164322.000,25240,1,B%,1,100,64
1672213218.276751,165294.000,25411,1,B%,1,100,63
1672213219.275796,166270.000,25581,1,B%,1,100,64
1672213220.273818,167245.000,25734,1,B%,1,100,65
1672213221.273887,168222.000,25910,1,B%,1,100,64
1672213222.269861,169195.000,26065,1,B%,1,100,64
1672213223.267883,170170.000,26234,1,B%,1,100,64
1672213224.263857,171143.000,26387,1,B%,1,100,64
1672213225.258807,172115.000,26558,1,B%,1,100,64
1672213226.255805,173089.000,26733,1,B%,1,100,64
1672213227.252803,174063.000,26885,1,B%,1,100,64
1672213228.253896,175041.000,27056,1,B%,1,100,64
1672213229.250894,176015.000,27228,1,B%,1,100,64
1672213230.242774,176984.000,27382,1,B%,1,100,64
1672213231.245913,177964.000,27551,1,B%,1,100,64
1672213232.242911,178938.000,27710,1,B%,1,100,64
1672213233.240932,179913.000,27863,1,B%,1,100,64
1672213234.239978,180889.000,28034,1,B%,1,100,64
1672213235.235952,181862.000,28203,1,B%,1,100,65
1672213236.233974,182837.000,28355,1,B%,1,100,63
1672213237.229948,183810.000,28515,1,B%,1,100,63
1672213238.225922,184783.000,28686,1,B%,1,100,64
1672213239.223943,185758.000,28855,1,B%,1,100,64
1672213240.220942,186732.000,29007,1,B%,1,100,64
1672213241.223058,187711.000,29178,1,B%,1,100,64
1672213242.222103,188687.000,29336,1,B%,1,100,65
1672213243.222171,189664.000,29507,1,B%,1,100,64
1672213244.218146,190637.000,29677,1,B%,1,100,64
1672213245.215144,191611.000,29829,1,B%,1,100,64
1672213246.216236,192589.000,30000,1,B%,1,100,63
1672213247.217328,193567.000,30174,1,B%,1,100,64
1672213248.217397,194544.000,30327,1,B%,1,100,63
1672213249.211324,195515.000,30500,1,B%,1,100,64
1672213250.211393,196492.000,30670,1,B%,1,100,64
1672213251.208391,197466.000,30822,1,B%,1,100,64
1672213252.207436,198442.000,30993,1,B%,1,100,64
1672213253.207505,199419.000,31152,1,B%,1,100,63
1672213254.208597,200397.000,31305,1,B%,1,100,64
1672213255.210713,201376.000,31476,1,B%,1,100,64
1672213256.204640,202347.000,31646,1,B%,1,100,64
1672213257.207780,203327.000,31798,1,B%,1,100,65
1672213258.207848,204304.000,31957,1,B%,1,100,65
1672213259.202799,205276.000,32128,1,B%,1,100,65
1672213260.205939,206256.000,32298,1,B%,1,100,64
1672213261.206007,207233.000,32452,1,B%,1,100,64
1672213262.201982,208206.000,32623,1,B%,1,100,65
1672213263.198980,209180.000,32781,1,B%,1,100,65
1672213264.199049,210157.000,32951,1,B%,1,100,64
1672213265.201164,211136.000,33103,1,B%,1,100,65
1672213266.201233,212113.000,33274,1,B%,1,100,64
1672213267.199255,213088.000,33443,1,B%,1,100,64
1672213268.196253,214062.000,33603,1,B%,1,100,65
1672213269.199392,215042.000,33753,1,B%,1,100,65
1672213270.195366,216015.000,33916,1,B%,1,100,65
1672213271.191341,216988.000,34076,1,B%,1,100,65
1672213272.190386,217964.000,34222,1,B%,1,100,64
1672213273.186360,218937.000,34384,1,B%,1,100,64
1672213274.188476,219916.000,34540,1,B%,1,100,64
1672213275.184450,220889.000,34688,1,B%,1,100,65
1672213276.184519,221866.000,34857,1,B%,1,100,64
1672213277.186635,222845.000,35020,1,B%,1,100,64
1672213278.180562,223816.000,35170,1,B%,1,100,64
1672213279.183702,224796.000,35326,1,B%,1,100,64
1672213280.185818,225775.000,35489,1,B%,1,100,64
1672213281.182816,226749.000,35650,1,B%,1,100,64
1672213282.181861,227725.000,35797,1,B%,1,100,65
1672213283.179883,228700.000,35960,1,B%,1,100,65
1672213284.175857,229673.000,36104,1,B%,1,100,65
1672213285.170807,230645.000,36267,1,B%,1,100,64
1672213286.165758,231617.000,36419,1,B%,1,100,65
1672213287.165827,232594.000,36584,1,B%,1,100,65
1672213288.168967,233574.000,36748,1,B%,1,100,64
1672213289.164941,234547.000,36910,1,B%,1,100,65
1672213290.158868,235518.000,37058,1,B%,1,100,64
1672213291.158937,236495.000,37223,1,B%,1,100,64
1672213292.155935,237469.000,37369,1,B%,1,100,65
1672213293.157027,238447.000,37536,1,B%,1,100,65
1672213294.155048,239422.000,37702,1,B%,1,100,65
1672213295.153070,240397.000,37840,1,B%,1,100,65
1672213296.148021,241369.000,38005,1,B%,1,100,65
1672213297.142971,242341.000,38148,1,B%,1,100,65
1672213298.143040,243318.000,38313,1,B%,1,100,65
1672213299.137991,244290.000,38478,1,B%,1,100,64
1672213300.134989,245264.000,38620,1,B%,1,100,64
1672213301.136081,246242.000,38783,1,B%,1,100,64
1672213302.134103,247217.000,38930,1,B%,1,100,65
1672213303.131100,248191.000,39099,1,B%,1,100,65
1672213304.127075,249164.000,39263,1,B%,1,100,64
1672213305.122025,250136.000,39419,1,B%,1,100,64
1672213306.120047,251111.000,39566,1,B%,1,100,64
1672213307.118068,252086.000,39737,1,B%,1,100,64
1672213308.116090,253061.000,39901,1,B%,1,100,64
1672213309.113088,254035.000,40049,1,B%,1,100,64
1672213310.114180,255013.000,40215,1,B%,1,100,64
1672213311.108107,255984.000,40363,1,B%,1,100,65
1672213312.106129,256959.000,40527,1,B%,1,100,65
1672213313.104150,257934.000,40673,1,B%,1,100,65
1672213314.104219,258911.000,40838,1,B%,1,100,64
1672213315.103264,259887.000,41000,1,B%,1,100,64
1672213316.096168,260857.000,41148,1,B%,1,100,65
1672213317.094189,261832.000,41294,1,B%,1,100,65
1672213318.088116,262803.000,41457,1,B%,1,100,65
