LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1672213107.238412,56817.000,7218,4,DC,2,100,1
1672213107.272959,56850.750,7234,4,DC,2,100,EA
1672213107.307506,56884.500,7234,4,DC,2,100,2
1672213107.342052,56918.250,7234,4,DC,2,100,EL
1672213107.376599,56952.000,7234,4,DC,2,100,2
1672213107.402446,56977.250,7251,4,DC,2,100,EA
1672213107.428292,57002.500,7251,4,DC,2,100,2
1672213107.454138,57027.750,7251,4,DC,2,100,EL
1672213107.479984,57053.000,7251,4,DC,2,100,2
1672213107.506342,57078.750,7270,4,DC,2,100,EA
1672213107.532700,57104.500,7270,4,DC,2,100,2
1672213107.559058,57130.250,7270,4,DC,2,100,EL
1672213107.585416,57156.000,7270,4,DC,2,100,2
1672213107.610751,57180.750,7289,4,DC,2,100,EA
1672213107.636085,57205.500,7289,4,DC,2,100,1
1672213107.661419,57230.250,7289,4,DC,2,100,EL
1672213107.686754,57255.000,7289,4,DC,2,100,1
1672213107.712600,57280.250,7304,4,DC,2,100,EA
1672213107.738446,57305.500,7304,4,DC,2,100,2
1672213107.764292,57330.750,7304,4,DC,2,100,EL
1672213107.790138,57356.000,7304,4,DC,2,100,2
1672213107.824430,57389.500,7322,4,DC,2,100,EA
1672213107.858721,57423.000,7322,4,DC,2,100,2
1672213107.893012,57456.500,7322,4,DC,2,100,EL
1672213107.927303,57490.000,7322,4,DC,2,100,2
1672213107.952893,57515.000,7338,4,DC,2,100,EA
1672213107.978483,57540.000,7338,4,DC,2,100,1
1672213108.004073,57565.000,7338,4,DC,2,100,EL
1672213108.029664,57590.000,7338,4,DC,2,100,1
1672213108.056022,57615.750,7355,4,DC,2,100,EA
1672213108.082380,57641.500,7355,4,DC,2,100,2
1672213108.108738,57667.250,7355,4,DC,2,100,EL
1672213108.135096,57693.000,7355,4,DC,2,100,2
1672213108.163757,57721.000,7372,4,DC,2,100,EA
