LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1672411633.523666,164652.000,24249,1,TL,1,100,2022-12-30_15-47-13-495787
1672411638.765709,169772.000,25083,1,TL,1,100,2022-12-30_15-47-13-597884
1672411638.790281,169796.000,25086,1,TL,1,100,2022-12-30_15-47-18-754595
1672411644.039491,174923.000,25922,1,TL,1,100,2022-12-30_15-47-18-812403
1672411644.080444,174963.000,25925,1,TL,1,100,2022-12-30_15-47-24-044433
1672411649.268224,180030.000,26749,1,TL,1,100,2022-12-30_15-47-24-145273
1672411649.300986,180062.000,26752,1,TL,1,100,2022-12-30_15-47-29-263250
1672411654.526648,185166.000,27589,1,TL,1,100,2022-12-30_15-47-29-367665
1672411654.555315,185194.000,27592,1,TL,1,100,2022-12-30_15-47-34-511595
1672411659.758452,190276.000,28413,1,TL,1,100,2022-12-30_15-47-34-583834
1672411659.782000,190299.000,28416,1,TL,1,100,2022-12-30_15-47-39-742778
1672411664.990257,195386.000,29233,1,TL,1,100,2022-12-30_15-47-39-813884
1672411665.075235,195469.000,29236,1,TL,1,100,2022-12-30_15-47-45-035253
1672411670.216942,200491.000,30038,1,TL,1,100,2022-12-30_15-47-45-139626
1672411670.292706,200565.000,30041,1,TL,1,100,2022-12-30_15-47-50-258134
1672411675.460008,205612.000,30843,1,TL,1,100,2022-12-30_15-47-50-320055
1672411680.728671,210758.000,31631,1,TL,1,100,2022-12-30_15-47-55-748809
1672411680.748124,210777.000,31633,1,TL,1,100,2022-12-30_15-47-55-748918
1672411685.994262,215901.000,32461,1,TL,1,100,2022-12-30_15-48-00-941471
1672411686.027025,215933.000,32463,1,TL,1,100,2022-12-30_15-48-00-941611
1672411686.053644,215959.000,32466,1,TL,1,100,2022-12-30_15-48-06-027809
1672411691.218899,221004.000,33279,1,TL,1,100,2022-12-30_15-48-06-079737
1672411691.243471,221028.000,33282,1,TL,1,100,2022-12-30_15-48-11-215820
1672411696.465037,226128.000,34099,1,TL,1,100,2022-12-30_15-48-11-356693
1672411696.511110,226173.000,34102,1,TL,1,100,2022-12-30_15-48-16-477035
1672411701.692746,231234.000,34897,1,TL,1,100,2022-12-30_15-48-16-603136
