RD,TS_received,TS_sent,AK,RoundTrip,
1133272,1133341,2022-12-30_16-03-45-257121,1133345,69,
1138393,1138414,2022-12-30_16-03-50-451469,1138416,21,
1143510,1143543,2022-12-30_16-03-55-699100,1143546,33,
1148616,1148647,2022-12-30_16-04-00-921274,1148652,31,
1153764,1153784,2022-12-30_16-04-06-192036,1153787,20,
1158881,1158939,2022-12-30_16-04-11-465012,1158942,58,
1164010,1164036,2022-12-30_16-04-16-690311,1164039,26,
1169120,1169142,2022-12-30_16-04-21-913258,1169146,22,
1174317,1174345,2022-12-30_16-04-27-237239,1174351,28,
1179417,1179436,2022-12-30_16-04-32-452588,1179439,19,
1184549,1184568,2022-12-30_16-04-37-695616,1184570,19,
1189667,1189687,2022-12-30_16-04-42-939801,1189690,20,
1194774,1194799,2022-12-30_16-04-48-171491,1194802,25,
1199885,1199907,2022-12-30_16-04-53-403543,1199910,22,
1205013,1205053,2022-12-30_16-04-58-677520,1205055,40,
1210110,1210130,2022-12-30_16-05-03-881857,1210134,20,
1215239,1215265,2022-12-30_16-05-09-125812,1215268,26,
1220377,1220452,2022-12-30_16-05-14-446422,1220458,75,
1225519,1225556,2022-12-30_16-05-19-670568,1225562,37,
1230657,1230676,2022-12-30_16-05-24-910421,1230679,19,
1235766,1235786,2022-12-30_16-05-30-137242,1235789,20,
1240898,1240919,2022-12-30_16-05-35-389750,1240921,21,
1246046,1246078,2022-12-30_16-05-40-661819,1246083,32,
1251173,1251194,2022-12-30_16-05-45-910245,1251197,21,
1256289,1256357,2022-12-30_16-05-51-200576,1256361,68,
1261391,1261476,2022-12-30_16-05-56-430750,1261478,85,
1266500,1266520,2022-12-30_16-06-01-605033,1266522,20,
1271616,1271669,2022-12-30_16-06-06-869316,1271671,53,
1276724,1276769,2022-12-30_16-06-12-097405,1276773,45,
1281862,1281881,2022-12-30_16-06-17-330871,1281885,19,
1286970,1286989,2022-12-30_16-06-22-561070,1286993,19,
1292105,1292125,2022-12-30_16-06-27-817890,1292129,20,
1297256,1302380,2022-12-30_16-06-33-330710,1302382,5124,
1302383,1302404,2022-12-30_16-06-38-340937,1302408,21,
1307490,1307571,2022-12-30_16-06-43-636837,1307574,81,
1312598,1312679,2022-12-30_16-06-48-859608,1312682,81,
1317716,1317779,2022-12-30_16-06-54-083997,1317784,63,
1322824,1322883,2022-12-30_16-06-59-304149,1322886,59,
1327931,1327985,2022-12-30_16-07-04-526507,1327988,54,
1333039,1333083,2022-12-30_16-07-09-748473,1333086,44,
1338147,1338188,2022-12-30_16-07-14-970941,1338192,41,
1343256,1343286,2022-12-30_16-07-20-194551,1343290,30,
1348388,1348407,2022-12-30_16-07-25-444644,1348410,19,
1353496,1353515,2022-12-30_16-07-30-666608,1353518,19,
1358689,1358782,2022-12-30_16-07-36-065710,1358784,93,
1363806,1363829,2022-12-30_16-07-41-234720,1363832,23,
1368962,1368987,2022-12-30_16-07-46-511343,1368990,25,
1374068,1374088,2022-12-30_16-07-51-733634,1374091,20,
1379210,1379285,2022-12-30_16-07-57-059482,1379288,75,
1384409,1384490,2022-12-30_16-08-02-385169,1384493,81,
1389517,1389595,2022-12-30_16-08-07-598091,1389597,78,
1394616,1394636,2022-12-30_16-08-12-768042,1394639,20,
1399767,1399801,2022-12-30_16-08-18-053704,1399804,34,
1404875,1404901,2022-12-30_16-08-23-268918,1404905,26,
1409988,1410093,2022-12-30_16-08-28-597681,1410096,105,
1415131,1415189,2022-12-30_16-08-33-821763,1415194,58,
1420243,1420305,2022-12-30_16-08-39-044836,1420309,62,
1425350,1425399,2022-12-30_16-08-44-267059,1425401,49,
1430458,1430495,2022-12-30_16-08-49-489728,1430498,37,
1435566,1435604,2022-12-30_16-08-54-713484,1435609,38,
1440665,1440684,2022-12-30_16-08-59-913901,1440687,19,
1445821,1445840,2022-12-30_16-09-05-198784,1445843,19,
1450977,1451007,2022-12-30_16-09-10-481579,1451010,30,
1456087,1461190,2022-12-30_16-09-15-807086,1461200,5103,
1461214,1461299,2022-12-30_16-09-21-015556,1461303,85,
1466301,1466331,2022-12-30_16-09-26-161088,1466337,30,
1471407,1471429,2022-12-30_16-09-31-392517,1471431,22,
