LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
2.496667,4131220.667,50793,3,PG,1,100,10231
2.540000,4131264.000,50793,3,PG,1,100,10201
2.579000,4131303.000,50809,2,PG,1,100,10183
2.618000,4131342.000,50809,2,PG,1,100,10185
2.657000,4131381.000,50824,3,PG,1,100,10207
2.696000,4131420.000,50824,3,PG,1,100,10212
2.735000,4131459.000,50824,3,PG,1,100,10225
2.773333,4131497.333,50840,3,PG,1,100,10232
2.811667,4131535.667,50840,3,PG,1,100,10246
2.850000,4131574.000,50840,3,PG,1,100,10258
2.889000,4131613.000,50855,2,PG,1,100,10272
2.928000,4131652.000,50855,2,PG,1,100,10310
2.967000,4131691.000,50873,3,PG,1,100,10316
3.006000,4131730.000,50873,3,PG,1,100,10283
3.045000,4131769.000,50873,3,PG,1,100,10234
3.084000,4131808.000,50889,2,PG,1,100,10195
3.123000,4131847.000,50889,2,PG,1,100,10166
3.162000,4131886.000,50906,3,PG,1,100,10169
3.201000,4131925.000,50906,3,PG,1,100,10177
3.240000,4131964.000,50906,3,PG,1,100,10190
3.279000,4132003.000,50921,3,PG,1,100,10206
3.318000,4132042.000,50921,3,PG,1,100,10206
3.357000,4132081.000,50921,3,PG,1,100,10229
3.395500,4132119.500,50938,2,PG,1,100,10241
3.434000,4132158.000,50938,2,PG,1,100,10272
3.472667,4132196.667,50953,3,PG,1,100,10282
3.511333,4132235.333,50953,3,PG,1,100,10307
3.550000,4132274.000,50953,3,PG,1,100,10315
3.589000,4132313.000,50969,2,PG,1,100,10279
3.628000,4132352.000,50969,2,PG,1,100,10234
3.667000,4132391.000,50984,3,PG,1,100,10211
3.706000,4132430.000,50984,3,PG,1,100,10194
3.745000,4132469.000,50984,3,PG,1,100,10191
3.790000,4132514.000,51000,2,PG,1,100,10219
3.835000,4132559.000,51000,2,PG,1,100,10231
3.875000,4132599.000,51015,3,PG,1,100,10247
3.915000,4132639.000,51015,3,PG,1,100,10249
3.955000,4132679.000,51015,3,PG,1,100,10258
3.994667,4132718.667,51032,3,PG,1,100,10266
4.034333,4132758.333,51032,3,PG,1,100,10287
4.074000,4132798.000,51032,3,PG,1,100,10311
4.113000,4132837.000,51049,2,PG,1,100,10313
4.152000,4132876.000,51049,2,PG,1,100,10286
4.190667,4132914.667,51064,3,PG,1,100,10247
4.229333,4132953.333,51064,3,PG,1,100,10208
4.268000,4132992.000,51064,3,PG,1,100,10198
4.306500,4133030.500,51079,2,PG,1,100,10187
4.345000,4133069.000,51079,2,PG,1,100,10203
4.384333,4133108.333,51096,3,PG,1,100,10217
4.423667,4133147.667,51096,3,PG,1,100,10225
4.463000,4133187.000,51096,3,PG,1,100,10234
4.502000,4133226.000,51111,3,PG,1,100,10248
4.541000,4133265.000,51111,3,PG,1,100,10265
4.580000,4133304.000,51111,3,PG,1,100,10277
4.619000,4133343.000,51126,2,PG,1,100,10289
4.658000,4133382.000,51126,2,PG,1,100,10304
4.697000,4133421.000,51144,3,PG,1,100,10265
4.736000,4133460.000,51144,3,PG,1,100,10215
4.775000,4133499.000,51144,3,PG,1,100,10179
4.813500,4133537.500,51160,2,PG,1,100,10160
4.852000,4133576.000,51160,2,PG,1,100,10157
4.891000,4133615.000,51175,3,PG,1,100,10174
4.930000,4133654.000,51175,3,PG,1,100,10174
4.969000,4133693.000,51175,3,PG,1,100,10186
5.008667,4133732.667,51192,3,PG,1,100,10192
5.048333,4133772.333,51192,3,PG,1,100,10203
5.088000,4133812.000,51192,3,PG,1,100,10224
5.133500,4133857.500,51208,2,PG,1,100,10240
5.179000,4133903.000,51208,2,PG,1,100,10259
5.218000,4133942.000,51224,2,PG,1,100,10267
5.257000,4133981.000,51224,2,PG,1,100,10240
5.296000,4134020.000,51240,3,PG,1,100,10187
5.335000,4134059.000,51240,3,PG,1,100,10153
5.374000,4134098.000,51240,3,PG,1,100,10156
5.413000,4134137.000,51256,3,PG,1,100,10150
5.452000,4134176.000,51256,3,PG,1,100,10162
5.491000,4134215.000,51256,3,PG,1,100,10176
5.530000,4134254.000,51270,2,PG,1,100,10183
5.569000,4134293.000,51270,2,PG,1,100,10191
5.607667,4134331.667,51286,3,PG,1,100,10197
5.646333,4134370.333,51286,3,PG,1,100,10215
5.685000,4134409.000,51286,3,PG,1,100,10231
5.723500,4134447.500,51302,2,PG,1,100,10256
5.762000,4134486.000,51302,2,PG,1,100,10268
5.801000,4134525.000,51318,3,PG,1,100,10253
5.840000,4134564.000,51318,3,PG,1,100,10234
5.879000,4134603.000,51318,3,PG,1,100,10221
5.918000,4134642.000,51333,3,PG,1,100,10203
5.957000,4134681.000,51333,3,PG,1,100,10196
5.996000,4134720.000,51333,3,PG,1,100,10189
6.035000,4134759.000,51351,2,PG,1,100,10175
6.074000,4134798.000,51351,2,PG,1,100,10163
6.112667,4134836.667,51366,3,PG,1,100,10173
6.151333,4134875.333,51366,3,PG,1,100,10165
6.190000,4134914.000,51366,3,PG,1,100,10178
6.228500,4134952.500,51382,2,PG,1,100,10182
6.267000,4134991.000,51382,2,PG,1,100,10193
6.305333,4135029.333,51398,3,PG,1,100,10198
6.343667,4135067.667,51398,3,PG,1,100,10206
6.382000,4135106.000,51398,3,PG,1,100,10220
6.421000,4135145.000,51414,2,PG,1,100,10253
6.460000,4135184.000,51414,2,PG,1,100,10269
6.503667,4135227.667,51430,3,PG,1,100,10292
6.547333,4135271.333,51430,3,PG,1,100,10318
6.591000,4135315.000,51430,3,PG,1,100,10353
6.631000,4135355.000,51449,2,PG,1,100,10385
6.671000,4135395.000,51449,2,PG,1,100,10425
6.710000,4135434.000,51464,3,PG,1,100,10456
6.749000,4135473.000,51464,3,PG,1,100,10489
6.788000,4135512.000,51464,3,PG,1,100,10518
6.827000,4135551.000,51480,3,PG,1,100,10547
6.866000,4135590.000,51480,3,PG,1,100,10541
6.905000,4135629.000,51480,3,PG,1,100,10532
6.944000,4135668.000,51495,2,PG,1,100,10507
6.983000,4135707.000,51495,2,PG,1,100,10480
7.021667,4135745.667,51513,3,PG,1,100,10461
7.060333,4135784.333,51513,3,PG,1,100,10438
7.099000,4135823.000,51513,3,PG,1,100,10416
7.138500,4135862.500,51528,2,PG,1,100,10400
7.178000,4135902.000,51528,2,PG,1,100,10379
7.218000,4135942.000,51544,3,PG,1,100,10377
7.258000,4135982.000,51544,3,PG,1,100,10360
7.298000,4136022.000,51544,3,PG,1,100,10350
7.337000,4136061.000,51559,2,PG,1,100,10347
7.376000,4136100.000,51559,2,PG,1,100,10290
7.415000,4136139.000,51575,3,PG,1,100,10230
7.454000,4136178.000,51575,3,PG,1,100,10181
7.493000,4136217.000,51575,3,PG,1,100,10144
7.532000,4136256.000,51590,3,PG,1,100,10138
7.571000,4136295.000,51590,3,PG,1,100,10128
