LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1699365518.113041,540795.000,18077,1,B%,1,100,86
1699365519.112790,541772.000,18238,1,B%,1,100,87
1699365520.113562,542750.000,18389,1,B%,1,100,88
1699365521.113310,543727.000,18551,1,B%,1,100,86
1699365522.108966,544700.000,18695,1,B%,1,100,86
1699365523.102574,545671.000,18860,1,B%,1,100,87
1699365524.103346,546649.000,18989,1,B%,1,100,88
1699365525.099002,547622.000,19150,1,B%,1,100,88
1699365526.092611,548593.000,19303,1,B%,1,100,87
1699365527.090312,549568.000,19447,1,B%,1,100,88
1699365528.088015,550543.000,19606,1,B%,1,100,88
1699365529.090833,551523.000,19748,1,B%,1,100,88
1699365530.087512,552497.000,19911,1,B%,1,100,87
1699365531.084190,553471.000,20062,1,B%,1,100,87
1699365532.078822,554443.000,20209,1,B%,1,100,87
1699365533.075501,555417.000,20368,1,B%,1,100,86
1699365534.076273,556395.000,20512,1,B%,1,100,88
1699365535.074998,557371.000,20673,1,B%,1,100,86
1699365536.072700,558346.000,20816,1,B%,1,100,87
1699365537.070402,559321.000,20961,1,B%,1,100,87
1699365538.072197,560300.000,21121,1,B%,1,100,87
1699365539.068876,561274.000,21281,1,B%,1,100,88
1699365540.065555,562248.000,21397,1,B%,1,100,87
1699365541.063257,563223.000,21530,1,B%,1,100,86
1699365542.059936,564197.000,21694,1,B%,1,100,86
1699365543.059684,565174.000,21840,1,B%,1,100,87
1699365544.055340,566147.000,22005,1,B%,1,100,87
1699365545.054065,567123.000,22167,1,B%,1,100,86
1699365546.050744,568097.000,22312,1,B%,1,100,86
1699365547.045376,569069.000,22464,1,B%,1,100,86
1699365548.047171,570048.000,22627,1,B%,1,100,86
1699365549.043849,571022.000,22768,1,B%,1,100,86
1699365550.043598,571999.000,22931,1,B%,1,100,86
1699365551.041300,572974.000,23089,1,B%,1,100,85
1699365552.041049,573951.000,23239,1,B%,1,100,86
1699365553.038751,574926.000,23388,1,B%,1,100,86
1699365554.037476,575902.000,23551,1,B%,1,100,86
1699365555.037225,576879.000,23713,1,B%,1,100,85
1699365556.034926,577854.000,23859,1,B%,1,100,85
1699365557.035698,578832.000,24010,1,B%,1,100,86
1699365558.031354,579805.000,24171,1,B%,1,100,86
1699365559.033149,580784.000,24331,1,B%,1,100,86
1699365560.026758,581755.000,24477,1,B%,1,100,86
1699365561.018320,582724.000,24621,1,B%,1,100,86
1699365562.019092,583702.000,24777,1,B%,1,100,86
1699365563.013724,584674.000,24941,1,B%,1,100,85
1699365564.010403,585648.000,25088,1,B%,1,100,87
1699365565.009128,586624.000,25248,1,B%,1,100,87
1699365566.005807,587598.000,25395,1,B%,1,100,87
1699365567.004532,588574.000,25560,1,B%,1,100,86
1699365568.003257,589550.000,25712,1,B%,1,100,86
1699365568.997889,590522.000,25855,1,B%,1,100,87
1699365569.993545,591495.000,26022,1,B%,1,100,86
1699365570.992270,592471.000,26186,1,B%,1,100,85
1699365571.994065,593450.000,26330,1,B%,1,100,85
1699365572.996884,594430.000,26498,1,B%,1,100,85
1699365573.995609,595406.000,26643,1,B%,1,100,86
1699365574.990241,596378.000,26808,1,B%,1,100,86
1699365575.991013,597356.000,26952,1,B%,1,100,87
1699365576.987692,598330.000,27117,1,B%,1,100,87
1699365577.984370,599304.000,27270,1,B%,1,100,87
1699365578.984119,600281.000,27430,1,B%,1,100,87
1699365579.979774,601254.000,27574,1,B%,1,100,86
1699365580.979523,602231.000,27735,1,B%,1,100,86
1699365581.973132,603202.000,27895,1,B%,1,100,85
1699365582.972880,604179.000,28042,1,B%,1,100,86
1699365583.967512,605151.000,28187,1,B%,1,100,85
1699365584.966238,606127.000,28345,1,B%,1,100,84
1699365585.968033,607106.000,28488,1,B%,1,100,84
1699365586.968805,608084.000,28649,1,B%,1,100,85
1699365587.966507,609059.000,28806,1,B%,1,100,86
1699365588.960115,610030.000,28959,1,B%,1,100,86
1699365589.961911,611009.000,29119,1,B%,1,100,84
1699365590.960636,611985.000,29262,1,B%,1,100,85
1699365591.960385,612962.000,29422,1,B%,1,100,85
1699365592.959110,613938.000,29584,1,B%,1,100,85
1699365593.957835,614914.000,29717,1,B%,1,100,85
1699365594.960654,615894.000,29876,1,B%,1,100,85
1699365595.953239,616864.000,30033,1,B%,1,100,84
1699365596.951964,617840.000,30176,1,B%,1,100,85
1699365597.950690,618816.000,30335,1,B%,1,100,86
1699365598.942252,619785.000,30486,1,B%,1,100,85
1699365599.943024,620763.000,30644,1,B%,1,100,85
1699365600.940726,621738.000,30787,1,B%,1,100,85
1699365601.937404,622712.000,30946,1,B%,1,100,85
1699365602.936130,623688.000,31104,1,B%,1,100,85
1699365603.934855,624664.000,31250,1,B%,1,100,84
1699365604.929487,625636.000,31392,1,B%,1,100,84
1699365605.923096,626607.000,31552,1,B%,1,100,85
1699365606.920798,627582.000,31695,1,B%,1,100,84
1699365607.918500,628557.000,31854,1,B%,1,100,84
1699365608.921318,629537.000,32014,1,B%,1,100,84
1699365609.919020,630512.000,32160,1,B%,1,100,85
1699365610.917746,631488.000,32301,1,B%,1,100,85
1699365611.917494,632465.000,32461,1,B%,1,100,86
1699365612.912126,633437.000,32624,1,B%,1,100,85
1699365613.912898,634415.000,32766,1,B%,1,100,85
1699365614.911623,635391.000,32914,1,B%,1,100,85
1699365615.908302,636365.000,33073,1,B%,1,100,85
1699365616.907027,637341.000,33217,1,B%,1,100,85
1699365617.904729,638316.000,33378,1,B%,1,100,85
1699365618.903455,639292.000,33536,1,B%,1,100,86
1699365619.899110,640265.000,33685,1,B%,1,100,86
1699365620.895789,641239.000,33827,1,B%,1,100,85
1699365621.892467,642213.000,33986,1,B%,1,100,84
1699365622.891193,643189.000,34129,1,B%,1,100,85
1699365623.888895,644164.000,34290,1,B%,1,100,85
1699365624.886597,645139.000,34423,1,B%,1,100,85
1699365625.887369,646117.000,34584,1,B%,1,100,85
1699365626.880978,647088.000,34746,1,B%,1,100,85
1699365627.881749,648066.000,34887,1,B%,1,100,84
1699365628.880475,649042.000,35048,1,B%,1,100,85
1699365629.880223,650019.000,35194,1,B%,1,100,84
1699365630.878948,650995.000,35354,1,B%,1,100,84
1699365631.876651,651970.000,35498,1,B%,1,100,83
1699365632.874352,652945.000,35643,1,B%,1,100,83
1699365633.868985,653917.000,35801,1,B%,1,100,83
1699365634.868733,654894.000,35944,1,B%,1,100,84
1699365635.866435,655869.000,36093,1,B%,1,100,83
1699365636.864137,656844.000,36253,1,B%,1,100,85
1699365637.863886,657821.000,36397,1,B%,1,100,85
1699365638.860564,658795.000,36558,1,B%,1,100,84
1699365639.858266,659770.000,36720,1,B%,1,100,84
1699365640.851875,660741.000,36854,1,B%,1,100,83
1699365641.847531,661714.000,36996,1,B%,1,100,83
1699365642.845233,662689.000,37159,1,B%,1,100,82
1699365643.841912,663663.000,37303,1,B%,1,100,83
1699365644.840637,664639.000,37463,1,B%,1,100,83
1699365645.842432,665618.000,37611,1,B%,1,100,84
1699365646.846274,666599.000,37756,1,B%,1,100,83
1699365647.841929,667572.000,37884,1,B%,1,100,83
1699365648.839631,668547.000,38045,1,B%,1,100,83
1699365649.838356,669523.000,38188,1,B%,1,100,84
1699365650.830942,670493.000,38349,1,B%,1,100,83
1699365651.833760,671473.000,38495,1,B%,1,100,83
1699365652.832485,672449.000,38655,1,B%,1,100,84
1699365653.829164,673423.000,38800,1,B%,1,100,84
1699365654.825843,674397.000,38960,1,B%,1,100,85
1699365655.821498,675370.000,39101,1,B%,1,100,83
1699365656.818177,676344.000,39268,1,B%,1,100,82
1699365657.815879,677319.000,39412,1,B%,1,100,83
1699365658.815628,678296.000,39572,1,B%,1,100,83
1699365659.812306,679270.000,39716,1,B%,1,100,83
1699365660.814101,680249.000,39877,1,B%,1,100,83
1699365661.808734,681221.000,40021,1,B%,1,100,83
1699365662.807459,682197.000,40180,1,B%,1,100,83
1699365663.811301,683178.000,40326,1,B%,1,100,83
1699365664.805933,684150.000,40485,1,B%,1,100,82
1699365665.807728,685129.000,40644,1,B%,1,100,82
1699365666.808500,686107.000,40794,1,B%,1,100,84
1699365667.804155,687080.000,40938,1,B%,1,100,83
1699365668.801857,688055.000,41099,1,B%,1,100,83
1699365669.799559,689030.000,41259,1,B%,1,100,83
1699365670.795215,690003.000,41403,1,B%,1,100,84
1699365671.789847,690975.000,41562,1,B%,1,100,83
1699365672.787549,691950.000,41712,1,B%,1,100,82
1699365673.784227,692924.000,41855,1,B%,1,100,82
1699365674.787046,693904.000,42016,1,B%,1,100,83
1699365675.783725,694878.000,42176,1,B%,1,100,83
1699365676.781426,695853.000,42320,1,B%,1,100,84
1699365677.779129,696828.000,42470,1,B%,1,100,83
1699365678.772737,697799.000,42630,1,B%,1,100,84
1699365679.774533,698778.000,42774,1,B%,1,100,84
1699365680.773258,699754.000,42935,1,B%,1,100,83
1699365681.770960,700729.000,43092,1,B%,1,100,83
1699365682.772755,701708.000,43240,1,B%,1,100,83
1699365683.771480,702684.000,43397,1,B%,1,100,83
1699365684.771229,703661.000,43541,1,B%,1,100,82
1699365685.765861,704633.000,43702,1,B%,1,100,83
1699365686.757423,705602.000,43845,1,B%,1,100,83
1699365687.757172,706579.000,43994,1,B%,1,100,83
1699365688.755897,707555.000,44155,1,B%,1,100,82
1699365689.753599,708530.000,44312,1,B%,1,100,83
1699365690.749254,709503.000,44455,1,B%,1,100,83
1699365691.749003,710480.000,44614,1,B%,1,100,83
1699365692.743635,711452.000,44774,1,B%,1,100,83
1699365693.741337,712427.000,44918,1,B%,1,100,83
1699365694.740062,713403.000,45063,1,B%,1,100,82
1699365695.733671,714374.000,45224,1,B%,1,100,82
1699365696.735466,715353.000,45368,1,B%,1,100,82
1699365697.734192,716329.000,45529,1,B%,1,100,82
1699365698.734963,717307.000,45676,1,B%,1,100,82
1699365699.730619,718280.000,45835,1,B%,1,100,82
1699365700.728321,719255.000,45979,1,B%,1,100,83
1699365701.730116,720234.000,46140,1,B%,1,100,82
1699365702.727818,721209.000,46300,1,B%,1,100,82
1699365703.726543,722185.000,46434,1,B%,1,100,82
1699365704.724245,723160.000,46576,1,B%,1,100,82
1699365705.722970,724136.000,46735,1,B%,1,100,83
1699365706.717603,725108.000,46895,1,B%,1,100,82
1699365707.715305,726083.000,47040,1,B%,1,100,81
1699365708.713007,727058.000,47191,1,B%,1,100,81
1699365709.709685,728032.000,47350,1,B%,1,100,81
1699365710.707387,729007.000,47493,1,B%,1,100,81
1699365711.703043,729980.000,47652,1,B%,1,100,82
1699365712.705861,730960.000,47814,1,B%,1,100,83
1699365713.699470,731931.000,47958,1,B%,1,100,83
1699365714.695126,732904.000,48105,1,B%,1,100,82
1699365715.694874,733881.000,48264,1,B%,1,100,83
1699365716.688483,734852.000,48424,1,B%,1,100,82
1699365717.691301,735832.000,48566,1,B%,1,100,82
1699365718.694120,736812.000,48725,1,B%,1,100,80
1699365719.691822,737787.000,48868,1,B%,1,100,81
1699365720.691570,738764.000,49012,1,B%,1,100,81
1699365721.691319,739741.000,49172,1,B%,1,100,82
1699365722.686974,740714.000,49333,1,B%,1,100,83
1699365723.681607,741686.000,49476,1,B%,1,100,83
1699365724.677262,742659.000,49638,1,B%,1,100,82
1699365725.677011,743636.000,49782,1,B%,1,100,81
1699365726.680852,744617.000,49943,1,B%,1,100,82
1699365727.676507,745590.000,50102,1,B%,1,100,81
1699365728.667047,746558.000,50246,1,B%,1,100,81
1699365729.667819,747536.000,50395,1,B%,1,100,81
1699365730.661427,748507.000,50555,1,B%,1,100,81
1699365731.661176,749484.000,50696,1,B%,1,100,81
1699365732.659901,750460.000,50857,1,B%,1,100,81
1699365733.656580,751434.000,51017,1,B%,1,100,81
1699365734.658375,752413.000,51161,1,B%,1,100,81
1699365735.657100,753389.000,51307,1,B%,1,100,82
1699365736.658895,754368.000,51468,1,B%,1,100,81
1699365737.654551,755341.000,51628,1,B%,1,100,81
1699365738.652253,756316.000,51771,1,B%,1,100,80
1699365739.653025,757294.000,51916,1,B%,1,100,80
1699365740.648680,758267.000,52066,1,B%,1,100,80
1699365741.644336,759240.000,52207,1,B%,1,100,81
1699365742.638968,760212.000,52370,1,B%,1,100,81
1699365743.641786,761192.000,52530,1,B%,1,100,81
1699365744.635395,762163.000,52675,1,B%,1,100,81
1699365745.632074,763137.000,52826,1,B%,1,100,82
1699365746.629776,764112.000,52968,1,B%,1,100,81
1699365747.625431,765085.000,53127,1,B%,1,100,81
1699365748.628249,766065.000,53273,1,B%,1,100,80
1699365749.627998,767042.000,53432,1,B%,1,100,80
1699365750.625700,768017.000,53564,1,B%,1,100,81
1699365751.621356,768990.000,53725,1,B%,1,100,81
1699365752.621104,769967.000,53869,1,B%,1,100,81
1699365753.621876,770945.000,54030,1,B%,1,100,81
1699365754.621624,771922.000,54188,1,B%,1,100,81
1699365755.618303,772896.000,54316,1,B%,1,100,81
1699365756.614982,773870.000,54423,1,B%,1,100,81
1699365757.616777,774849.000,54580,1,B%,1,100,81
1699365758.608339,775818.000,54723,1,B%,1,100,81
1699365759.605018,776792.000,54882,1,B%,1,100,80
1699365760.604767,777769.000,55040,1,B%,1,100,80
1699365761.598375,778740.000,55186,1,B%,1,100,81
1699365762.600171,779719.000,55329,1,B%,1,100,82
1699365763.602989,780699.000,55490,1,B%,1,100,81
1699365764.601714,781675.000,55650,1,B%,1,100,80
1699365765.598393,782649.000,55794,1,B%,1,100,79
1699365766.596095,783624.000,55942,1,B%,1,100,78
1699365767.594820,784600.000,56105,1,B%,1,100,79
