LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1699365017.793632,51860.000,5878,2,EA,1,100,0.072990
1699365017.860145,51925.000,5894,2,EA,1,100,0.073009
1699365017.926659,51990.000,5894,2,EA,1,100,0.073046
1699365017.993172,52055.000,5910,1,EA,1,100,0.073089
1699365018.059685,52120.000,5926,2,EA,1,100,0.073151
1699365018.126199,52185.000,5926,2,EA,1,100,0.073202
1699365018.192712,52250.000,5944,1,EA,1,100,0.073249
1699365018.258714,52314.500,5958,2,EA,1,100,0.073295
1699365018.324716,52379.000,5958,2,EA,1,100,0.073342
1699365018.391230,52444.000,5974,1,EA,1,100,0.073396
1699365018.457743,52509.000,5990,2,EA,1,100,0.073454
1699365018.524256,52574.000,5990,2,EA,1,100,0.073485
1699365018.592817,52641.000,6006,1,EA,1,100,0.073527
1699365018.659842,52706.500,6021,2,EA,1,100,0.073557
1699365018.726867,52772.000,6021,2,EA,1,100,0.073624
1699365018.793380,52837.000,6039,2,EA,1,100,0.073681
1699365018.859894,52902.000,6039,2,EA,1,100,0.073716
1699365018.924361,52965.000,6054,1,EA,1,100,0.073778
1699365018.990874,53030.000,6072,2,EA,1,100,0.073843
1699365019.057388,53095.000,6072,2,EA,1,100,0.073876
1699365019.124413,53160.500,6088,2,EA,1,100,0.073931
1699365019.191438,53226.000,6088,2,EA,1,100,0.073958
1699365019.258975,53292.000,6106,1,EA,1,100,0.074097
1699365019.325999,53357.500,6122,2,EA,1,100,0.074157
1699365019.393025,53423.000,6122,2,EA,1,100,0.074169
1699365019.459538,53488.000,6139,1,EA,1,100,0.074173
1699365019.525540,53552.500,6154,2,EA,1,100,0.074197
1699365019.591542,53617.000,6154,2,EA,1,100,0.074240
1699365019.657544,53681.500,6175,2,EA,1,100,0.074282
1699365019.723545,53746.000,6175,2,EA,1,100,0.074300
1699365019.791594,53812.500,6191,2,EA,1,100,0.074328
1699365019.859642,53879.000,6191,2,EA,1,100,0.074356
1699365019.927179,53945.000,6207,1,EA,1,100,0.074415
1699365019.993692,54010.000,6221,2,EA,1,100,0.074475
1699365020.060206,54075.000,6221,2,EA,1,100,0.074515
1699365020.125696,54139.000,6240,1,EA,1,100,0.074557
1699365020.192721,54204.500,6257,2,EA,1,100,0.074574
1699365020.259746,54270.000,6257,2,EA,1,100,0.074635
1699365020.325237,54334.000,6275,2,EA,1,100,0.074674
1699365020.390727,54398.000,6275,2,EA,1,100,0.074709
1699365020.457240,54463.000,6291,1,EA,1,100,0.074739
1699365020.523242,54527.500,6306,2,EA,1,100,0.074761
1699365020.589244,54592.000,6306,2,EA,1,100,0.074774
1699365020.656269,54657.500,6321,2,EA,1,100,0.074732
1699365020.723294,54723.000,6321,2,EA,1,100,0.074791
1699365020.788784,54787.000,6338,1,EA,1,100,0.074883
1699365020.855298,54852.000,6357,2,EA,1,100,0.074911
1699365020.921811,54917.000,6357,2,EA,1,100,0.074927
1699365020.987813,54981.500,6373,2,EA,1,100,0.074962
1699365021.053815,55046.000,6373,2,EA,1,100,0.074997
1699365021.119817,55110.500,6391,2,EA,1,100,0.075081
1699365021.185818,55175.000,6391,2,EA,1,100,0.075141
1699365021.253355,55241.000,6407,1,EA,1,100,0.075166
1699365021.319357,55305.500,6421,2,EA,1,100,0.075203
1699365021.385359,55370.000,6421,2,EA,1,100,0.075238
1699365021.453407,55436.500,6440,2,EA,1,100,0.075284
1699365021.521456,55503.000,6440,2,EA,1,100,0.075297
1699365021.588481,55568.500,6455,2,EA,1,100,0.075277
1699365021.655506,55634.000,6455,2,EA,1,100,0.075292
1699365021.722019,55699.000,6471,1,EA,1,100,0.075366
1699365021.787509,55763.000,6487,2,EA,1,100,0.075417
1699365021.853000,55827.000,6487,2,EA,1,100,0.075448
1699365021.921560,55894.000,6503,1,EA,1,100,0.075499
1699365021.988585,55959.500,6517,2,EA,1,100,0.075541
1699365022.055610,56025.000,6517,2,EA,1,100,0.075581
1699365022.122123,56090.000,6534,1,EA,1,100,0.075634
1699365022.188125,56154.500,6553,2,EA,1,100,0.075658
1699365022.254127,56219.000,6553,2,EA,1,100,0.075653
1699365022.321664,56285.000,6569,1,EA,1,100,0.075666
1699365022.388177,56350.000,6587,4,EA,1,100,0.075714
1699365022.454691,56415.000,6587,4,EA,1,100,0.075750
